model,mean_max_prediction_drift,mean_pairwise_embedding_dist
ordinary_baseline,1.3134382963180542,1.9483121081600765
architecture_control,0.887901964187622,2.3375035560213746
randomization_robust,0.6889668917655944,1.8963363217884825
mixed_robust,0.6560591697692871,1.7579212184375153
