model,mae,rmse,r2
target_mean,1.202245570506841,1.438331480025098,-0.00013297047513272098
length_only,1.0274479792783495,1.3161331317512135,0.16258754292616484
token_count,0.6574498138209346,0.9000308967489726,0.6083892456555529
token_frequency,0.6519802859816802,0.8555942044756747,0.6461041732752488
rdkit_descriptors,0.7994609519747262,1.083890955527659,0.43204888336340463
