model,token,position,relative_position,seq_length,delta
ordinary_baseline,[*],0,0.0,23,0.04220867156982422
ordinary_baseline,C,1,0.043478260869565216,23,0.18421316146850586
ordinary_baseline,N,2,0.08695652173913043,23,0.06722021102905273
ordinary_baseline,C,3,0.13043478260869565,23,0.13394689559936523
ordinary_baseline,(,4,0.17391304347826086,23,0.20849990844726562
ordinary_baseline,=,5,0.21739130434782608,23,0.06258964538574219
ordinary_baseline,O,6,0.2608695652173913,23,0.27709436416625977
ordinary_baseline,),7,0.30434782608695654,23,0.7256526947021484
ordinary_baseline,C,8,0.34782608695652173,23,0.5406532287597656
ordinary_baseline,C,9,0.391304347826087,23,0.5406532287597656
ordinary_baseline,C,10,0.43478260869565216,23,0.5406532287597656
ordinary_baseline,C,11,0.4782608695652174,23,0.5406532287597656
ordinary_baseline,C,12,0.5217391304347826,23,0.5406532287597656
ordinary_baseline,C,13,0.5652173913043478,23,0.5406532287597656
ordinary_baseline,C,14,0.6086956521739131,23,0.5406532287597656
ordinary_baseline,C,15,0.6521739130434783,23,0.5406532287597656
ordinary_baseline,C,16,0.6956521739130435,23,0.5406532287597656
ordinary_baseline,(,17,0.7391304347826086,23,0.655303955078125
ordinary_baseline,=,18,0.782608695652174,23,0.05200815200805664
ordinary_baseline,O,19,0.8260869565217391,23,0.5920290946960449
ordinary_baseline,),20,0.8695652173913043,23,0.26490211486816406
ordinary_baseline,N,21,0.9130434782608695,23,0.18648767471313477
ordinary_baseline,[*],22,0.9565217391304348,23,0.05588483810424805
ordinary_baseline,[*],0,0.0,59,0.29731082916259766
ordinary_baseline,O,1,0.01694915254237288,59,0.30368471145629883
ordinary_baseline,c,2,0.03389830508474576,59,0.03716850280761719
ordinary_baseline,1,3,0.05084745762711865,59,0.027759552001953125
ordinary_baseline,c,4,0.06779661016949153,59,0.19274377822875977
ordinary_baseline,c,5,0.0847457627118644,59,0.19274377822875977
ordinary_baseline,c,6,0.1016949152542373,59,0.19274377822875977
ordinary_baseline,(,7,0.11864406779661017,59,0.1540064811706543
ordinary_baseline,C,8,0.13559322033898305,59,0.2212362289428711
ordinary_baseline,C,9,0.15254237288135594,59,0.2212362289428711
ordinary_baseline,(,10,0.1694915254237288,59,0.14471673965454102
ordinary_baseline,N,11,0.1864406779661017,59,0.1124277114868164
ordinary_baseline,C,12,0.2033898305084746,59,0.35563039779663086
ordinary_baseline,(,13,0.22033898305084745,59,0.30431175231933594
ordinary_baseline,=,14,0.23728813559322035,59,0.47025251388549805
ordinary_baseline,O,15,0.2542372881355932,59,0.27195167541503906
ordinary_baseline,),16,0.2711864406779661,59,0.3520545959472656
ordinary_baseline,C,17,0.288135593220339,59,0.34040403366088867
ordinary_baseline,C,18,0.3050847457627119,59,0.34040403366088867
ordinary_baseline,c,19,0.3220338983050847,59,0.4647254943847656
ordinary_baseline,2,20,0.3389830508474576,59,0.34596872329711914
ordinary_baseline,c,21,0.3559322033898305,59,0.4405035972595215
