source_id,model,best_drift,found,query_count,valid_rate,drift_at_Q5,drift_at_Q10,drift_at_Q20,drift_at_Q50
poly_3655,D0,0.2278466820716858,True,50,1.0,0.11334866285324097,0.2278466820716858,0.2278466820716858,0.2278466820716858
poly_2369,D0,0.7337827682495117,True,50,1.0,0.3599049746990204,0.6487758159637451,0.6487758159637451,0.7337827682495117
poly_1215,D0,0.5329413414001465,True,50,1.0,0.4632588326931,0.4632588326931,0.5329413414001465,0.5329413414001465
poly_4015,D0,0.3948623538017273,True,50,1.0,0.1687389612197876,0.18003833293914795,0.22954225540161133,0.3948623538017273
poly_517,D0,0.7789402604103088,True,50,1.0,0.23410803079605103,0.7217046022415161,0.7789402604103088,0.7789402604103088
poly_1159,D0,0.4433116316795349,True,50,1.0,0.24492770433425903,0.3627905249595642,0.38590317964553833,0.4433116316795349
poly_2493,D0,0.6333127021789551,True,50,1.0,0.06984031200408936,0.28113552927970886,0.30937108397483826,0.6333127021789551
poly_2226,D0,0.6698780059814453,True,50,1.0,0.24578630924224854,0.5311071872711182,0.5311071872711182,0.6698780059814453
poly_17,D0,1.8620188236236572,True,50,1.0,1.0914726257324219,1.235807180404663,1.2480740547180176,1.8620188236236572
poly_956,D0,0.6060354709625244,True,50,1.0,0.6060354709625244,0.6060354709625244,0.6060354709625244,0.6060354709625244
poly_898,D0,0.5210397243499756,True,50,1.0,0.21434277296066284,0.21434277296066284,0.21434277296066284,0.5210397243499756
poly_1667,D0,0.6052423715591431,True,50,1.0,0.40988707542419434,0.5119231343269348,0.5119231343269348,0.6052423715591431
poly_3362,D0,0.3454400897026062,True,50,1.0,0.2195923924446106,0.3454400897026062,0.3454400897026062,0.3454400897026062
poly_3703,D0,0.700198769569397,True,50,1.0,0.560332179069519,0.560332179069519,0.6441577672958374,0.700198769569397
poly_793,D0,0.5531137585639954,True,50,1.0,0.28978991508483887,0.41147857904434204,0.541034460067749,0.5531137585639954
poly_3189,D0,0.23835384845733643,True,50,1.0,0.17807608842849731,0.17807608842849731,0.18717855215072632,0.23835384845733643
poly_2734,D0,0.8335893154144287,True,50,1.0,0.4902937710285187,0.4902937710285187,0.5003643035888672,0.8335893154144287
poly_1549,D0,0.721710741519928,True,50,1.0,0.48880407214164734,0.6135630011558533,0.6135630011558533,0.721710741519928
poly_3746,D0,0.9598692655563354,True,50,1.0,0.8399677276611328,0.8399677276611328,0.9598692655563354,0.9598692655563354
poly_2736,D0,0.4262722432613373,True,50,1.0,0.4262722432613373,0.4262722432613373,0.4262722432613373,0.4262722432613373
poly_1005,D0,0.44943779706954956,True,50,1.0,0.3106231689453125,0.42223745584487915,0.44943779706954956,0.44943779706954956
poly_367,D0,1.2111271619796753,True,50,1.0,1.2111271619796753,1.2111271619796753,1.2111271619796753,1.2111271619796753
poly_2223,D0,0.6090614199638367,True,50,1.0,0.4805568754673004,0.4805568754673004,0.519826352596283,0.6090614199638367
poly_3386,D0,0.14781486988067627,True,50,1.0,0.08120536804199219,0.14133083820343018,0.14133083820343018,0.14781486988067627
poly_1160,D0,0.5739663243293762,True,50,1.0,0.5739663243293762,0.5739663243293762,0.5739663243293762,0.5739663243293762
poly_1072,D0,0.7170193195343018,True,50,1.0,0.6092445850372314,0.6092445850372314,0.6102854609489441,0.7170193195343018
poly_675,D0,0.6894002556800842,True,50,1.0,0.29002052545547485,0.5257425904273987,0.6894002556800842,0.6894002556800842
poly_754,D0,0.28671175241470337,True,50,1.0,0.28671175241470337,0.28671175241470337,0.28671175241470337,0.28671175241470337
poly_2459,D0,0.5218496918678284,True,50,1.0,0.513479471206665,0.513479471206665,0.5163558721542358,0.5218496918678284
poly_155,D0,0.66343754529953,True,50,1.0,0.5964683890342712,0.616838276386261,0.66343754529953,0.66343754529953
poly_2461,D0,0.5598500967025757,True,50,1.0,0.2916175127029419,0.3537066578865051,0.3537066578865051,0.5598500967025757
poly_2368,D0,0.588099479675293,True,50,1.0,0.27269256114959717,0.27269256114959717,0.5048313140869141,0.588099479675293
poly_512,D0,0.34299445152282715,True,50,1.0,0.22358417510986328,0.22358417510986328,0.26371943950653076,0.34299445152282715
poly_1419,D0,0.7719064354896545,True,50,1.0,0.6315845847129822,0.7719064354896545,0.7719064354896545,0.7719064354896545
poly_2967,D0,0.20285695791244507,True,50,1.0,0.09662985801696777,0.12995785474777222,0.16143465042114258,0.20285695791244507
poly_2076,D0,0.2405295968055725,True,50,1.0,0.13928532600402832,0.13928532600402832,0.13928532600402832,0.2405295968055725
poly_1298,D0,0.4526539444923401,True,50,1.0,0.35016053915023804,0.35016053915023804,0.35016053915023804,0.4526539444923401
poly_1468,D0,0.5085643529891968,True,50,1.0,0.19845688343048096,0.34121808409690857,0.5085643529891968,0.5085643529891968
poly_2730,D0,0.8898513317108154,True,50,1.0,0.6535959839820862,0.7270277738571167,0.829628586769104,0.8898513317108154
poly_1609,D0,0.3531717360019684,True,50,1.0,0.18049800395965576,0.18049800395965576,0.26165157556533813,0.3531717360019684
poly_1809,D0,0.845937192440033,True,50,1.0,0.5649390816688538,0.5649390816688538,0.845937192440033,0.845937192440033
poly_3627,D0,0.4470515251159668,True,50,1.0,0.4470515251159668,0.4470515251159668,0.4470515251159668,0.4470515251159668
poly_660,D0,0.5490566492080688,True,50,1.0,0.4320005476474762,0.4443303942680359,0.5134429931640625,0.5490566492080688
poly_1826,D0,0.6689081192016602,True,50,1.0,0.29780304431915283,0.6204758882522583,0.6689081192016602,0.6689081192016602
poly_2932,D0,0.6035173535346985,True,50,1.0,0.6035173535346985,0.6035173535346985,0.6035173535346985,0.6035173535346985
poly_442,D0,0.6742182970046997,True,50,1.0,0.6261049509048462,0.6261049509048462,0.6261049509048462,0.6742182970046997
poly_449,D0,0.7831941843032837,True,50,1.0,0.6397206783294678,0.6397206783294678,0.6397206783294678,0.7831941843032837
poly_2437,D0,1.0057568550109863,True,50,1.0,0.43629544973373413,0.5803931355476379,1.0057568550109863,1.0057568550109863
poly_2772,D0,0.49174240231513977,True,50,1.0,0.2536141276359558,0.30915918946266174,0.3704964518547058,0.49174240231513977
poly_3030,D0,0.7146679759025574,True,50,1.0,0.3947325646877289,0.4346183240413666,0.4346183240413666,0.7146679759025574
poly_3779,D0,0.6596093773841858,True,50,1.0,0.22119569778442383,0.27081334590911865,0.5978552103042603,0.6596093773841858
poly_2836,D0,0.18470019102096558,True,50,1.0,0.09645825624465942,0.09645825624465942,0.10397392511367798,0.18470019102096558
poly_2367,D0,0.8721014261245728,True,50,1.0,0.8295098543167114,0.8295098543167114,0.8721014261245728,0.8721014261245728
poly_1211,D0,0.48878270387649536,True,50,1.0,0.3009943962097168,0.48878270387649536,0.48878270387649536,0.48878270387649536
poly_3019,D0,0.14780592918395996,True,50,1.0,0.13377779722213745,0.13377779722213745,0.13377779722213745,0.14780592918395996
poly_3129,D0,0.5825992822647095,True,50,1.0,0.2405117154121399,0.24242377281188965,0.24242377281188965,0.5825992822647095
poly_2068,D0,0.3653596341609955,True,50,1.0,0.24732956290245056,0.24732956290245056,0.2826274335384369,0.3653596341609955
poly_782,D0,0.31640589237213135,True,50,1.0,0.14288073778152466,0.22135543823242188,0.22135543823242188,0.31640589237213135
poly_45,D0,1.2345746755599976,True,50,1.0,0.6942887306213379,1.024021029472351,1.2331328392028809,1.2345746755599976
poly_3063,D0,0.27075183391571045,True,20,1.0,0.21983873844146729,0.21983873844146729,0.27075183391571045,0.27075183391571045
poly_903,D0,0.5248178243637085,True,50,1.0,0.37738919258117676,0.5248178243637085,0.5248178243637085,0.5248178243637085
