source_id,D0_drift,D1_drift,improvement
poly_3655,0.2278466820716858,0.16761794686317444,0.06022873520851135
poly_2369,0.7337827682495117,0.05604010820388794,0.6777426600456238
poly_1215,0.5329413414001465,0.10531610250473022,0.42762523889541626
poly_4015,0.3948623538017273,0.2713707685470581,0.12349158525466919
poly_517,0.7789402604103088,0.5021796822547913,0.2767605781555176
poly_1159,0.4433116316795349,0.20063120126724243,0.24268043041229248
poly_2493,0.6333127021789551,0.06795603036880493,0.5653566718101501
poly_2226,0.6698780059814453,0.0696064829826355,0.6002715229988098
poly_17,1.8620188236236572,0.6389580965042114,1.2230607271194458
poly_956,0.6060354709625244,0.07834318280220032,0.5276922881603241
poly_898,0.5210397243499756,0.2090049386024475,0.3120347857475281
poly_1667,0.6052423715591431,0.6104220747947693,-0.005179703235626221
poly_3362,0.3454400897026062,0.3846938908100128,-0.039253801107406616
poly_3703,0.700198769569397,0.46075865626335144,0.23944011330604553
poly_793,0.5531137585639954,0.28183114528656006,0.2712826132774353
poly_3189,0.23835384845733643,0.32981082797050476,-0.09145697951316833
poly_2734,0.8335893154144287,0.13743916153907776,0.696150153875351
poly_1549,0.721710741519928,0.154463529586792,0.567247211933136
poly_3746,0.9598692655563354,0.1227654218673706,0.8371038436889648
poly_2736,0.4262722432613373,0.11237195134162903,0.31390029191970825
poly_1005,0.44943779706954956,0.8455357551574707,-0.39609795808792114
poly_367,1.2111271619796753,0.5052875876426697,0.7058395743370056
poly_2223,0.6090614199638367,0.08006101846694946,0.5290004014968872
poly_3386,0.14781486988067627,0.37469446659088135,-0.22687959671020508
poly_1160,0.5739663243293762,0.7621439099311829,-0.18817758560180664
poly_1072,0.7170193195343018,0.05840855836868286,0.6586107611656189
poly_675,0.6894002556800842,0.08199554681777954,0.6074047088623047
poly_754,0.28671175241470337,0.34507548809051514,-0.05836373567581177
poly_2459,0.5218496918678284,0.1682911515235901,0.3535585403442383
poly_155,0.66343754529953,1.019270658493042,-0.35583311319351196
poly_2461,0.5598500967025757,0.11907291412353516,0.4407771825790405
poly_2368,0.588099479675293,0.051711440086364746,0.5363880395889282
poly_512,0.34299445152282715,0.6709176898002625,-0.3279232382774353
poly_1419,0.7719064354896545,0.9491901397705078,-0.17728370428085327
poly_2967,0.20285695791244507,0.12354466319084167,0.0793122947216034
poly_2076,0.2405295968055725,0.09163334965705872,0.1488962471485138
poly_1298,0.4526539444923401,0.13658195734024048,0.3160719871520996
poly_1468,0.5085643529891968,0.07593852281570435,0.43262583017349243
poly_2730,0.8898513317108154,0.07282435894012451,0.8170269727706909
poly_1609,0.3531717360019684,0.3328166902065277,0.020355045795440674
poly_1809,0.845937192440033,1.4380816221237183,-0.5921444296836853
poly_3627,0.4470515251159668,0.11550691723823547,0.3315446078777313
poly_660,0.5490566492080688,0.08225661516189575,0.4668000340461731
poly_1826,0.6689081192016602,0.06908825039863586,0.5998198688030243
poly_2932,0.6035173535346985,0.5834527611732483,0.020064592361450195
poly_442,0.6742182970046997,0.6718107461929321,0.002407550811767578
poly_449,0.7831941843032837,0.4613706171512604,0.3218235671520233
poly_2437,1.0057568550109863,0.05714571475982666,0.9486111402511597
poly_2772,0.49174240231513977,0.42875242233276367,0.0629899799823761
poly_3030,0.7146679759025574,0.15459191799163818,0.5600760579109192
poly_3779,0.6596093773841858,0.4770759344100952,0.18253344297409058
poly_2836,0.18470019102096558,0.0937289297580719,0.09097126126289368
poly_2367,0.8721014261245728,0.09481608867645264,0.7772853374481201
poly_1211,0.48878270387649536,0.10567629337310791,0.38310641050338745
poly_3019,0.14780592918395996,0.08568835258483887,0.062117576599121094
poly_3129,0.5825992822647095,0.215322345495224,0.3672769367694855
poly_2068,0.3653596341609955,0.10335728526115417,0.2620023488998413
poly_782,0.31640589237213135,0.19584333896636963,0.12056255340576172
poly_45,1.2345746755599976,0.6333525776863098,0.6012220978736877
poly_3063,0.27075183391571045,0.18973925709724426,0.08101257681846619
poly_903,0.5248178243637085,0.10718384385108948,0.417633980512619
poly_3763,1.0583165884017944,0.13169878721237183,0.9266178011894226
poly_990,0.5437226891517639,0.2663978338241577,0.2773248553276062
poly_1689,0.522606372833252,0.06697845458984375,0.4556279182434082
poly_2093,0.4576510488986969,0.13124191761016846,0.32640913128852844
poly_3799,0.26127076148986816,0.6141253709793091,-0.3528546094894409
poly_930,1.0063236951828003,0.13150230050086975,0.8748213946819305
poly_3620,0.19337546825408936,0.08107239007949829,0.11230307817459106
poly_2098,0.6219435334205627,0.061478495597839355,0.5604650378227234
poly_1493,0.68468177318573,0.09292533993721008,0.5917564332485199
poly_1294,0.5404294729232788,0.07101479172706604,0.46941468119621277
poly_2531,0.48666268587112427,0.11470460891723633,0.37195807695388794
poly_514,0.3170356750488281,0.23102647066116333,0.0860092043876648
poly_244,0.6832558512687683,0.22844988107681274,0.45480597019195557
poly_466,0.7041870355606079,0.9523159265518188,-0.24812889099121094
poly_1171,0.6151701211929321,0.09134572744369507,0.5238243937492371
poly_3842,0.3228565454483032,0.12103271484375,0.20182383060455322
poly_3552,0.4105603098869324,0.29804712533950806,0.11251318454742432
poly_1117,0.7244051098823547,1.137676477432251,-0.41327136754989624
poly_3629,0.2574096918106079,0.6197433471679688,-0.36233365535736084
poly_2356,1.4102799892425537,0.6957725286483765,0.7145074605941772
poly_1461,0.44946813583374023,0.1897934377193451,0.25967469811439514
poly_483,1.1250050067901611,0.8322378396987915,0.29276716709136963
poly_1700,0.899333119392395,0.07616782188415527,0.8231652975082397
poly_3290,0.22341901063919067,0.0663694441318512,0.15704956650733948
poly_2156,0.4433160424232483,0.21045219898223877,0.23286384344100952
poly_3385,0.21439796686172485,0.09605023264884949,0.11834773421287537
poly_967,0.5547353029251099,0.8759786486625671,-0.3212433457374573
poly_3072,0.7721462845802307,0.42003315687179565,0.35211312770843506
poly_3316,0.10687077045440674,0.18863365054130554,-0.0817628800868988
poly_259,0.6220110058784485,0.5293301939964294,0.09268081188201904
poly_231,0.4781423807144165,0.5310011506080627,-0.05285876989364624
poly_2052,0.5456257462501526,0.07268154621124268,0.4729442000389099
poly_128,0.49073004722595215,0.8582547307014465,-0.3675246834754944
poly_2200,0.603334903717041,0.0951312780380249,0.5082036256790161
poly_32,1.4871782064437866,0.8727489709854126,0.614429235458374
poly_2124,0.5051594376564026,0.14219138026237488,0.3629680573940277
poly_1654,0.5193086266517639,0.11429479718208313,0.4050138294696808
poly_189,0.3584778308868408,0.3607867360115051,-0.0023089051246643066
poly_769,0.33041155338287354,0.12158018350601196,0.20883136987686157
