source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_45,ordinary_baseline,metropolis_mcmc,5,0.44893574714660645,1.4374184608459473,0.3123208441906329,0
poly_3063,ordinary_baseline,metropolis_mcmc,5,0.546257495880127,1.1043891906738281,0.4946240876794849,0
poly_903,ordinary_baseline,metropolis_mcmc,5,0.5873494148254395,0.7673673629760742,0.7654083860792923,0
poly_3763,ordinary_baseline,metropolis_mcmc,5,0.3694324493408203,2.0192179679870605,0.18295818242401243,0
poly_990,ordinary_baseline,metropolis_mcmc,5,0.6283304691314697,1.687851905822754,0.3722663504800714,0
poly_1689,ordinary_baseline,metropolis_mcmc,5,1.8422174453735352,1.8422179222106934,0.9999997411613727,1
poly_2093,ordinary_baseline,metropolis_mcmc,5,0.6606044769287109,0.897301197052002,0.7362126330590713,0
poly_3799,ordinary_baseline,metropolis_mcmc,5,0.48482227325439453,1.1011090278625488,0.44030360389971734,0
poly_930,ordinary_baseline,metropolis_mcmc,5,0.26869654655456543,1.6870548725128174,0.15926959515806977,0
poly_3620,ordinary_baseline,metropolis_mcmc,5,0.44241762161254883,1.6385364532470703,0.27000779917701223,0
poly_2098,ordinary_baseline,metropolis_mcmc,5,0.10044479370117188,1.1938190460205078,0.08413736908955832,0
poly_1493,ordinary_baseline,metropolis_mcmc,5,0.13224172592163086,2.0398173332214355,0.06483018051071496,0
poly_1294,ordinary_baseline,metropolis_mcmc,5,0.11599349975585938,2.4395828247070312,0.047546448753913076,0
poly_2531,ordinary_baseline,metropolis_mcmc,5,0.35802245140075684,1.4040453433990479,0.25499351077510196,0
poly_514,ordinary_baseline,metropolis_mcmc,5,0.64115309715271,0.9305727481842041,0.6889876137075482,0
poly_244,ordinary_baseline,metropolis_mcmc,5,1.4586563110351562,1.5426135063171387,0.9455747049159299,0
