source,candidate,drift_gnn,drift_tx,node_diff,edge_diff,degree_diff
[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4cnc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,0.020409822463989258,0.0075130462646484375,0,0,0.0
[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccncc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,0.04339766502380371,0.05175638198852539,0,0,0.0
[*]c1cccc(-c2nnc([*])o2)c1,[*]c1cccs(-c2nnc([*])o2)c1,1.000624656677246,0.3265256881713867,0,0,0.0
[*]c1cccc(-c2nnc([*])o2)c1,[*]c1cccc(-c2nnc([*])s2)c1,0.6602137088775635,0.34473752975463867,0,0,0.0
[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(-O)N[*],0.054625511169433594,0.11671018600463867,0,0,0.0
[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],[*]CCCCCCCNC(=O)CCCCCCICCCCCCCCCCCC(=O)N[*],0.9750576019287109,0.08253860473632812,0,0,0.0
[*]CC(O[*])C1CC(F)(F)C1(F)F,[*]CC(C[*])C1CC(F)(F)C1(F)F,0.006686210632324219,0.5636305809020996,0,0,0.0
[*]CC(O[*])C1CC(F)(F)C1(F)F,[*]CC(O[*])S1CC(F)(F)C1(F)F,0.0028891563415527344,1.5831913948059082,0,0,0.0
[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)cc1,[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=I)cc1,0.24683856964111328,0.016203880310058594,0,0,0.0
[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)cc1,[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(/O)N([*])C5=O)cc3C2=O)cc1,0.18555641174316406,0.06970715522766113,0,0,0.0
[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)cc1,[*]c1ccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(n4)C(=O)N([*])C5=O)cc3C2=O)cc1,0.020572185516357422,0.020191192626953125,0,0,0.0
[*]CC1CCCC(CNC(=O)CCCCCCCCCCC(=O)N[*])C1,[*]CC1CCCC(CNC(-O)CCCCCCCCCCC(=O)N[*])C1,0.005144596099853516,0.011721134185791016,0,0,0.0
[*]CC1CCCC(CNC(=O)CCCCCCCCCCC(=O)N[*])C1,[*]CC1CCCC(CNC(=O)CCCCOCCCCCC(=O)N[*])C1,0.14125394821166992,0.09573745727539062,0,0,0.0
[*]Cc1ccc(COC(=O)C2CCC(C(=O)O[*])CC2)cc1,[*]Cc1ccc(COC(=O)C2CCC(C(-O)O[*])CC2)cc1,0.09806537628173828,0.03278684616088867,0,0,0.0
[*]Cc1ccc(COC(=O)C2CCC(C(=O)O[*])CC2)cc1,[*]Cc1ccc(COS(=O)C2CCC(C(=O)O[*])CC2)cc1,0.09372234344482422,0.4674644470214844,0,0,0.0
[*]Cc1ccc(COC(=O)C2CCC(C(=O)O[*])CC2)cc1,[*]Cc1ccc(CPC(=O)C2CCC(C(=O)O[*])CC2)cc1,0.3972330093383789,0.011829376220703125,0,0,0.0
[*]Nc1cc([*])ccc1CCCCCCCCCCCC,[*]Nc1cc([*])ncc1CCCCCCCCCCCC,0.10994768142700195,0.6072087287902832,0,0,0.0
[*]Nc1cc([*])ccc1CCCCCCCCCCCC,[*]Nc1cc([*])ccc1CCCICCCCCCCC,0.425140380859375,0.02638530731201172,0,0,0.0
[*]Nc1cc([*])ccc1CCCCCCCCCCCC,[*]Pc1cc([*])ccc1CCCCCCCCCCCC,0.05722188949584961,0.5344381332397461,0,0,0.0
[*]Nc1cc([*])ccc1CCCCCCCCCCCC,[*]Nc1cc([*])cnc1CCCCCCCCCCCC,0.1212306022644043,0.9911332130432129,0,0,0.0
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]NC(=O)CCS(=O)(=O)CCC([*])=O,0.5314803123474121,0.5785403251647949,0,0,0.0
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=O)(=O)CCC([*])-O,0.09899616241455078,0.38001155853271484,0,0,0.0
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=O)(=O)CPC([*])=O,0.8505692481994629,0.09608650207519531,0,0,0.0
[*]OC(=O)CCS(=O)(=O)CCC([*])=O,[*]OC(=O)CCS(=O)(\O)CCC([*])=O,0.07171630859375,0.026620864868164062,0,0,0.0
[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]CCSCC(=O)NCCCCCCNC(=O)CCCCS[*],0.3241887092590332,0.11150884628295898,0,0,0.0
[*]CCCCC(=O)NCCCCCCNC(=O)CCCCS[*],[*]CCCCC(=O)NCCCCCCNC(\O)CCCCS[*],0.017441272735595703,0.11606693267822266,0,0,0.0
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],[*]NC(S1)=CC=C1C(C=C2)=PC=C2C(=S)[*],0.1146085262298584,0.10132932662963867,0,0,0.0
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],[*]OC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],0.36952733993530273,0.818540096282959,0,0,0.0
[*]C=C([*])c1nc2ccccc2n1C,[*]C=C([*])c1nc2ccccs2n1C,1.1641409397125244,0.8902509212493896,0,0,0.0
[*]C=C([*])c1nc2ccccc2n1C,[*]C=C([*])c1nc2ccccc2n1Br,0.30110597610473633,0.014746427536010742,0,0,0.0
[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,[*]C(=C)c1ccc(C(=O)N2CCN([*])CC2)cc1,0.21777987480163574,0.35621094703674316,0,0,0.0
[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,[*]C(=O)c1ccc(C(=O)N2CCN([*])IC2)cc1,0.03171133995056152,0.15169048309326172,0,0,0.0
[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,[*]C(/O)c1ccc(C(=O)N2CCN([*])CC2)cc1,0.38021373748779297,0.49178361892700195,0,0,0.0
C([*])C(C)(C(=O)OCCCOC)([*]),C([*])C(C)(C(\O)OCCCOC)([*]),0.06463432312011719,0.5303220748901367,0,0,0.0
C([*])C(C)(C(=O)OCCCOC)([*]),C([*])C(C)(C(=O)OCCSOC)([*]),0.3651542663574219,0.6529159545898438,0,0,0.0
C([*])C(C)(C(=O)OCCCOC)([*]),C([*])C(C)(I(=O)OCCCOC)([*]),0.6814303398132324,0.038788795471191406,0,0,0.0
C([*])C(C)(C(=O)OCCCOC)([*]),C([*])C(C)(C(=O)OCCCCC)([*]),0.1802210807800293,0.08178567886352539,0,0,0.0
[*]NC(S1)=CC=C1C(=O)O[*],[*]NC(S1)=CI=C1C(=O)O[*],1.073702335357666,0.22539234161376953,0,0,0.0
[*]NC(S1)=CC=C1C(=O)O[*],[*]OC(S1)=CC=C1C(=O)O[*],0.20212459564208984,1.127540111541748,0,0,0.0
[*]Nc1cc(OC)c([*])cc1OC,[*]Nc1cc(NC)c([*])cc1OC,0.10907530784606934,0.10713458061218262,0,0,0.0
[*]Nc1cc(OC)c([*])cc1OC,[*]Nc1cc(ON)c([*])cc1OC,0.018540620803833008,0.03002166748046875,0,0,0.0
[*]c1ccc(-c2nnc([*])o2)c(OCC)c1,[*]c1ncc(-c2nnc([*])o2)c(OCC)c1,0.11574316024780273,0.03181028366088867,0,0,0.0
[*]NC(=O)c1ccc(C(=O)Nc2ccc3c(c2)[nH]c(=O)c2cc([*])ccc23)cc1,[*]NC(/O)c1ccc(C(=O)Nc2ccc3c(c2)[nH]c(=O)c2cc([*])ccc23)cc1,0.3023495674133301,0.17212390899658203,0,0,0.0
[*]NC(=O)c1ccc(C(=O)Nc2ccc3c(c2)[nH]c(=O)c2cc([*])ccc23)cc1,[*]NC(=O)c1ccc(C(=O)Nc2ccc3c(c2)[nH]c(=N)c2cc([*])ccc23)cc1,0.018869876861572266,0.0026216506958007812,0,0,0.0
[*]CC(CC)(CC)CS[*],[*]OC(CC)(CC)CS[*],0.05030012130737305,0.3535780906677246,0,0,0.0
[*]CC(CC)(CC)CS[*],[*]CC(CC)(CC)CC[*],1.1625094413757324,1.9758720397949219,0,0,0.0
[*]CC(CC)(CC)CS[*],[*]CI(CC)(CC)CS[*],0.6126856803894043,0.019682884216308594,0,0,0.0
[*]CC(CC)(CC)CS[*],[*]IC(CC)(CC)CS[*],0.6636605262756348,0.2174539566040039,0,0,0.0
[*]c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,[*]c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cn2)c([*])s1,0.03172564506530762,0.021945714950561523,0,0,0.0
[*]c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,[*]s1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,0.5788342952728271,0.02426600456237793,0,0,0.0
[*]c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,[*]c1cc(CCCCCPCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,0.22124671936035156,0.25739026069641113,0,0,0.0
[*]c1ccc(C)c(N2CC(=O)N([*])CC2=O)c1,[*]c1ccc(C)c(N2CC(=O)N([*])CC2=O)n1,0.14333057403564453,0.0701284408569336,0,0,0.0
[*]c1ccc(C)c(N2CC(=O)N([*])CC2=O)c1,[*]c1ccc(C)c(N2PC(=O)N([*])CC2=O)c1,0.16898894309997559,0.15920162200927734,0,0,0.0
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCC([*])=O)cc2)C(=O)OC(C)CC)cc1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCC([*])=O)cc2)C(=O)IC(C)CC)cc1,0.20545101165771484,0.07519721984863281,0,0,0.0
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCC([*])=O)cc2)C(=O)OC(C)CC)cc1,[*]Oc1ccc(CC(NC(=O)CCc2ccc(CC(=O)CCC([*])=O)cc2)C(=O)OC(C)CC)cc1,0.10960674285888672,0.12692928314208984,0,0,0.0
