strategy,n_examples,query_budget,mean_candidate_queries,budget_exhaustion_rate,mean_candidate_proposals,representation_validity_rate,eligible_validity_rate,mean_acceptance_rate,mean_best_drift,median_best_drift,mean_drift_per_query,mean_elapsed_seconds,mean_perturbation_size
random,25,30,29.4,0.96,559.8,0.08831725616291533,0.0873883529832083,,1.4711366081237793,1.418755054473877,0.05014640299479166,0.28145008195999255,2.84
greedy,25,30,26.84,0.64,784.68,0.1326400570933374,0.13248712851098537,0.10317065451568844,1.8167379570007325,1.6891429424285889,0.07072266780476202,0.42199676291997096,2.96
beam,25,30,30.0,1.0,121.52,0.30315997366688613,0.30184331797235026,,1.750122594833374,1.644174575805664,0.05833741982777914,0.09634686407993286,2.88
metropolis_mcmc,25,30,28.24,0.8,607.56,0.1356244650734084,0.13542695371650537,0.318771322734982,1.8895335388183594,1.31435227394104,0.06861400564511616,0.3136192098399806,3.0
evolutionary,25,30,29.52,0.92,269.4,0.1414996288047513,0.1414996288047513,1.0,1.682198829650879,1.4436168670654297,0.056756778448906496,0.20343487843998445,2.92
