sample_id,strategy,query_number,best_drift
row_3026,random,0,0.0
row_3026,random,1,0.26297855377197266
row_3026,random,2,0.26297855377197266
row_3026,random,3,0.26297855377197266
row_3026,random,4,0.36522865295410156
row_3026,random,5,0.36522865295410156
row_3026,random,6,0.36522865295410156
row_3026,random,7,0.9401512145996094
row_3026,random,8,0.9401512145996094
row_3026,random,9,0.9401512145996094
row_3026,random,10,0.9401512145996094
row_3026,random,11,0.9401512145996094
row_3026,random,12,0.9401512145996094
row_3026,random,13,0.9401512145996094
row_3026,random,14,0.9401512145996094
row_3026,random,15,0.9401512145996094
row_3026,random,16,0.9401512145996094
row_3026,random,17,0.9401512145996094
row_3026,random,18,0.9401512145996094
row_3026,random,19,1.0735998153686523
row_3026,random,20,1.0735998153686523
row_3026,random,21,1.202092170715332
row_3026,random,22,1.202092170715332
row_3026,random,23,1.202092170715332
row_3026,random,24,1.202092170715332
row_3026,random,25,1.202092170715332
row_3026,random,26,1.202092170715332
row_3026,random,27,1.6219379901885986
row_3026,random,28,1.6219379901885986
row_3026,random,29,2.2660632133483887
row_3026,random,30,2.2660632133483887
row_3026,greedy,0,0.0
row_3026,greedy,1,0.26297855377197266
row_3026,greedy,2,0.26297855377197266
row_3026,greedy,3,0.741325855255127
row_3026,greedy,4,0.741325855255127
row_3026,greedy,5,0.741325855255127
row_3026,greedy,6,0.741325855255127
row_3026,greedy,7,0.741325855255127
row_3026,greedy,8,0.8828263282775879
row_3026,greedy,9,0.8828263282775879
row_3026,greedy,10,0.8828263282775879
row_3026,greedy,11,0.8828263282775879
row_3026,greedy,12,1.1024842262268066
row_3026,greedy,13,1.1024842262268066
row_3026,greedy,14,1.1024842262268066
row_3026,greedy,15,1.1024842262268066
row_3026,greedy,16,1.1024842262268066
row_3026,greedy,17,1.1024842262268066
row_3026,greedy,18,1.1024842262268066
row_3026,greedy,19,1.1024842262268066
row_3026,greedy,20,1.1024842262268066
row_3026,greedy,21,1.1024842262268066
row_3026,greedy,22,1.1959223747253418
row_3026,greedy,23,1.1959223747253418
row_3026,greedy,24,1.1959223747253418
row_3026,greedy,25,1.1959223747253418
row_3026,greedy,26,1.1959223747253418
row_3026,greedy,27,1.1959223747253418
row_3026,greedy,28,1.1959223747253418
row_3026,greedy,29,1.1959223747253418
row_3026,greedy,30,1.1959223747253418
row_3026,beam,0,0.0
row_3026,beam,1,0.26297855377197266
row_3026,beam,2,0.42125892639160156
row_3026,beam,3,1.5841526985168457
row_3026,beam,4,1.5841526985168457
row_3026,beam,5,1.5841526985168457
row_3026,beam,6,1.698338508605957
row_3026,beam,7,1.698338508605957
row_3026,beam,8,1.698338508605957
row_3026,beam,9,1.698338508605957
row_3026,beam,10,1.698338508605957
row_3026,beam,11,1.698338508605957
row_3026,beam,12,1.698338508605957
row_3026,beam,13,1.698338508605957
row_3026,beam,14,1.698338508605957
row_3026,beam,15,1.698338508605957
row_3026,beam,16,1.698338508605957
row_3026,beam,17,1.698338508605957
row_3026,beam,18,1.698338508605957
row_3026,beam,19,1.698338508605957
row_3026,beam,20,1.698338508605957
row_3026,beam,21,1.698338508605957
row_3026,beam,22,1.698338508605957
row_3026,beam,23,1.698338508605957
row_3026,beam,24,1.698338508605957
row_3026,beam,25,1.698338508605957
row_3026,beam,26,1.698338508605957
row_3026,beam,27,1.698338508605957
row_3026,beam,28,1.698338508605957
row_3026,beam,29,1.698338508605957
row_3026,beam,30,1.698338508605957
row_3026,metropolis_mcmc,0,0.0
row_3026,metropolis_mcmc,1,0.26297855377197266
row_3026,metropolis_mcmc,2,0.26297855377197266
row_3026,metropolis_mcmc,3,0.26297855377197266
row_3026,metropolis_mcmc,4,0.29519081115722656
row_3026,metropolis_mcmc,5,0.8075070381164551
row_3026,metropolis_mcmc,6,1.088383674621582
row_3026,metropolis_mcmc,7,1.6227374076843262
row_3026,metropolis_mcmc,8,1.6227374076843262
row_3026,metropolis_mcmc,9,1.6227374076843262
row_3026,metropolis_mcmc,10,1.6227374076843262
row_3026,metropolis_mcmc,11,1.6227374076843262
row_3026,metropolis_mcmc,12,1.6227374076843262
row_3026,metropolis_mcmc,13,1.6227374076843262
row_3026,metropolis_mcmc,14,1.6227374076843262
row_3026,metropolis_mcmc,15,1.6227374076843262
row_3026,metropolis_mcmc,16,2.9479916095733643
row_3026,metropolis_mcmc,17,3.166996955871582
row_3026,metropolis_mcmc,18,3.166996955871582
row_3026,metropolis_mcmc,19,3.166996955871582
row_3026,metropolis_mcmc,20,3.166996955871582
row_3026,metropolis_mcmc,21,3.214907169342041
row_3026,metropolis_mcmc,22,3.214907169342041
row_3026,metropolis_mcmc,23,3.214907169342041
row_3026,metropolis_mcmc,24,3.5010194778442383
row_3026,metropolis_mcmc,25,3.5010194778442383
row_3026,metropolis_mcmc,26,3.5010194778442383
row_3026,metropolis_mcmc,27,3.5010194778442383
row_3026,metropolis_mcmc,28,3.5010194778442383
row_3026,metropolis_mcmc,29,3.5010194778442383
row_3026,metropolis_mcmc,30,3.5010194778442383
row_3026,evolutionary,0,0.0
row_3026,evolutionary,1,0.26297855377197266
row_3026,evolutionary,2,0.42125892639160156
row_3026,evolutionary,3,1.0853471755981445
row_3026,evolutionary,4,1.0853471755981445
row_3026,evolutionary,5,1.0853471755981445
row_3026,evolutionary,6,1.0853471755981445
row_3026,evolutionary,7,1.0853471755981445
row_3026,evolutionary,8,1.3554329872131348
row_3026,evolutionary,9,1.3554329872131348
row_3026,evolutionary,10,1.3554329872131348
row_3026,evolutionary,11,1.3554329872131348
row_3026,evolutionary,12,1.8031384944915771
row_3026,evolutionary,13,1.8031384944915771
row_3026,evolutionary,14,1.8031384944915771
row_3026,evolutionary,15,1.8031384944915771
row_3026,evolutionary,16,1.8031384944915771
row_3026,evolutionary,17,1.8031384944915771
row_3026,evolutionary,18,1.8031384944915771
row_3026,evolutionary,19,1.8031384944915771
row_3026,evolutionary,20,1.8031384944915771
row_3026,evolutionary,21,1.8031384944915771
row_3026,evolutionary,22,1.8031384944915771
row_3026,evolutionary,23,1.8031384944915771
row_3026,evolutionary,24,1.9956798553466797
row_3026,evolutionary,25,1.9956798553466797
row_3026,evolutionary,26,1.9956798553466797
row_3026,evolutionary,27,1.9956798553466797
row_3026,evolutionary,28,1.9956798553466797
row_3026,evolutionary,29,1.9956798553466797
row_3026,evolutionary,30,1.9956798553466797
row_3131,random,0,0.0
row_3131,random,1,0.08664417266845703
row_3131,random,2,0.08664417266845703
row_3131,random,3,0.12648725509643555
row_3131,random,4,0.36606335639953613
row_3131,random,5,0.36606335639953613
row_3131,random,6,0.36606335639953613
row_3131,random,7,0.36606335639953613
row_3131,random,8,0.6385164260864258
row_3131,random,9,0.6385164260864258
row_3131,random,10,0.6895003318786621
row_3131,random,11,0.6895003318786621
row_3131,random,12,0.6974124908447266
row_3131,random,13,1.1783723831176758
row_3131,random,14,1.1783723831176758
row_3131,random,15,1.1783723831176758
row_3131,random,16,1.3523259162902832
