mean_drift,median_drift,p95,max,std,Model
0.2589852,0.21971762,0.64225507,1.397479,0.20090689,Transformer_Ordinary
0.1583268,0.11789918,0.44080693,1.272481,0.15021104,Transformer_MixedRobust
0.16289225,0.096788645,0.5602653,1.8353729,0.19785203,Transformer_Augmented
6.296696e-08,0.0,4.7683716e-07,9.536743e-07,1.4589982e-07,GraphMPNN_Small
