domain,attack_family,budget,n,success_rate,mean_drift,median_drift,p90_drift,mean_edits,mean_queries,median_queries_to_success,mean_runtime,validity_rate,transfer_success_rate
Bio-Cyber V3,Attr-High,5,15,0.2,0.13292383818576733,0.12496614456176758,0.22532696127891538,1.0,5.0,3.0,0.0019670804341634113,1.0,0.13333333333333333
Bio-Cyber V3,Attr-High,20,15,0.26666666666666666,0.19052468507240217,0.1820632815361023,0.2841161251068115,1.0,20.0,3.0,0.006529680887858073,1.0,0.13333333333333333
Bio-Cyber V3,Attr-High,50,15,0.4666666666666667,0.24130109703789154,0.26202982664108276,0.3519223928451538,1.0,50.0,5.5,0.019730472564697267,1.0,0.13333333333333333
Bio-Cyber V3,Attr-Low,5,15,0.06666666666666667,0.05330839461336533,0.04756176471710205,0.09830185174942016,1.0,5.0,3.0,0.001970799763997396,1.0,0.0
Bio-Cyber V3,Attr-Low,20,15,0.13333333333333333,0.08650331950436035,0.07680721580982208,0.1545851707458496,1.0,20.0,3.0,0.007257477442423502,1.0,0.06666666666666667
Bio-Cyber V3,Attr-Low,50,15,0.13333333333333333,0.10949366545925537,0.08234822750091553,0.19609196186065675,1.0,50.0,3.0,0.017682011922200522,1.0,0.0
Bio-Cyber V3,Attr-Rand,5,15,0.2,0.10402808959285419,0.09012556076049805,0.19195177555084228,0.9333333333333333,5.0,1.0,0.0020497957865397137,1.0,0.06666666666666667
Bio-Cyber V3,Attr-Rand,20,15,0.2,0.12534679888437192,0.118141770362854,0.2177599310874939,1.0,20.0,3.5,0.00827630360921224,1.0,0.0
Bio-Cyber V3,Attr-Rand,50,15,0.26666666666666666,0.1591254721706112,0.1910686492919922,0.23859318494796752,1.0,50.0,2.5,0.017855707804361978,1.0,0.13333333333333333
Bio-Cyber V3,Evolutionary,5,15,0.0,0.0,0.0,0.0,0.0,5.0,,0.0009532451629638671,1.0,0.0
Bio-Cyber V3,Evolutionary,20,15,0.26666666666666666,0.2247751551369826,0.20738011598587036,0.3970536172389984,2.8666666666666667,20.0,7.0,0.003456592559814453,1.0,0.06666666666666667
Bio-Cyber V3,Evolutionary,50,15,0.5333333333333333,0.47311416460822026,0.5180862545967102,0.6899898529052734,7.333333333333333,50.0,11.0,0.007816966374715168,1.0,0.4
Bio-Cyber V3,MCMC,5,15,0.2,0.12504181632151207,0.07525384426116943,0.3053443312644958,2.8666666666666667,5.0,3.0,0.0017206668853759766,1.0,0.0
Bio-Cyber V3,MCMC,20,15,0.4666666666666667,0.34228517015775045,0.2783430814743042,0.4969908714294433,8.4,20.0,3.0,0.006765604019165039,1.0,0.13333333333333333
Bio-Cyber V3,MCMC,50,15,0.6,0.5120092488825321,0.5987856984138489,0.802757740020752,16.4,50.0,6.0,0.016713714599609374,1.0,0.4
Bio-Cyber V3,Random,5,15,0.2,0.09597423231850068,0.06212252378463745,0.19814156293869015,1.0,5.0,3.0,0.000973049799601237,1.0,0.0
Bio-Cyber V3,Random,20,15,0.2,0.1407811180378,0.1445387303829193,0.22899523973464966,1.0,20.0,2.0,0.006153392791748047,1.0,0.06666666666666667
Bio-Cyber V3,Random,50,15,0.3333333333333333,0.18670121238877377,0.21764826774597168,0.27245643138885495,1.0,50.0,2.5,0.0166258970896403,1.0,0.0
