epoch,l_clean,l_adv,val_mae,val_r2,lambda
1,15.09339952468872,15.180764257907867,0.6869530364292957,0.6126298910907553,0.1
2,11.340509414672852,11.901767611503601,1.1625745237401988,0.06218433028244519,0.1
3,8.528998583555222,8.804652392864227,1.6830949385046965,-0.8023363628110354,0.1
4,5.99529841542244,6.106679469347,2.2896360582296102,-2.144795138445856,0.1
5,3.53597129881382,4.1658340990543365,3.1083962331503043,-4.554733666911442,0.1
6,1.5837661810219288,1.7946418598294258,3.8695042923114604,-7.3411967499784545,0.1
7,0.7141599617898464,0.98655722476542,4.301691683310276,-9.101409782179683,0.1
8,0.4490855922922492,0.7754783444106579,4.523937711314357,-10.042704475962235,0.1
9,0.39523229468613863,0.614088767208159,4.665335296460729,-10.65147242319354,0.1
10,0.3715520277619362,0.5355906151235104,4.759483942437752,-11.05959220841456,0.1
11,0.34257439663633704,0.507195002399385,4.821533645406381,-11.325321828016685,0.1
12,0.30814635567367077,0.5537641998380423,4.871743066662514,-11.544939399095236,0.1
13,0.2919922121800482,0.4579361730720848,4.885962561829631,-11.59892448547532,0.1
14,0.26604558154940605,0.6663595009595156,4.913146224217326,-11.717710744232955,0.1
15,0.24968700530007482,0.689537082798779,4.932691254143041,-11.798560191427665,0.1
16,0.24828443257138133,0.569803245831281,4.941158520204284,-11.8280154456736,0.1
17,0.2519464963115752,0.5582529653329402,4.961228814200532,-11.908372628241123,0.1
18,0.24966098833829165,0.5607437938451767,4.975334806030054,-11.964891122767296,0.1
19,0.2549419985152781,0.40043876389972866,4.985163418272318,-12.003344880120586,0.1
20,0.21822708216495812,0.6596061731688678,4.9948365252001805,-12.028890145289129,0.1
21,0.23739167163148522,0.5701170512475073,5.019959003525034,-12.138889792081237,0.1
22,0.2272203448228538,0.519190332852304,5.012156186594689,-12.082873055089108,0.1
23,0.21696937480010092,0.46189273474738,5.011374634915771,-12.065966812230135,0.1
24,0.2095325943082571,0.4760638577863574,5.025841008075327,-12.13163189420326,0.1
25,0.20730468537658453,0.6762621263042092,5.030287154369877,-12.144247945959115,0.1
26,0.19524400401860476,0.36129837995395064,5.044913832708162,-12.208017765118361,0.1
27,0.1740659107454121,0.6892568822950125,5.056150099670007,-12.252339805575922,0.1
28,0.1950372918508947,0.46976363752037287,5.055767096578856,-12.234617041340618,0.1
29,0.19020352978259325,0.4986660052090883,5.043406884406386,-12.157256826126682,0.1
30,0.1746684240642935,0.5411683751735836,5.077297664969765,-12.319173953566988,0.1
31,0.15462407562881708,0.7563452091999352,5.088630100622196,-12.37241770993768,0.1
32,0.1540550570935011,0.5910232209134847,5.0980408627473,-12.407947544809456,0.1
33,0.1645485507324338,0.4990985768381506,5.096688547607577,-12.388508038244513,0.1
34,0.15840746904723346,0.7180219991132617,5.0980775432191345,-12.388729822897659,0.1
35,0.16114624729380012,0.5521339317783713,5.098321729644872,-12.376667564092447,0.1
36,0.15726884780451655,0.2681632488965988,5.089606608340353,-12.32844965362599,0.1
37,0.15078634093515575,0.603366160299629,5.095007862155491,-12.355934910446981,0.1
38,0.13678453210741282,0.4660608237609267,5.125067089530091,-12.508708331148306,0.1
39,0.13493988529080525,0.42488540173508227,5.115046474185869,-12.453047575273771,0.1
40,0.12468215287663043,0.6757214828394353,5.134065535165871,-12.545641150428075,0.1
