epoch,l_clean,l_adv,val_mae,val_r2,lambda
1,15.094202399253845,14.69214951992035,0.6857478515426438,0.6136433896097129,0.1
2,11.347965002059937,11.00904631614685,1.1592281442313161,0.06708456933716556,0.1
3,8.539089173078537,8.426290690898895,1.6778300448326409,-0.79216774218196,0.1
4,6.006733626127243,6.107822954654694,2.281464561646819,-2.12625813252141,0.1
5,3.5550645738840103,3.9752990305423737,3.097268406124525,-4.519412884711605,0.1
6,1.5950508080422878,1.7327615730464458,3.863794544728625,-7.317584571281454,0.1
7,0.7153493203222752,0.8856870178133249,4.299479369551638,-9.085364412515146,0.1
8,0.44705548230558634,0.7382682552561164,4.523896735010722,-10.032530342606785,0.1
9,0.39011742267757654,0.5846548806875944,4.66886989305426,-10.654386819689444,0.1
10,0.36593432631343603,0.49069629702717066,4.763480044638068,-11.061908802751246,0.1
11,0.3376584383659065,0.4954107408411801,4.824878840773279,-11.32201353626559,0.1
12,0.30181309673935175,0.5090477336198092,4.876343668387123,-11.548468314073144,0.1
13,0.28476049564778805,0.4138154508545995,4.888564770608878,-11.591748138478048,0.1
14,0.2612087340094149,0.5237311259843409,4.919680000600088,-11.7271157399482,0.1
15,0.24054272565990686,0.5644168809521943,4.940501750416105,-11.807793992517206,0.1
16,0.23733137594535947,0.5125576201826334,4.947203368804565,-11.827297818449258,0.1
17,0.2435952411033213,0.48957177833653986,4.974816862811857,-11.9427883855158,0.1
18,0.24009183328598738,0.38915800978429615,4.989341516382966,-12.002658433027943,0.1
19,0.2390349367633462,0.44704937282949686,4.999690000483169,-12.042861126472332,0.1
20,0.21008038381114602,0.5248312454205006,5.0132684298318315,-12.085084457752915,0.1
21,0.22461043670773506,0.4789080072659999,5.042244187293312,-12.213112267170887,0.1
22,0.2141938302665949,0.3577924291603267,5.034409786067157,-12.154061946424902,0.1
23,0.20222516218200326,0.25672236434184015,5.0395334278738035,-12.166094193414429,0.1
24,0.1949341483414173,0.37091392115689814,5.0506283900598925,-12.21408726739007,0.1
25,0.1926926695741713,0.5009776763617992,5.050076286532492,-12.20283629111681,0.1
26,0.18018113332800567,0.3172352008987218,5.072820692904335,-12.309566304104633,0.1
27,0.15883661969564855,0.539415598497726,5.089763649275685,-12.38404383472443,0.1
28,0.18042630911804736,0.3174820024287328,5.083580610336434,-12.339258723161857,0.1
29,0.17531641433015466,0.5033112075179815,5.078040576310201,-12.298064593981755,0.1
30,0.1615892117843032,0.44494794216006994,5.104055658958487,-12.421669612863614,0.1
31,0.14111227681860328,0.5070778694935143,5.109349951404042,-12.447476216771612,0.1
32,0.13992466824129224,0.45683591486886144,5.108168734122041,-12.428898957507638,0.1
33,0.1527151137124747,0.46276095730718225,5.122315025442965,-12.490357317212462,0.1
34,0.14636363554745913,0.4749973230063915,5.116644819789541,-12.45466722692001,0.1
35,0.1477517739403993,0.32453953800722957,5.1036663305617775,-12.377973542947133,0.1
36,0.1424386608414352,0.2010204349644482,5.098428058772781,-12.351877653068653,0.1
37,0.1388988255057484,0.45325949462130666,5.105414792568781,-12.388409312666827,0.1
38,0.1246006025467068,0.39533167122863233,5.142538579030092,-12.579758164360724,0.1
39,0.12211621622554958,0.2952602026052773,5.120790437928675,-12.461862563483246,0.1
40,0.11381356755737215,0.40101200091885403,5.142804590174245,-12.572011175193724,0.1
