baseline,train_R2,val_R2,test_R2,test_RMSE
sequence_length,0.18049746239136233,0.16860597302260705,0.22609797801817688,1.2325233525498636
token_counts,0.6506530718259181,0.6083865512818771,0.6568890721074105,0.8206716689540949
token_frequencies,0.6421987724188841,0.6466925862498236,0.6524687875585746,0.8259410921909377
2-gram_counts,0.7882015519921346,0.7597775066473619,0.8082184492491205,0.6135579375566825
3-gram_counts,0.8168681140857561,0.8071112441920513,0.8191344678237152,0.595840571054881
