attack_family,budget,seed,n,mean_drift,median_drift,p90_drift,std_drift,max_drift,configured_success_rate,raw_validity,constraint_pass_rate,mean_tanimoto,median_tanimoto,mean_edit_distance,duplicate_rate,mean_queries,mean_runtime
evolutionary,10,42,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.61,1.0,0.052648591995239205
evolutionary,10,123,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.57,1.0,0.05501385211944577
evolutionary,10,777,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.24,1.0,0.05990091323852535
evolutionary,10,999,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.49,1.0,0.061799385547637906
evolutionary,10,2026,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.74,1.0,0.05839455604553219
evolutionary,20,42,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.41,1.0,0.10591884136199947
evolutionary,20,123,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.7,1.0,0.10383888006210323
evolutionary,20,777,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.49,1.0,0.11476944446563717
evolutionary,20,999,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.96,1.0,0.12547978878021238
evolutionary,20,2026,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.98,1.0,0.11016138076782223
evolutionary,50,42,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,22.01,1.0,0.2842605805397034
evolutionary,50,123,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,22.3,1.0,0.29166043281555176
evolutionary,50,777,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,23.1,1.0,0.3239497756958008
evolutionary,50,999,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,22.3,1.0,0.34035311222076414
evolutionary,50,2026,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,22.87,1.0,0.314902241230011
mcmc,10,42,100,0.39810082912445066,0.24490904808044428,0.9807458877563479,0.39420068179852646,1.8334360122680664,0.0,1.0,0.0,0.655202740586261,0.6350711569860398,2.47,0.0,6.73,0.03953921318054195
mcmc,10,123,100,0.3728644347190857,0.274702787399292,0.9272965908050539,0.349272991358374,1.4438636302947998,0.0,1.0,0.0,0.6862958121015684,0.6784465534465535,2.24,0.0,6.57,0.03685193061828609
mcmc,10,777,100,0.44480682849884035,0.35702598094940186,1.0146880149841309,0.40606525721340114,2.172980785369873,0.0,1.0,0.0,0.6532459656554,0.6143364818105302,2.28,0.0,6.51,0.028074278831481884
mcmc,10,999,100,0.4408311915397644,0.2939627170562744,1.0427583217620857,0.45511942794743854,2.031667232513428,0.0,1.0,0.0,0.6419566160017126,0.625307881773399,2.15,0.0,6.41,0.02772470951080317
mcmc,10,2026,100,0.39707183122634887,0.3064284324645996,0.698715257644654,0.37533675079202283,2.29590368270874,0.0,1.0,0.0,0.6491506595154866,0.6303522215500437,2.23,0.0,6.66,0.037152924537658644
mcmc,20,42,100,0.5421622681617737,0.3902416229248047,1.0220197677612306,0.4584227850855248,2.332397937774658,0.0,1.0,0.0,0.6304559594969499,0.6208911054518016,2.94,0.0,11.32,0.06032969951629635
mcmc,20,123,100,0.5340017247200012,0.3812019824981689,1.0778671741485604,0.41712881236062765,1.742849349975586,0.0,1.0,0.0,0.6241887748155338,0.618159163927401,3.05,0.0,11.33,0.06680357217788692
mcmc,20,777,100,0.5393853306770324,0.4156208038330078,1.2829827308654786,0.4690405567043934,2.338111639022827,0.0,1.0,0.0,0.6316287156972024,0.6242493764719174,2.93,0.0,11.35,0.06902638196945186
mcmc,20,999,100,0.4924000310897827,0.3393718004226684,1.0431200027465826,0.4254533920772039,1.686366319656372,0.0,1.0,0.0,0.6117629387816994,0.6012921472937001,2.65,0.0,10.64,0.05766014337539668
mcmc,20,2026,100,0.5110871648788452,0.3401695489883423,1.1950323104858407,0.4718391511343873,2.234074115753174,0.0,1.0,0.0,0.6122361551191036,0.6073224647692732,2.94,0.0,11.02,0.05657432794570919
mcmc,50,42,100,0.6177027988433837,0.49317216873168945,1.3239713191986089,0.48028907376642305,2.335303783416748,0.0,1.0,0.0,0.5953650134051248,0.565773678817157,3.43,0.0,23.02,0.13321927070617673
mcmc,50,123,100,0.6927739024162293,0.6199322938919067,1.3517991781234746,0.5265881436749692,3.132514476776123,0.0,1.0,0.0,0.5910002354104781,0.5599810934299669,3.61,0.0,23.08,0.13323604106903073
mcmc,50,777,100,0.6526731705665588,0.5428078174591064,1.1959320545196537,0.49938581676641225,3.1820242404937744,0.0,1.0,0.0,0.5997701323125133,0.5748273144018752,3.79,0.0,23.4,0.12875170707702632
mcmc,50,999,100,0.6346145129203796,0.5392137765884399,1.1430075645446778,0.487238981737006,2.562588930130005,0.0,1.0,0.0,0.5882113804918186,0.5727526741423665,3.97,0.0,22.46,0.12438181877136227
mcmc,50,2026,100,0.613391306400299,0.4335925579071045,1.3100213527679452,0.5174973479032327,2.298928737640381,0.0,1.0,0.0,0.5889563831621621,0.5859712925090078,3.78,0.0,23.13,0.13209362030029292
random,10,42,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03926234483718868
random,10,123,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03903715610504146
random,10,777,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03822069168090816
random,10,999,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.038096699714660606
random,10,2026,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.038565461635589555
random,20,42,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.06076734304428097
random,20,123,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0600929236412048
random,20,777,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.057881190776824916
random,20,999,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0660573816299438
random,20,2026,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.06035026788711544
random,50,42,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.13303042650222777
random,50,123,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.14145099401473998
random,50,777,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.257465717792511
random,50,999,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.275926296710968
random,50,2026,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.15757389068603514
