variant,mean_norm,mean_variance,mean_pairwise_sim
D0,4.349925994873047,0.18596027791500092,0.40870630741119385
A_FailedOriginal,4.531003952026367,0.17958199977874756,0.4627881944179535
B_CleanRandom,4.528728008270264,0.17973507940769196,0.4618297815322876
C_CleanLowAdv,4.525619983673096,0.1797187626361847,0.46132832765579224
D_Curriculum,4.5250349044799805,0.179734468460083,0.46117493510246277
E_FrozenEncoder,4.349925994873047,0.18596027791500092,0.40870630741119385
