epoch,loss,val_mae
1,0.36397829558700323,1.2139117474843784
2,0.2642426947131753,1.228292250147126
3,0.23334638867527246,1.1838375884282275
4,0.20954137900844216,1.1241996470160258
5,0.18996423995122313,1.1142903218657703
6,0.17530707037076354,1.1257006641263227
7,0.16546771302819252,1.1014341464089974
8,0.1459445720538497,1.1065297829892864
9,0.13902907771989703,1.1634899340817717
10,0.12167430249974132,1.1064449288239027
11,0.11433396069332957,1.0784446441335254
12,0.09827898419462144,1.070153988049442
13,0.10392243438400328,1.1303445482411951
14,0.0888280444778502,1.1018760876106228
15,0.09222184494137764,1.0761977034869399
16,0.09465075994376093,1.151065919502192
17,0.08495821407996118,1.1581180843323933
18,0.0798805330414325,1.1380619977622188
19,0.06999795988667756,1.1395022424305612
20,0.06957480986602604,1.1472813084698663
21,0.07268362701870501,1.1592448686252181
22,0.07786451606079936,1.160914156482096
23,0.06392040150240064,1.1717763153702019
24,0.062450020923279226,1.157532973977475
25,0.07047183066606522,1.1765230454211584
26,0.06785704556386918,1.145591684824171
27,0.057381055783480406,1.1318937768149104
28,0.057681735954247415,1.198911512523394
29,0.057448275794740766,1.1867481634821688
30,0.0555640374077484,1.1699317392005821
31,0.05030793522018939,1.1772641504544696
32,0.04663638409692794,1.174269242357971
33,0.05253902077674866,1.2066092500890482
34,0.04740704013966024,1.1813347648210324
35,0.0549640532117337,1.22587811226978
36,0.05003998416941613,1.2324520028618733
37,0.04933904786594212,1.1970212432117353
38,0.04545102908741683,1.2316484723001826
39,0.03998608561232686,1.1822292278912903
40,0.03731991001404822,1.198112348754861
