model,mean_drift,median_drift,p95
A_BaselineSeq,0.16190320253372192,0.1221846342086792,0.45392706990242004
B_AugmentedSeq,0.23762056231498718,0.14139127731323242,0.800845742225647
C_GraphMPNN,3.33786012163273e-08,0.0,2.384185791015625e-07
