row_index,model,probe_status,position,token,prediction,signed_delta,absolute_delta
2946,clean_transformer,token_deletion_may_be_invalid_smiles,0,[*],5.907996654510498,-0.04220867156982422,0.04220867156982422
2946,clean_transformer,token_deletion_may_be_invalid_smiles,1,C,5.765992164611816,-0.18421316146850586,0.18421316146850586
2946,clean_transformer,token_deletion_may_be_invalid_smiles,2,N,6.017425537109375,0.06722021102905273,0.06722021102905273
2946,clean_transformer,token_deletion_may_be_invalid_smiles,3,C,5.816258430480957,-0.13394689559936523,0.13394689559936523
2946,clean_transformer,token_deletion_may_be_invalid_smiles,4,(,5.741705417633057,-0.20849990844726562,0.20849990844726562
2946,clean_transformer,token_deletion_may_be_invalid_smiles,5,=,6.0127949714660645,0.06258964538574219,0.06258964538574219
2946,clean_transformer,token_deletion_may_be_invalid_smiles,6,O,5.6731109619140625,-0.27709436416625977,0.27709436416625977
2946,clean_transformer,token_deletion_may_be_invalid_smiles,7,),5.224552631378174,-0.7256526947021484,0.7256526947021484
2946,clean_transformer,token_deletion_may_be_invalid_smiles,8,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,9,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,10,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,11,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,12,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,13,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,14,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,15,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,16,C,5.409552097320557,-0.5406532287597656,0.5406532287597656
2946,clean_transformer,token_deletion_may_be_invalid_smiles,17,(,5.294901371002197,-0.655303955078125,0.655303955078125
2946,clean_transformer,token_deletion_may_be_invalid_smiles,18,=,6.002213478088379,0.05200815200805664,0.05200815200805664
2946,clean_transformer,token_deletion_may_be_invalid_smiles,19,O,5.358176231384277,-0.5920290946960449,0.5920290946960449
2946,clean_transformer,token_deletion_may_be_invalid_smiles,20,),5.685303211212158,-0.26490211486816406,0.26490211486816406
2946,clean_transformer,token_deletion_may_be_invalid_smiles,21,N,5.7637176513671875,-0.18648767471313477,0.18648767471313477
2946,clean_transformer,token_deletion_may_be_invalid_smiles,22,[*],5.894320487976074,-0.05588483810424805,0.05588483810424805
2946,defended_transformer,token_deletion_may_be_invalid_smiles,0,[*],5.725925445556641,-0.0808258056640625,0.0808258056640625
2946,defended_transformer,token_deletion_may_be_invalid_smiles,1,C,5.699685573577881,-0.10706567764282227,0.10706567764282227
2946,defended_transformer,token_deletion_may_be_invalid_smiles,2,N,6.081397533416748,0.2746462821960449,0.2746462821960449
2946,defended_transformer,token_deletion_may_be_invalid_smiles,3,C,5.824198246002197,0.01744699478149414,0.01744699478149414
2946,defended_transformer,token_deletion_may_be_invalid_smiles,4,(,5.800309658050537,-0.006441593170166016,0.006441593170166016
2946,defended_transformer,token_deletion_may_be_invalid_smiles,5,=,5.920605659484863,0.11385440826416016,0.11385440826416016
2946,defended_transformer,token_deletion_may_be_invalid_smiles,6,O,5.702274799346924,-0.1044764518737793,0.1044764518737793
2946,defended_transformer,token_deletion_may_be_invalid_smiles,7,),5.908321380615234,0.10157012939453125,0.10157012939453125
2946,defended_transformer,token_deletion_may_be_invalid_smiles,8,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,9,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,10,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,11,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,12,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,13,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,14,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,15,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,16,C,5.879062652587891,0.0723114013671875,0.0723114013671875
2946,defended_transformer,token_deletion_may_be_invalid_smiles,17,(,5.840359687805176,0.033608436584472656,0.033608436584472656
2946,defended_transformer,token_deletion_may_be_invalid_smiles,18,=,5.922006130218506,0.11525487899780273,0.11525487899780273
2946,defended_transformer,token_deletion_may_be_invalid_smiles,19,O,5.576272487640381,-0.23047876358032227,0.23047876358032227
2946,defended_transformer,token_deletion_may_be_invalid_smiles,20,),5.8576788902282715,0.05092763900756836,0.05092763900756836
2946,defended_transformer,token_deletion_may_be_invalid_smiles,21,N,5.997579097747803,0.1908278465270996,0.1908278465270996
2946,defended_transformer,token_deletion_may_be_invalid_smiles,22,[*],5.750303268432617,-0.05644798278808594,0.05644798278808594
2947,clean_transformer,token_deletion_may_be_invalid_smiles,0,[*],4.561639785766602,-0.29731082916259766,0.29731082916259766
2947,clean_transformer,token_deletion_may_be_invalid_smiles,1,O,4.555265426635742,-0.30368518829345703,0.30368518829345703
2947,clean_transformer,token_deletion_may_be_invalid_smiles,2,c,4.896119117736816,0.03716850280761719,0.03716850280761719
2947,clean_transformer,token_deletion_may_be_invalid_smiles,3,1,4.886709690093994,0.027759075164794922,0.027759075164794922
2947,clean_transformer,token_deletion_may_be_invalid_smiles,4,c,5.051694393157959,0.19274377822875977,0.19274377822875977
2947,clean_transformer,token_deletion_may_be_invalid_smiles,5,c,5.051694393157959,0.19274377822875977,0.19274377822875977
2947,clean_transformer,token_deletion_may_be_invalid_smiles,6,c,5.051694393157959,0.19274377822875977,0.19274377822875977
2947,clean_transformer,token_deletion_may_be_invalid_smiles,7,(,5.0129570960998535,0.1540064811706543,0.1540064811706543
2947,clean_transformer,token_deletion_may_be_invalid_smiles,8,C,5.08018684387207,0.2212362289428711,0.2212362289428711
2947,clean_transformer,token_deletion_may_be_invalid_smiles,9,C,5.08018684387207,0.2212362289428711,0.2212362289428711
2947,clean_transformer,token_deletion_may_be_invalid_smiles,10,(,5.00366735458374,0.14471673965454102,0.14471673965454102
2947,clean_transformer,token_deletion_may_be_invalid_smiles,11,N,4.971378326416016,0.1124277114868164,0.1124277114868164
2947,clean_transformer,token_deletion_may_be_invalid_smiles,12,C,5.21458101272583,0.35563039779663086,0.35563039779663086
2947,clean_transformer,token_deletion_may_be_invalid_smiles,13,(,5.163262367248535,0.30431175231933594,0.30431175231933594
2947,clean_transformer,token_deletion_may_be_invalid_smiles,14,=,5.329203128814697,0.47025251388549805,0.47025251388549805
2947,clean_transformer,token_deletion_may_be_invalid_smiles,15,O,5.130902290344238,0.27195167541503906,0.27195167541503906
2947,clean_transformer,token_deletion_may_be_invalid_smiles,16,),5.211005210876465,0.3520545959472656,0.3520545959472656
2947,clean_transformer,token_deletion_may_be_invalid_smiles,17,C,5.199354648590088,0.34040403366088867,0.34040403366088867
2947,clean_transformer,token_deletion_may_be_invalid_smiles,18,C,5.199354648590088,0.34040403366088867,0.34040403366088867
2947,clean_transformer,token_deletion_may_be_invalid_smiles,19,c,5.323676109313965,0.4647254943847656,0.4647254943847656
2947,clean_transformer,token_deletion_may_be_invalid_smiles,20,2,5.204919338226318,0.34596872329711914,0.34596872329711914
2947,clean_transformer,token_deletion_may_be_invalid_smiles,21,c,5.299454212188721,0.4405035972595215,0.4405035972595215
2947,clean_transformer,token_deletion_may_be_invalid_smiles,22,c,5.299454212188721,0.4405035972595215,0.4405035972595215
2947,clean_transformer,token_deletion_may_be_invalid_smiles,23,c,5.299454212188721,0.4405035972595215,0.4405035972595215
2947,clean_transformer,token_deletion_may_be_invalid_smiles,24,(,5.233340740203857,0.3743901252746582,0.3743901252746582
2947,clean_transformer,token_deletion_may_be_invalid_smiles,25,O,5.252108573913574,0.393157958984375,0.393157958984375
2947,clean_transformer,token_deletion_may_be_invalid_smiles,26,C,5.267683029174805,0.40873241424560547,0.40873241424560547
2947,clean_transformer,token_deletion_may_be_invalid_smiles,27,(,5.268050193786621,0.4090995788574219,0.4090995788574219
2947,clean_transformer,token_deletion_may_be_invalid_smiles,28,=,5.580150127410889,0.7211995124816895,0.7211995124816895
2947,clean_transformer,token_deletion_may_be_invalid_smiles,29,O,5.356109142303467,0.4971585273742676,0.4971585273742676
2947,clean_transformer,token_deletion_may_be_invalid_smiles,30,),5.525891304016113,0.6669406890869141,0.6669406890869141
2947,clean_transformer,token_deletion_may_be_invalid_smiles,31,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,32,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,33,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,34,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,35,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,36,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,37,C,5.485848426818848,0.6268978118896484,0.6268978118896484
2947,clean_transformer,token_deletion_may_be_invalid_smiles,38,(,5.467573165893555,0.6086225509643555,0.6086225509643555
2947,clean_transformer,token_deletion_may_be_invalid_smiles,39,[*],5.449694633483887,0.5907440185546875,0.5907440185546875
2947,clean_transformer,token_deletion_may_be_invalid_smiles,40,),5.417787075042725,0.5588364601135254,0.5588364601135254
2947,clean_transformer,token_deletion_may_be_invalid_smiles,41,=,5.477714538574219,0.6187639236450195,0.6187639236450195
2947,clean_transformer,token_deletion_may_be_invalid_smiles,42,O,5.088225841522217,0.22927522659301758,0.22927522659301758
2947,clean_transformer,token_deletion_may_be_invalid_smiles,43,),5.120379447937012,0.2614288330078125,0.2614288330078125
2947,clean_transformer,token_deletion_may_be_invalid_smiles,44,c,5.134260654449463,0.27531003952026367,0.27531003952026367
2947,clean_transformer,token_deletion_may_be_invalid_smiles,45,c,5.134260654449463,0.27531003952026367,0.27531003952026367
2947,clean_transformer,token_deletion_may_be_invalid_smiles,46,2,5.118907928466797,0.25995731353759766,0.25995731353759766
2947,clean_transformer,token_deletion_may_be_invalid_smiles,47,),5.119093894958496,0.2601432800292969,0.2601432800292969
2947,clean_transformer,token_deletion_may_be_invalid_smiles,48,C,5.0993266105651855,0.24037599563598633,0.24037599563598633
2947,clean_transformer,token_deletion_may_be_invalid_smiles,49,(,5.073206901550293,0.21425628662109375,0.21425628662109375
2947,clean_transformer,token_deletion_may_be_invalid_smiles,50,=,5.136455535888672,0.27750492095947266,0.27750492095947266
2947,clean_transformer,token_deletion_may_be_invalid_smiles,51,O,5.049081325531006,0.19013071060180664,0.19013071060180664
2947,clean_transformer,token_deletion_may_be_invalid_smiles,52,),5.04115104675293,0.18220043182373047,0.18220043182373047
