row_index,model,probe_status,position,token,prediction,signed_delta,absolute_delta
3042,clean_transformer,token_deletion_may_be_invalid_smiles,0,[*],6.222743988037109,-0.030220985412597656,0.030220985412597656
3042,clean_transformer,token_deletion_may_be_invalid_smiles,1,O,6.426069259643555,0.17310428619384766,0.17310428619384766
3042,clean_transformer,token_deletion_may_be_invalid_smiles,2,C,6.150759696960449,-0.10220527648925781,0.10220527648925781
3042,clean_transformer,token_deletion_may_be_invalid_smiles,3,1,6.1068525314331055,-0.14611244201660156,0.14611244201660156
3042,clean_transformer,token_deletion_may_be_invalid_smiles,4,(,6.10548210144043,-0.14748287200927734,0.14748287200927734
3042,clean_transformer,token_deletion_may_be_invalid_smiles,5,C,6.167177200317383,-0.08578777313232422,0.08578777313232422
3042,clean_transformer,token_deletion_may_be_invalid_smiles,6,),6.15579891204834,-0.09716606140136719,0.09716606140136719
3042,clean_transformer,token_deletion_may_be_invalid_smiles,7,C,6.214990139007568,-0.03797483444213867,0.03797483444213867
3042,clean_transformer,token_deletion_may_be_invalid_smiles,8,C,6.214990139007568,-0.03797483444213867,0.03797483444213867
3042,clean_transformer,token_deletion_may_be_invalid_smiles,9,(,6.195267677307129,-0.057697296142578125,0.057697296142578125
3042,clean_transformer,token_deletion_may_be_invalid_smiles,10,C,6.244070529937744,-0.00889444351196289,0.00889444351196289
3042,clean_transformer,token_deletion_may_be_invalid_smiles,11,),6.185166358947754,-0.06779861450195312,0.06779861450195312
3042,clean_transformer,token_deletion_may_be_invalid_smiles,12,(,6.196335792541504,-0.056629180908203125,0.056629180908203125
3042,clean_transformer,token_deletion_may_be_invalid_smiles,13,C,6.2528839111328125,-8.106231689453125e-05,8.106231689453125e-05
3042,clean_transformer,token_deletion_may_be_invalid_smiles,14,),6.228273391723633,-0.02469158172607422,0.02469158172607422
3042,clean_transformer,token_deletion_may_be_invalid_smiles,15,C,6.1797990798950195,-0.0731658935546875,0.0731658935546875
3042,clean_transformer,token_deletion_may_be_invalid_smiles,16,(,6.164653301239014,-0.08831167221069336,0.08831167221069336
3042,clean_transformer,token_deletion_may_be_invalid_smiles,17,C,6.211339950561523,-0.041625022888183594,0.041625022888183594
3042,clean_transformer,token_deletion_may_be_invalid_smiles,18,),6.183145523071289,-0.06981945037841797,0.06981945037841797
3042,clean_transformer,token_deletion_may_be_invalid_smiles,19,(,6.208481788635254,-0.044483184814453125,0.044483184814453125
3042,clean_transformer,token_deletion_may_be_invalid_smiles,20,N,6.392457008361816,0.13949203491210938,0.13949203491210938
3042,clean_transformer,token_deletion_may_be_invalid_smiles,21,2,6.158717155456543,-0.09424781799316406,0.09424781799316406
3042,clean_transformer,token_deletion_may_be_invalid_smiles,22,C,6.228381156921387,-0.024583816528320312,0.024583816528320312
3042,clean_transformer,token_deletion_may_be_invalid_smiles,23,C,6.228381156921387,-0.024583816528320312,0.024583816528320312
3042,clean_transformer,token_deletion_may_be_invalid_smiles,24,C,6.228381156921387,-0.024583816528320312,0.024583816528320312
3042,clean_transformer,token_deletion_may_be_invalid_smiles,25,C,6.228381156921387,-0.024583816528320312,0.024583816528320312
3042,clean_transformer,token_deletion_may_be_invalid_smiles,26,(,6.2377800941467285,-0.015184879302978516,0.015184879302978516
3042,clean_transformer,token_deletion_may_be_invalid_smiles,27,[*],6.245948791503906,-0.007016181945800781,0.007016181945800781
3042,clean_transformer,token_deletion_may_be_invalid_smiles,28,),6.256270408630371,0.0033054351806640625,0.0033054351806640625
3042,clean_transformer,token_deletion_may_be_invalid_smiles,29,C,6.266828536987305,0.013863563537597656,0.013863563537597656
3042,clean_transformer,token_deletion_may_be_invalid_smiles,30,2,6.2852325439453125,0.03226757049560547,0.03226757049560547
3042,clean_transformer,token_deletion_may_be_invalid_smiles,31,),6.302225589752197,0.049260616302490234,0.049260616302490234
3042,clean_transformer,token_deletion_may_be_invalid_smiles,32,C,6.289459705352783,0.03649473190307617,0.03649473190307617
3042,clean_transformer,token_deletion_may_be_invalid_smiles,33,1,6.304506778717041,0.051541805267333984,0.051541805267333984
3042,clean_transformer,token_deletion_may_be_invalid_smiles,34,C,6.261539936065674,0.008574962615966797,0.008574962615966797
3042,defended_transformer,token_deletion_may_be_invalid_smiles,0,[*],6.249382972717285,-0.009106636047363281,0.009106636047363281
3042,defended_transformer,token_deletion_may_be_invalid_smiles,1,O,6.186017036437988,-0.07247257232666016,0.07247257232666016
3042,defended_transformer,token_deletion_may_be_invalid_smiles,2,C,6.451627731323242,0.19313812255859375,0.19313812255859375
3042,defended_transformer,token_deletion_may_be_invalid_smiles,3,1,6.520051956176758,0.2615623474121094,0.2615623474121094
3042,defended_transformer,token_deletion_may_be_invalid_smiles,4,(,6.472181797027588,0.21369218826293945,0.21369218826293945
3042,defended_transformer,token_deletion_may_be_invalid_smiles,5,C,6.516878128051758,0.2583885192871094,0.2583885192871094
3042,defended_transformer,token_deletion_may_be_invalid_smiles,6,),6.449638366699219,0.1911487579345703,0.1911487579345703
3042,defended_transformer,token_deletion_may_be_invalid_smiles,7,C,6.385927200317383,0.12743759155273438,0.12743759155273438
3042,defended_transformer,token_deletion_may_be_invalid_smiles,8,C,6.385927200317383,0.12743759155273438,0.12743759155273438
3042,defended_transformer,token_deletion_may_be_invalid_smiles,9,(,6.388044834136963,0.12955522537231445,0.12955522537231445
3042,defended_transformer,token_deletion_may_be_invalid_smiles,10,C,6.353596210479736,0.09510660171508789,0.09510660171508789
3042,defended_transformer,token_deletion_may_be_invalid_smiles,11,),6.387941360473633,0.12945175170898438,0.12945175170898438
3042,defended_transformer,token_deletion_may_be_invalid_smiles,12,(,6.3029375076293945,0.044447898864746094,0.044447898864746094
3042,defended_transformer,token_deletion_may_be_invalid_smiles,13,C,6.252802848815918,-0.005686759948730469,0.005686759948730469
3042,defended_transformer,token_deletion_may_be_invalid_smiles,14,),6.317488193511963,0.05899858474731445,0.05899858474731445
3042,defended_transformer,token_deletion_may_be_invalid_smiles,15,C,6.220917701721191,-0.03757190704345703,0.03757190704345703
3042,defended_transformer,token_deletion_may_be_invalid_smiles,16,(,6.330228328704834,0.07173871994018555,0.07173871994018555
3042,defended_transformer,token_deletion_may_be_invalid_smiles,17,C,6.319248199462891,0.06075859069824219,0.06075859069824219
3042,defended_transformer,token_deletion_may_be_invalid_smiles,18,),6.307273864746094,0.04878425598144531,0.04878425598144531
3042,defended_transformer,token_deletion_may_be_invalid_smiles,19,(,6.276839256286621,0.018349647521972656,0.018349647521972656
3042,defended_transformer,token_deletion_may_be_invalid_smiles,20,N,6.446662425994873,0.1881728172302246,0.1881728172302246
3042,defended_transformer,token_deletion_may_be_invalid_smiles,21,2,6.229317665100098,-0.02917194366455078,0.02917194366455078
3042,defended_transformer,token_deletion_may_be_invalid_smiles,22,C,6.267868518829346,0.009378910064697266,0.009378910064697266
3042,defended_transformer,token_deletion_may_be_invalid_smiles,23,C,6.267868518829346,0.009378910064697266,0.009378910064697266
3042,defended_transformer,token_deletion_may_be_invalid_smiles,24,C,6.267868518829346,0.009378910064697266,0.009378910064697266
3042,defended_transformer,token_deletion_may_be_invalid_smiles,25,C,6.267868518829346,0.009378910064697266,0.009378910064697266
3042,defended_transformer,token_deletion_may_be_invalid_smiles,26,(,6.195770263671875,-0.06271934509277344,0.06271934509277344
3042,defended_transformer,token_deletion_may_be_invalid_smiles,27,[*],6.242018699645996,-0.016470909118652344,0.016470909118652344
3042,defended_transformer,token_deletion_may_be_invalid_smiles,28,),6.349161624908447,0.09067201614379883,0.09067201614379883
3042,defended_transformer,token_deletion_may_be_invalid_smiles,29,C,6.398225784301758,0.13973617553710938,0.13973617553710938
3042,defended_transformer,token_deletion_may_be_invalid_smiles,30,2,6.593947410583496,0.33545780181884766,0.33545780181884766
3042,defended_transformer,token_deletion_may_be_invalid_smiles,31,),6.491439342498779,0.23294973373413086,0.23294973373413086
3042,defended_transformer,token_deletion_may_be_invalid_smiles,32,C,6.358706474304199,0.10021686553955078,0.10021686553955078
3042,defended_transformer,token_deletion_may_be_invalid_smiles,33,1,6.3285441398620605,0.07005453109741211,0.07005453109741211
3042,defended_transformer,token_deletion_may_be_invalid_smiles,34,C,6.360867977142334,0.10237836837768555,0.10237836837768555
3427,clean_transformer,token_deletion_may_be_invalid_smiles,0,[*],6.692357540130615,0.4617152214050293,0.4617152214050293
3427,clean_transformer,token_deletion_may_be_invalid_smiles,1,C,6.47197961807251,0.24133729934692383,0.24133729934692383
3427,clean_transformer,token_deletion_may_be_invalid_smiles,2,C,6.47197961807251,0.24133729934692383,0.24133729934692383
3427,clean_transformer,token_deletion_may_be_invalid_smiles,3,O,6.598344802856445,0.3677024841308594,0.3677024841308594
3427,clean_transformer,token_deletion_may_be_invalid_smiles,4,C,6.403086185455322,0.17244386672973633,0.17244386672973633
3427,clean_transformer,token_deletion_may_be_invalid_smiles,5,C,6.403086185455322,0.17244386672973633,0.17244386672973633
3427,clean_transformer,token_deletion_may_be_invalid_smiles,6,O,6.35945987701416,0.12881755828857422,0.12881755828857422
3427,clean_transformer,token_deletion_may_be_invalid_smiles,7,C,6.415607929229736,0.1849656105041504,0.1849656105041504
3427,clean_transformer,token_deletion_may_be_invalid_smiles,8,C,6.415607929229736,0.1849656105041504,0.1849656105041504
3427,clean_transformer,token_deletion_may_be_invalid_smiles,9,O,6.376590251922607,0.14594793319702148,0.14594793319702148
3427,clean_transformer,token_deletion_may_be_invalid_smiles,10,C,6.413488388061523,0.1828460693359375,0.1828460693359375
3427,clean_transformer,token_deletion_may_be_invalid_smiles,11,(,6.390957832336426,0.16031551361083984,0.16031551361083984
3427,clean_transformer,token_deletion_may_be_invalid_smiles,12,=,6.543390274047852,0.3127479553222656,0.3127479553222656
3427,clean_transformer,token_deletion_may_be_invalid_smiles,13,O,6.3349504470825195,0.1043081283569336,0.1043081283569336
3427,clean_transformer,token_deletion_may_be_invalid_smiles,14,),6.414792060852051,0.18414974212646484,0.18414974212646484
3427,clean_transformer,token_deletion_may_be_invalid_smiles,15,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,16,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,17,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,18,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,19,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,20,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,21,C,6.175753593444824,-0.05488872528076172,0.05488872528076172
3427,clean_transformer,token_deletion_may_be_invalid_smiles,22,(,6.159122943878174,-0.07151937484741211,0.07151937484741211
3427,clean_transformer,token_deletion_may_be_invalid_smiles,23,=,6.3602705001831055,0.12962818145751953,0.12962818145751953
3427,clean_transformer,token_deletion_may_be_invalid_smiles,24,O,6.405804634094238,0.17516231536865234,0.17516231536865234
3427,clean_transformer,token_deletion_may_be_invalid_smiles,25,),6.311412334442139,0.08077001571655273,0.08077001571655273
3427,clean_transformer,token_deletion_may_be_invalid_smiles,26,O,6.261236667633057,0.030594348907470703,0.030594348907470703
3427,clean_transformer,token_deletion_may_be_invalid_smiles,27,[*],6.19150447845459,-0.039137840270996094,0.039137840270996094
3427,defended_transformer,token_deletion_may_be_invalid_smiles,0,[*],6.855597019195557,0.23763275146484375,0.23763275146484375
3427,defended_transformer,token_deletion_may_be_invalid_smiles,1,C,6.807607650756836,0.18964338302612305,0.18964338302612305
3427,defended_transformer,token_deletion_may_be_invalid_smiles,2,C,6.807607650756836,0.18964338302612305,0.18964338302612305
3427,defended_transformer,token_deletion_may_be_invalid_smiles,3,O,6.673483848571777,0.05551958084106445,0.05551958084106445
3427,defended_transformer,token_deletion_may_be_invalid_smiles,4,C,6.770665168762207,0.15270090103149414,0.15270090103149414
3427,defended_transformer,token_deletion_may_be_invalid_smiles,5,C,6.770665168762207,0.15270090103149414,0.15270090103149414
3427,defended_transformer,token_deletion_may_be_invalid_smiles,6,O,6.711664199829102,0.09369993209838867,0.09369993209838867
3427,defended_transformer,token_deletion_may_be_invalid_smiles,7,C,6.788724899291992,0.1707606315612793,0.1707606315612793
3427,defended_transformer,token_deletion_may_be_invalid_smiles,8,C,6.788724899291992,0.1707606315612793,0.1707606315612793
3427,defended_transformer,token_deletion_may_be_invalid_smiles,9,O,6.752012252807617,0.1340479850769043,0.1340479850769043
3427,defended_transformer,token_deletion_may_be_invalid_smiles,10,C,6.736042022705078,0.11807775497436523,0.11807775497436523
3427,defended_transformer,token_deletion_may_be_invalid_smiles,11,(,6.474147796630859,-0.14381647109985352,0.14381647109985352
3427,defended_transformer,token_deletion_may_be_invalid_smiles,12,=,6.435929298400879,-0.18203496932983398,0.18203496932983398
3427,defended_transformer,token_deletion_may_be_invalid_smiles,13,O,5.910280227661133,-0.7076840400695801,0.7076840400695801
3427,defended_transformer,token_deletion_may_be_invalid_smiles,14,),6.42887544631958,-0.1890888214111328,0.1890888214111328
3427,defended_transformer,token_deletion_may_be_invalid_smiles,15,C,5.894001483917236,-0.7239627838134766,0.7239627838134766
3427,defended_transformer,token_deletion_may_be_invalid_smiles,16,C,5.894001483917236,-0.7239627838134766,0.7239627838134766
3427,defended_transformer,token_deletion_may_be_invalid_smiles,17,C,5.894001483917236,-0.7239627838134766,0.7239627838134766
3427,defended_transformer,token_deletion_may_be_invalid_smiles,18,C,5.894001483917236,-0.7239627838134766,0.7239627838134766
3427,defended_transformer,token_deletion_may_be_invalid_smiles,19,C,5.894001483917236,-0.7239627838134766,0.7239627838134766
