source_id,edited_attribution,random_attribution
18666,0.15011191368103027,0.1375354528427124
3636,0.02742752432823181,0.08582121133804321
13810,0.10215035080909729,0.013492092490196228
9408,0.13927605748176575,0.013699620962142944
13312,0.13754600286483765,0.038187623023986816
13162,0.04258924722671509,0.025735557079315186
9785,0.1963026225566864,0.0005751848220825195
17659,0.018791496753692627,0.004944503307342529
690,0.0034102443605661392,0.00017314869910478592
13687,0.1495766043663025,0.042608022689819336
601,0.20062416791915894,0.03822356462478638
13354,0.11251294612884521,0.052993595600128174
11514,0.04748845100402832,0.03510475158691406
6005,0.025886952877044678,0.0462644100189209
3827,0.02679917961359024,0.01998603343963623
2857,0.05229073762893677,0.009862512350082397
7684,0.0860903263092041,0.02155625820159912
1318,0.08406579494476318,0.019032299518585205
16882,0.1477658748626709,0.0807349681854248
18547,0.01708969473838806,0.07183101773262024
6959,0.037470221519470215,0.01158839464187622
17052,0.08517855405807495,0.03636881709098816
19803,0.10043367743492126,0.15591466426849365
11163,0.15277087688446045,0.08850860595703125
19245,0.07751917839050293,0.0020532608032226562
1016,0.180862694978714,0.022542119026184082
12164,0.08130300045013428,0.07607775926589966
10040,0.15958133339881897,0.07078063488006592
8194,0.11480799317359924,0.05017098784446716
344,0.035150498151779175,0.024029649794101715
6568,0.1574079543352127,0.012265622615814209
9816,0.011489352211356163,0.003971794620156288
5912,0.14723600447177887,0.05159321427345276
9466,0.18528646230697632,0.0001291036605834961
11129,0.008472979068756104,0.005429863929748535
4682,0.16611352562904358,0.06479296088218689
16552,0.049266278743743896,0.02386528253555298
13333,0.07127413153648376,0.04847002029418945
11106,0.12447911500930786,0.02182614803314209
2640,0.08682557940483093,0.2102082371711731
1284,0.1426604688167572,0.05528882145881653
19290,0.2146701216697693,0.05124211311340332
2607,0.024273298680782318,0.013298466801643372
6035,0.04804503917694092,0.06953248381614685
16163,0.08915895223617554,0.027567028999328613
8511,0.10603946447372437,0.008241772651672363
5281,0.07411062717437744,0.0514565110206604
9272,0.11797881126403809,0.09364837408065796
724,0.0199345201253891,0.01385776698589325
16531,0.05239158868789673,0.03464925289154053
