defense,attack,n,flip_rate,mean_drift,median_drift,p90_drift
cnn_adv_mixed,evolutionary,50,0.2,0.11678163468837738,0.10691991448402405,0.2020377665758133
cnn_adv_mixed,mcmc,50,0.24,0.1536692351102829,0.11742576956748962,0.3150159716606141
cnn_adv_mixed,random,50,0.12,0.04983723342418671,0.04168868064880371,0.09713929593563081
cnn_clean,evolutionary,50,0.58,0.45486087530851366,0.4741751104593277,0.7071013510227204
cnn_clean,mcmc,50,0.48,0.4532653272524476,0.45590201020240784,0.751706850528717
cnn_clean,random,50,0.3,0.18632339676842094,0.1955641210079193,0.2671250909566879
cnn_random_aug,evolutionary,50,0.14,0.1391355049610138,0.12187698483467102,0.24691904187202457
cnn_random_aug,mcmc,50,0.28,0.1585584871470928,0.09636057913303375,0.4289893209934235
cnn_random_aug,random,50,0.08,0.04529498413205147,0.0291924886405468,0.08946629762649537
