orig_prob,spacing_prob,order_prob,move_prob,bg_prob,rmA_prob,rmB_prob
0.5290130376815796,0.5080447793006897,0.5355709791183472,0.5352396368980408,0.5035141110420227,0.5508647561073303,0.5333729982376099
0.4881262183189392,0.49089741706848145,0.5146412253379822,0.4818335175514221,0.530109703540802,0.4884617030620575,0.5009562969207764
0.5275610685348511,0.5174810290336609,0.5214989185333252,0.5095210075378418,0.5038455128669739,0.528238832950592,0.5290594100952148
0.475434809923172,0.5158124566078186,0.48717206716537476,0.4774806797504425,0.5041304230690002,0.481123685836792,0.4782334566116333
0.528590977191925,0.5341706275939941,0.5336175560951233,0.5378689765930176,0.5102842450141907,0.5213771462440491,0.5442693829536438
0.5236291885375977,0.517394483089447,0.5363178253173828,0.503607988357544,0.46984100341796875,0.5361504554748535,0.5137118697166443
0.5082008242607117,0.49991151690483093,0.488389253616333,0.5161275863647461,0.4962303936481476,0.5176424980163574,0.5050792098045349
0.531666100025177,0.5344451665878296,0.5311511754989624,0.5438995957374573,0.49217990040779114,0.5364663600921631,0.5302887558937073
0.5280005931854248,0.5189277529716492,0.5216134190559387,0.5310763120651245,0.4842950403690338,0.5330104827880859,0.5267852544784546
0.5334976315498352,0.5395849347114563,0.5308830738067627,0.5071636438369751,0.4930870532989502,0.5251553058624268,0.5434489846229553
0.47913452982902527,0.4931725859642029,0.4871572256088257,0.5209652185440063,0.5326245427131653,0.4686627686023712,0.48012039065361023
0.4779873490333557,0.48249438405036926,0.4756142795085907,0.4542995095252991,0.4884849190711975,0.48059895634651184,0.4792366325855255
0.5100607872009277,0.5011053085327148,0.532780647277832,0.5229440331459045,0.486962229013443,0.5249804258346558,0.512236475944519
0.4899401366710663,0.5109535455703735,0.5049258470535278,0.4999978542327881,0.49868476390838623,0.49245449900627136,0.4889192283153534
0.540972113609314,0.5140008330345154,0.5399454832077026,0.5240283608436584,0.5254942774772644,0.5261688232421875,0.5414807796478271
0.5402774214744568,0.5201921463012695,0.534537136554718,0.5311943888664246,0.4927883446216583,0.5428023934364319,0.5393942594528198
0.47820478677749634,0.4781750738620758,0.4864184856414795,0.4930689036846161,0.5117860436439514,0.48498427867889404,0.47318410873413086
0.5319300293922424,0.5241035223007202,0.5343180298805237,0.5237236618995667,0.4751864969730377,0.5272513031959534,0.5304489135742188
0.46745526790618896,0.4942123293876648,0.47146451473236084,0.49529537558555603,0.4686645567417145,0.46738195419311523,0.46567294001579285
0.5300701260566711,0.5232086777687073,0.517781674861908,0.502027153968811,0.570688009262085,0.5360317230224609,0.5296891927719116
0.4766574800014496,0.4869374632835388,0.4787812829017639,0.5188312530517578,0.5209712982177734,0.4667114317417145,0.4762555956840515
0.503731906414032,0.5165610909461975,0.5382048487663269,0.5402527451515198,0.4969938397407532,0.5204848647117615,0.4952191412448883
