source_id,true_label,motif_a_attribution,motif_b_attribution,intervening_region_attribution,background_attribution
8,0,0.1021125540137291,0.062256697565317154,0.05090129002928734,0.054840266704559326
16,0,0.02612260729074478,0.06143565475940704,0.023129047825932503,0.021329885348677635
22,0,0.02162218652665615,0.007240466773509979,0.020926307886838913,0.01861276850104332
28,0,0.008508116006851196,0.025255560874938965,0.020243627950549126,0.01944466307759285
38,1,0.07946544140577316,0.017166867852211,0.08921006321907043,0.057062625885009766
45,0,0.044467538595199585,0.06133232265710831,0.06822209060192108,0.05113213136792183
69,1,0.0797911286354065,0.06602205336093903,0.037777286022901535,0.035432811826467514
83,1,0.07247395813465118,0.029394211247563362,0.045556847006082535,0.032528892159461975
98,1,0.029637113213539124,0.02220761775970459,0.039376046508550644,0.028236890211701393
113,0,0.0049591064453125,0.0034061968326568604,0.0047491127625107765,0.004840873647481203
153,0,0.007592126727104187,0.01024666428565979,0.00981608685106039,0.010229736566543579
162,0,0.00277515547350049,0.003434366313740611,0.0028698728419840336,0.002355818869546056
176,1,0.030908431857824326,0.02427186258137226,0.0369449146091938,0.03200586885213852
177,0,0.02556733787059784,0.08151175826787949,0.06903520226478577,0.06339019536972046
182,0,0.0051167309284210205,0.0022420734167099,0.0015930189983919263,0.0018117973813787103
184,1,0.058315083384513855,0.06009422242641449,0.04883947968482971,0.04161961376667023
240,0,0.002469465136528015,0.0009174294536933303,0.001184644177556038,0.0016393625410273671
245,0,0.038242630660533905,0.06616293638944626,0.06425896286964417,0.06751687079668045
250,0,0.061597466468811035,0.1421542465686798,0.06701415032148361,0.05952949449419975
254,1,0.0628659576177597,0.04250963032245636,0.04142027720808983,0.044659603387117386
264,0,0.12148401141166687,0.12045718729496002,0.059046030044555664,0.04575692489743233
271,1,0.05123616009950638,0.07708877325057983,0.0886223241686821,0.07152687758207321
279,0,0.034761711955070496,0.016037529334425926,0.029671529307961464,0.02366669289767742
300,1,0.010827679187059402,0.014723778702318668,0.019141005352139473,0.01804392598569393
306,0,0.08037301898002625,0.06616905331611633,0.05357753485441208,0.05299217253923416
309,0,0.1200074553489685,0.08067871630191803,0.054660096764564514,0.05079590156674385
318,0,0.013752326369285583,0.009803563356399536,0.01079015713185072,0.012127377092838287
319,0,0.04886960983276367,0.011228926479816437,0.04988378658890724,0.05706094950437546
337,1,0.013235306367278099,0.010470978915691376,0.01965685561299324,0.016611894592642784
344,1,0.07057477533817291,0.013784494251012802,0.019868766888976097,0.018962150439620018
356,1,0.0035257823765277863,0.02176124043762684,0.009864762425422668,0.012350538745522499
360,1,0.021823342889547348,0.012454269453883171,0.03192325308918953,0.02862425148487091
368,0,0.04867338389158249,0.11430247873067856,0.057309724390506744,0.05599410459399223
369,0,0.02604217827320099,0.06515158712863922,0.06493052840232849,0.05025441199541092
380,1,0.017299843952059746,0.008969378657639027,0.015529295429587364,0.01947767473757267
386,1,0.04001842439174652,0.04629839211702347,0.04311706870794296,0.06566116958856583
394,0,0.13191738724708557,0.047863736748695374,0.07111365348100662,0.0693942978978157
397,0,0.09145524352788925,0.09343799203634262,0.05554940924048424,0.062252551317214966
411,1,0.02032412588596344,0.06536643207073212,0.03767715394496918,0.0413796603679657
428,1,0.03299388289451599,0.04647669196128845,0.027548925951123238,0.016873376443982124
465,1,0.03196798264980316,0.0278986394405365,0.030148549005389214,0.03681927174329758
469,1,0.03106367588043213,0.06295230984687805,0.024106336757540703,0.03203989565372467
480,1,0.039539873600006104,0.021999776363372803,0.03092929907143116,0.038351938128471375
490,1,0.14908525347709656,0.032455287873744965,0.04729693382978439,0.05811569467186928
516,0,0.04178166389465332,0.04431995749473572,0.05191296339035034,0.047049380838871
525,0,0.030898764729499817,0.03646928071975708,0.03924845904111862,0.036804381757974625
536,1,0.06030862033367157,0.10698665678501129,0.06027394160628319,0.06429101526737213
548,0,0.009368784725666046,0.01560724712908268,0.017910270020365715,0.01723456010222435
553,0,0.04007691890001297,0.04668094962835312,0.019710615277290344,0.019567767158150673
555,0,0.006654411554336548,0.011679098010063171,0.005593221168965101,0.008029093034565449
561,1,0.016150176525115967,0.005952328443527222,0.007651801686733961,0.00769202783703804
