Q,strategy,operator,source_id,declared_budget,queries_counted_by_budget,predictor_predict_calls,molecules_sent_to_model,raw_proposals,valid_proposals,duplicate_valid_proposals,unique_valid_proposals
50,Greedy,SimpleSubst,3449,50,50,108,20,35,35,0,35
50,Greedy,SimpleSubst,3350,50,50,108,19,29,29,6,23
50,Greedy,SimpleSubst,3572,50,50,106,11,53,53,0,53
50,Greedy,SimpleSubst,3201,50,50,108,21,30,30,0,30
50,Greedy,SimpleSubst,3453,50,50,108,18,36,36,2,34
50,Greedy,SimpleSubst,3482,50,50,108,23,26,26,2,24
50,Greedy,SimpleSubst,3381,50,50,108,17,27,27,8,19
50,Greedy,SimpleSubst,3422,50,50,108,18,34,34,0,34
50,Greedy,SimpleSubst,3176,50,50,106,6,50,50,0,50
50,Greedy,SimpleSubst,3200,50,50,110,25,17,17,2,15
50,Greedy,SimpleSubst,3427,50,50,106,11,56,56,0,56
50,Greedy,SimpleSubst,3258,50,50,108,18,40,40,0,40
50,Greedy,SimpleSubst,3295,50,50,106,8,57,57,4,53
50,Greedy,SimpleSubst,3471,50,50,110,24,15,15,2,13
50,Greedy,SimpleSubst,3537,50,50,108,9,47,47,6,41
50,Greedy,SimpleSubst,3008,50,50,106,12,67,67,10,57
50,Greedy,SimpleSubst,3411,50,50,108,17,38,38,0,38
50,Greedy,SimpleSubst,3361,50,50,106,9,74,74,0,74
50,Greedy,SimpleSubst,3084,50,50,110,29,18,18,0,18
50,Greedy,SimpleSubst,3132,50,50,108,6,47,47,8,39
50,Greedy,SimpleSubst,3430,50,50,108,24,26,26,2,24
50,Greedy,Motif,3167,50,1,8,0,1,1,0,1
50,Greedy,Motif,3128,50,48,106,28,18,18,0,18
50,Greedy,Motif,3364,50,1,8,0,1,0,0,0
50,Greedy,Motif,3414,50,50,110,30,18,18,0,18
50,Greedy,Motif,3539,50,4,16,0,3,3,0,3
50,Greedy,Motif,2958,50,50,106,3,50,50,0,50
50,Greedy,Motif,3459,50,50,110,25,25,25,0,25
50,Greedy,Motif,3385,50,2,10,0,2,2,0,2
50,Greedy,Motif,3281,50,1,8,0,1,0,0,0
50,Greedy,Motif,3449,50,36,82,16,14,14,0,14
50,Greedy,Motif,3350,50,29,68,9,11,11,0,11
50,Greedy,Motif,3572,50,50,108,24,26,26,0,26
50,Greedy,Motif,3201,50,1,8,0,1,0,0,0
50,Greedy,Motif,3453,50,1,8,0,1,0,0,0
50,Greedy,Motif,3482,50,1,8,0,1,0,0,0
50,Greedy,Motif,3381,50,4,16,0,3,3,0,3
50,Greedy,Motif,3422,50,50,110,30,20,20,0,20
50,Greedy,Motif,3176,50,50,108,24,26,26,0,26
50,Greedy,Motif,3200,50,9,28,0,5,5,0,5
50,Greedy,Motif,3427,50,50,110,26,24,24,0,24
50,Greedy,Motif,3258,50,42,94,22,16,16,0,16
50,Greedy,Motif,3295,50,50,110,27,23,23,0,23
50,Greedy,Motif,3471,50,6,20,0,4,4,0,4
50,Greedy,Motif,3537,50,50,110,30,19,19,0,19
50,Greedy,Motif,3008,50,25,60,5,10,10,0,10
50,Greedy,Motif,3411,50,42,94,22,16,16,0,16
50,Greedy,Motif,3361,50,50,108,11,40,40,0,40
50,Greedy,Motif,3084,50,21,52,1,11,11,0,11
50,Greedy,Motif,3132,50,47,104,27,17,17,0,17
50,Greedy,Motif,3430,50,9,28,0,4,4,0,4
50,Evolutionary,SimpleSubst,3167,50,50,104,11,27,27,8,19
50,Evolutionary,SimpleSubst,3128,50,50,104,0,38,38,0,38
50,Evolutionary,SimpleSubst,3364,50,50,104,4,39,39,4,35
50,Evolutionary,SimpleSubst,3414,50,50,104,6,48,48,6,42
50,Evolutionary,SimpleSubst,3539,50,50,104,13,21,21,8,13
50,Evolutionary,SimpleSubst,2958,50,50,104,0,89,89,0,89
50,Evolutionary,SimpleSubst,3459,50,50,104,4,50,50,4,46
50,Evolutionary,SimpleSubst,3385,50,50,104,17,14,14,0,14
50,Evolutionary,SimpleSubst,3281,50,50,104,2,55,55,4,51
50,Evolutionary,SimpleSubst,3449,50,50,104,0,35,35,0,35
50,Evolutionary,SimpleSubst,3350,50,50,104,5,29,29,6,23
50,Evolutionary,SimpleSubst,3572,50,50,104,0,53,53,0,53
50,Evolutionary,SimpleSubst,3201,50,50,104,0,30,30,0,30
50,Evolutionary,SimpleSubst,3453,50,50,104,2,36,36,2,34
50,Evolutionary,SimpleSubst,3482,50,50,104,2,26,26,2,24
50,Evolutionary,SimpleSubst,3381,50,50,104,11,27,27,8,19
50,Evolutionary,SimpleSubst,3422,50,50,104,0,34,34,0,34
50,Evolutionary,SimpleSubst,3176,50,50,104,0,50,50,0,50
50,Evolutionary,SimpleSubst,3200,50,50,104,10,17,17,2,15
50,Evolutionary,SimpleSubst,3427,50,50,104,0,56,56,0,56
50,Evolutionary,SimpleSubst,3258,50,50,104,0,40,40,0,40
50,Evolutionary,SimpleSubst,3295,50,50,104,0,57,57,4,53
50,Evolutionary,SimpleSubst,3471,50,50,104,15,15,15,2,13
50,Evolutionary,SimpleSubst,3537,50,50,104,6,47,47,6,41
50,Evolutionary,SimpleSubst,3008,50,50,104,1,67,67,10,57
50,Evolutionary,SimpleSubst,3411,50,50,104,0,38,38,0,38
50,Evolutionary,SimpleSubst,3361,50,50,104,0,74,74,0,74
50,Evolutionary,SimpleSubst,3084,50,50,104,14,18,18,0,18
50,Evolutionary,SimpleSubst,3132,50,50,104,8,47,47,8,39
50,Evolutionary,SimpleSubst,3430,50,50,104,2,26,26,2,24
50,Evolutionary,Motif,3167,50,1,6,0,1,1,0,1
50,Evolutionary,Motif,3128,50,50,104,15,18,18,0,18
50,Evolutionary,Motif,3364,50,1,6,0,1,0,0,0
50,Evolutionary,Motif,3414,50,50,104,14,18,18,0,18
50,Evolutionary,Motif,3539,50,4,12,0,3,3,0,3
50,Evolutionary,Motif,2958,50,50,104,0,50,50,0,50
50,Evolutionary,Motif,3459,50,50,104,1,25,25,0,25
50,Evolutionary,Motif,3385,50,2,8,0,2,2,0,2
50,Evolutionary,Motif,3281,50,1,6,0,1,0,0,0
50,Evolutionary,Motif,3449,50,50,104,14,14,14,0,14
50,Evolutionary,Motif,3350,50,50,104,26,11,11,0,11
50,Evolutionary,Motif,3572,50,50,104,0,26,26,0,26
50,Evolutionary,Motif,3201,50,1,6,0,1,0,0,0
50,Evolutionary,Motif,3453,50,1,6,0,1,0,0,0
50,Evolutionary,Motif,3482,50,1,6,0,1,0,0,0
50,Evolutionary,Motif,3381,50,4,12,0,3,3,0,3
50,Evolutionary,Motif,3422,50,50,104,12,20,20,0,20
50,Evolutionary,Motif,3176,50,50,104,0,26,26,0,26
50,Evolutionary,Motif,3200,50,11,26,0,5,5,0,5
50,Evolutionary,Motif,3427,50,50,104,4,24,24,0,24
50,Evolutionary,Motif,3258,50,50,104,19,16,16,0,16
50,Evolutionary,Motif,3295,50,50,104,6,23,23,0,23
50,Evolutionary,Motif,3471,50,6,16,0,4,4,0,4
50,Evolutionary,Motif,3537,50,50,104,13,19,19,0,19
50,Evolutionary,Motif,3008,50,37,78,13,10,10,0,10
50,Evolutionary,Motif,3411,50,50,104,18,16,16,0,16
50,Evolutionary,Motif,3361,50,50,104,0,40,40,0,40
50,Evolutionary,Motif,3084,50,30,64,5,11,11,0,11
50,Evolutionary,Motif,3132,50,50,104,16,17,17,0,17
50,Evolutionary,Motif,3430,50,9,22,0,4,4,0,4
