Q,strategy,operator,source_id,declared_budget,queries_counted_by_budget,predictor_predict_calls,molecules_sent_to_model,raw_proposals,valid_proposals,duplicate_valid_proposals,unique_valid_proposals
10,Greedy,Motif,3449,10,10,26,2,14,14,0,14
10,Greedy,Motif,3350,10,10,26,1,11,11,0,11
10,Greedy,Motif,3572,10,10,26,3,26,26,0,26
10,Greedy,Motif,3201,10,1,8,0,1,0,0,0
10,Greedy,Motif,3453,10,1,8,0,1,0,0,0
10,Greedy,Motif,3482,10,1,8,0,1,0,0,0
10,Greedy,Motif,3381,10,4,16,1,3,3,0,3
10,Greedy,Motif,3422,10,10,26,3,20,20,0,20
10,Greedy,Motif,3176,10,10,26,3,26,26,0,26
10,Greedy,Motif,3200,10,9,28,4,5,5,0,5
10,Greedy,Motif,3427,10,10,26,4,24,24,0,24
10,Greedy,Motif,3258,10,10,26,2,16,16,0,16
10,Greedy,Motif,3295,10,10,26,5,23,23,0,23
10,Greedy,Motif,3471,10,6,20,2,4,4,0,4
10,Greedy,Motif,3537,10,10,26,1,19,19,0,19
10,Greedy,Motif,3008,10,10,26,3,10,10,0,10
10,Greedy,Motif,3411,10,10,26,2,16,16,0,16
10,Greedy,Motif,3361,10,10,26,1,40,40,0,40
10,Greedy,Motif,3084,10,10,26,2,11,11,0,11
10,Greedy,Motif,3132,10,10,26,2,17,17,0,17
10,Greedy,Motif,3430,10,9,28,5,4,4,0,4
10,Evolutionary,SimpleSubst,3167,10,10,24,0,27,27,8,19
10,Evolutionary,SimpleSubst,3128,10,10,24,0,38,38,0,38
10,Evolutionary,SimpleSubst,3364,10,10,24,0,39,39,4,35
10,Evolutionary,SimpleSubst,3414,10,10,24,0,48,48,6,42
10,Evolutionary,SimpleSubst,3539,10,10,24,0,21,21,8,13
10,Evolutionary,SimpleSubst,2958,10,10,24,0,89,89,0,89
10,Evolutionary,SimpleSubst,3459,10,10,24,0,50,50,4,46
10,Evolutionary,SimpleSubst,3385,10,10,24,0,14,14,0,14
10,Evolutionary,SimpleSubst,3281,10,10,24,0,55,55,4,51
10,Evolutionary,SimpleSubst,3449,10,10,24,0,35,35,0,35
10,Evolutionary,SimpleSubst,3350,10,10,24,0,29,29,6,23
10,Evolutionary,SimpleSubst,3572,10,10,24,0,53,53,0,53
10,Evolutionary,SimpleSubst,3201,10,10,24,0,30,30,0,30
10,Evolutionary,SimpleSubst,3453,10,10,24,0,36,36,2,34
10,Evolutionary,SimpleSubst,3482,10,10,24,0,26,26,2,24
10,Evolutionary,SimpleSubst,3381,10,10,24,2,27,27,8,19
10,Evolutionary,SimpleSubst,3422,10,10,24,0,34,34,0,34
10,Evolutionary,SimpleSubst,3176,10,10,24,0,50,50,0,50
10,Evolutionary,SimpleSubst,3200,10,10,24,0,17,17,2,15
10,Evolutionary,SimpleSubst,3427,10,10,24,0,56,56,0,56
10,Evolutionary,SimpleSubst,3258,10,10,24,0,40,40,0,40
10,Evolutionary,SimpleSubst,3295,10,10,24,0,57,57,4,53
10,Evolutionary,SimpleSubst,3471,10,10,24,0,15,15,2,13
10,Evolutionary,SimpleSubst,3537,10,10,24,0,47,47,6,41
10,Evolutionary,SimpleSubst,3008,10,10,24,0,67,67,10,57
10,Evolutionary,SimpleSubst,3411,10,10,24,0,38,38,0,38
10,Evolutionary,SimpleSubst,3361,10,10,24,0,74,74,0,74
10,Evolutionary,SimpleSubst,3084,10,10,24,0,18,18,0,18
10,Evolutionary,SimpleSubst,3132,10,10,24,0,47,47,8,39
10,Evolutionary,SimpleSubst,3430,10,10,24,0,26,26,2,24
10,Evolutionary,Motif,3167,10,1,6,0,1,1,0,1
10,Evolutionary,Motif,3128,10,10,24,0,18,18,0,18
10,Evolutionary,Motif,3364,10,1,6,0,1,0,0,0
10,Evolutionary,Motif,3414,10,10,24,0,18,18,0,18
10,Evolutionary,Motif,3539,10,4,12,0,3,3,0,3
10,Evolutionary,Motif,2958,10,10,24,0,50,50,0,50
10,Evolutionary,Motif,3459,10,10,24,0,25,25,0,25
10,Evolutionary,Motif,3385,10,2,8,0,2,2,0,2
10,Evolutionary,Motif,3281,10,1,6,0,1,0,0,0
10,Evolutionary,Motif,3449,10,10,24,0,14,14,0,14
10,Evolutionary,Motif,3350,10,10,24,0,11,11,0,11
10,Evolutionary,Motif,3572,10,10,24,0,26,26,0,26
10,Evolutionary,Motif,3201,10,1,6,0,1,0,0,0
10,Evolutionary,Motif,3453,10,1,6,0,1,0,0,0
10,Evolutionary,Motif,3482,10,1,6,0,1,0,0,0
10,Evolutionary,Motif,3381,10,4,12,0,3,3,0,3
10,Evolutionary,Motif,3422,10,10,24,0,20,20,0,20
10,Evolutionary,Motif,3176,10,10,24,0,26,26,0,26
10,Evolutionary,Motif,3200,10,10,24,1,5,5,0,5
10,Evolutionary,Motif,3427,10,10,24,0,24,24,0,24
10,Evolutionary,Motif,3258,10,10,24,0,16,16,0,16
10,Evolutionary,Motif,3295,10,10,24,0,23,23,0,23
10,Evolutionary,Motif,3471,10,6,16,0,4,4,0,4
10,Evolutionary,Motif,3537,10,10,24,0,19,19,0,19
10,Evolutionary,Motif,3008,10,10,24,0,10,10,0,10
10,Evolutionary,Motif,3411,10,10,24,0,16,16,0,16
10,Evolutionary,Motif,3361,10,10,24,0,40,40,0,40
10,Evolutionary,Motif,3084,10,10,24,0,11,11,0,11
10,Evolutionary,Motif,3132,10,10,24,0,17,17,0,17
10,Evolutionary,Motif,3430,10,9,22,0,4,4,0,4
20,Random,SimpleSubst,3167,20,20,44,3,27,27,8,19
20,Random,SimpleSubst,3128,20,20,44,3,38,38,0,38
20,Random,SimpleSubst,3364,20,20,44,4,39,39,4,35
20,Random,SimpleSubst,3414,20,20,44,2,48,48,6,42
20,Random,SimpleSubst,3539,20,20,44,2,21,21,8,13
20,Random,SimpleSubst,2958,20,20,44,6,89,89,0,89
20,Random,SimpleSubst,3459,20,20,44,4,50,50,4,46
20,Random,SimpleSubst,3385,20,20,44,0,14,14,0,14
20,Random,SimpleSubst,3281,20,20,44,5,55,55,4,51
20,Random,SimpleSubst,3449,20,20,44,2,35,35,0,35
20,Random,SimpleSubst,3350,20,20,44,2,29,29,6,23
20,Random,SimpleSubst,3572,20,20,44,3,53,53,0,53
20,Random,SimpleSubst,3201,20,20,44,5,30,30,0,30
20,Random,SimpleSubst,3453,20,20,44,4,36,36,2,34
20,Random,SimpleSubst,3482,20,20,44,4,26,26,2,24
20,Random,SimpleSubst,3381,20,20,44,2,27,27,8,19
20,Random,SimpleSubst,3422,20,20,44,2,34,34,0,34
20,Random,SimpleSubst,3176,20,20,44,2,50,50,0,50
20,Random,SimpleSubst,3200,20,20,44,2,17,17,2,15
20,Random,SimpleSubst,3427,20,20,44,3,56,56,0,56
20,Random,SimpleSubst,3258,20,20,44,4,40,40,0,40
20,Random,SimpleSubst,3295,20,20,44,3,57,57,4,53
20,Random,SimpleSubst,3471,20,20,44,1,15,15,2,13
20,Random,SimpleSubst,3537,20,20,44,4,47,47,6,41
20,Random,SimpleSubst,3008,20,20,44,5,67,67,10,57
20,Random,SimpleSubst,3411,20,20,44,4,38,38,0,38
20,Random,SimpleSubst,3361,20,20,44,4,74,74,0,74
