model,attack,source_n,candidate_n,mean_drift,median_drift,p90_drift,p95_drift,max_drift,mean_source_std,mean_source_range,invariance_score,stress_exceedance_rate
ordinary_baseline,randomization,624,3120,0.6139113903045654,0.43435537815093994,1.4005930423736572,1.8207601308822632,4.0100297927856445,0.4690353274345398,1.1541707515716553,0.0,
architecture_control,randomization,624,3120,0.3821173906326294,0.2555471658706665,0.855495810508728,1.1539115905761719,3.751739501953125,0.29952171444892883,0.7353662252426147,0.21013673753574158,
randomization_robust,randomization,624,3120,0.3009061813354492,0.20389819145202637,0.6808112263679504,0.9533913135528564,2.6683316230773926,0.23776523768901825,0.58731609582901,0.3780059638432368,
mixed_robust,randomization,624,3120,0.30430155992507935,0.2065885066986084,0.6934987306594849,0.9491578936576843,2.268378496170044,0.24058222770690918,0.59177166223526,0.37098747979657665,
ordinary_baseline,substitution,602,1632,0.2912788391113281,0.14637088775634766,0.766933262348175,1.0946959257125854,2.9093523025512695,,,,0.18075980392156862
architecture_control,substitution,602,1632,0.2814342975616455,0.1417553424835205,0.7181881070137024,0.9855349659919739,2.7815017700195312,,,,0.1881127450980392
randomization_robust,substitution,602,1632,0.29362326860427856,0.13906121253967285,0.7756514549255371,1.0757514238357544,2.6061758995056152,,,,0.20588235294117646
mixed_robust,substitution,602,1632,0.27420496940612793,0.13313114643096924,0.6960873603820801,1.0143059492111206,2.544271945953369,,,,0.1795343137254902
