operator,query_budget,n_runs,valid_candidate_rate,unique_candidate_rate,mean_drift_eV,median_drift_eV,max_drift_eV,mean_operator_edits,max_operator_edits,mean_atom_edits,max_atom_edits,mean_structural_change_proxy,max_structural_change_proxy,query_efficiency_eV_per_query,unanswered_runs
aliphatic_carbon_substitution,10,30,0.9,0.9,0.4245666265487671,0.3324012756347656,1.288731575012207,1.1851851851851851,2,1.0666666666666667,2,1.0666666666666667,2,0.05857556210623847,3
aliphatic_carbon_substitution,20,30,0.8931578947368422,0.9,0.5694854736328125,0.45409703254699707,1.7814836502075195,1.6666666666666667,3,1.9,5,2.3333333333333335,8,0.051167279440569494,3
aliphatic_carbon_substitution,50,30,0.8450779104940672,0.9,0.7603021383285522,0.725330114364624,2.590869188308716,2.5555555555555554,3,3.2666666666666666,10,4.3,16,0.04706730698435542,3
scaffold_preserving,10,30,0.16666666666666666,0.16666666666666666,0.06706376870473225,0.0,0.5258514881134033,1.0,1,0.16666666666666666,1,0.16666666666666666,1,0.006706376870473226,25
scaffold_preserving,20,30,0.16666666666666666,0.16666666666666666,0.06750386555989583,0.0,0.5258514881134033,1.0,1,0.16666666666666666,1,0.16666666666666666,1,0.0033751932779947915,25
scaffold_preserving,50,30,0.15866771159874607,0.16666666666666666,0.13874090512593587,0.0,1.291102647781372,2.2,3,0.36666666666666664,3,0.36666666666666664,3,0.002774818102518717,25
simple_substitution,10,30,1.0,1.0,0.9468040068944296,0.9481277465820312,1.8943266868591309,1.0,1,1.0,1,1.0,1,0.09468040068944297,0
simple_substitution,20,30,0.9840155185316476,1.0,1.1883607705434163,1.1722486019134521,2.4948625564575195,1.2,3,1.2,3,1.2,3,0.05941803852717082,0
simple_substitution,50,30,0.9288671329878003,1.0,1.7031726439793904,1.6564700603485107,3.055210590362549,2.1333333333333333,3,1.9,3,1.9,3,0.03823388705846271,0
