query_budget,method,source_id,source_smiles,phase12b_drift_eV,phase12b_queries,v2_drift_eV,v2_queries,v2_operator_edits,v2_atom_edits,drift_ratio_v2_over_phase12b
10,random,0,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,0.6013283729553223,10,0.2611527442932129,10,1,1,0.43429306854379235
10,random,1,*CC(*)C=C,1.4197659492492676,10,1.4197659492492676,10,1,1,1.0
10,random,2,*CC(=S)NO*,1.5716490745544434,10,1.8943266868591309,10,1,1,1.2053114893960444
10,random,3,*CC(=O)CC(*)=S,1.3688735961914062,10,1.7548942565917969,10,1,1,1.281998762686642
10,random,4,*CC(=O)C(=S)C(*)=O,1.6939873695373535,10,1.6089582443237305,10,1,1,0.9498053369566472
10,random,5,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,0.12114930152893066,10,0.160355806350708,10,1,1,1.323621385571214
10,random,6,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,0.7239062786102295,10,0.7212734222412109,10,1,1,0.9963629872446014
10,random,7,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],0.4173855781555176,10,0.7172322273254395,10,1,1,1.71839245259739
10,random,8,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,0.39857029914855957,10,0.5785462856292725,10,1,1,1.451553933810884
10,random,9,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,1.3068335056304932,10,0.4167671203613281,10,1,1,0.31891370902696226
10,random,10,*CC(*)C(=O)NCCO,1.3032522201538086,10,1.0282273292541504,10,1,1,0.7889703261988689
10,random,11,*CC(*)C(=O)SC(C)CC,0.5429706573486328,10,0.9964599609375,10,1,1,1.8352003878133858
10,random,12,*OC(=O)CCSCCC(*)=O,0.7572569847106934,10,0.7572569847106934,10,1,1,1.0
10,random,13,*CC(*)C(=O)OCCCSCC,0.3132967948913574,10,0.43033838272094727,10,1,1,1.3735805464277941
10,random,14,*C=CC(C)C(*)C(=O)OCCCC,1.0944733619689941,10,1.0944733619689941,10,1,1,1.0
10,random,15,*NC(CCC(=O)OCCCC)C(*)=O,0.8963623046875,10,0.8963623046875,10,1,1,1.0
10,random,16,*CC(*)(C#N)C(=O)OCC(C)OCC=C,1.0584816932678223,10,1.384636402130127,10,1,1,1.30813448256755
10,random,17,*C(=NCCCCCC)N(*)CCCCCC,0.7745721340179443,10,0.47509193420410156,10,1,1,0.6133604777900455
10,random,18,*CC#CC#CCOC(=O)CCCCC(=O)O*,0.7486977577209473,10,0.7291064262390137,10,1,1,0.9738327899611052
10,random,19,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,1.2916970252990723,10,1.0704607963562012,10,1,1,0.8287243644525331
10,random,20,*CC(C)(C)CS(*)(=O)=O,1.2410173416137695,10,1.848855972290039,10,1,1,1.489790601866901
10,random,21,*C(F)C(*)(F)OC(F)(F)F,2.1720943450927734,10,0.425689697265625,10,1,1,0.19598121887631134
10,random,22,*CC(*)C(=O)OCCCCC,1.2677931785583496,10,1.2423057556152344,10,1,1,0.9798962296262724
10,random,23,*CC(*)(C)C(=O)OCCCOC,1.6234326362609863,10,1.5174193382263184,10,1,1,0.9346980615845984
