attack,clean,randomization,MCMC,mixed
randomization,0.5922747933965159,0.3603865240085906,0.5526371462479727,0.3614656045636444
MCMC,0.5316474694102673,0.4696356606529935,0.484228836320452,0.41590605746023357
substitution,0.3094747110676662,0.2962349858675716,0.2995260698402127,0.25470363659355066
insertion,0.44077987289559084,0.3953412195141806,0.35751645921927483,0.3111599819837819
deletion,0.39026464592019333,0.298759599565153,0.327421653355267,0.29346342381932977
rearrangement,0.19174175890510345,0.13467593235737832,0.1552090635689933,0.1293348948973829
