epoch,l_clean,l_adv,val_mae,val_r2,lambda
1,15.110102772712708,15.2153280377388,0.6823717481591991,0.6168356482948919,0.01
2,11.384903252124786,12.011602282524109,1.1499278219881792,0.07973010335636654,0.01
3,8.597444266080856,8.99556115269661,1.6606132496216681,-0.7598355325080934,0.01
4,6.093231588602066,6.311294764280319,2.2488037575927806,-2.0451204316572067,0.01
5,3.679157093167305,4.449863940477371,3.0466372092746647,-4.351013359522529,0.01
6,1.6831608079373837,1.9943734593689442,3.8256516504464124,-7.170101127443235,0.01
7,0.7423763368278742,1.0859721042215824,4.274916871638036,-8.987484383120082,0.01
8,0.4568643383681774,0.8477602563798428,4.502028013894522,-9.94292681875266,0.01
9,0.3950797840952873,0.6711186142638326,4.646925549451071,-10.561307417262293,0.01
10,0.3676032926887274,0.6190261822193861,4.739980812691884,-10.957421590687652,0.01
11,0.3377039534971118,0.5820158012211323,4.7993166408412735,-11.206268706102554,0.01
12,0.30283280834555626,0.611540456302464,4.8524612264543405,-11.439305446101235,0.01
13,0.28435720037668943,0.5275103216990829,4.864756091029947,-11.483192952882513,0.01
14,0.26008552871644497,0.7402287926524878,4.8964572626841365,-11.62109316038932,0.01
15,0.24091019248589873,0.8086704602465034,4.916811647515255,-11.705566440664093,0.01
16,0.23504224885255098,0.7037780194077641,4.923513813131169,-11.727310024471716,0.01
17,0.2449846281670034,0.6448233174160123,4.94907166853391,-11.834857807493721,0.01
18,0.2421531742438674,0.645819156197831,4.969693975815928,-11.923820193752086,0.01
19,0.2384854261763394,0.48012718139216304,4.978366881645144,-11.954366614082243,0.01
20,0.20785683346912265,0.8016796847805381,4.990113574532226,-11.988556384217413,0.01
21,0.22218188596889377,0.7220271690748632,5.012388206907822,-12.083715472527246,0.01
22,0.2125759068876505,0.5961925927549601,5.002936366957248,-12.017859683844163,0.01
23,0.20519428129773587,0.602098005823791,5.006969885731485,-12.023798018072812,0.01
24,0.1941550283227116,0.6219999422319233,5.01535331195232,-12.05717345049659,0.01
25,0.19366513332352042,0.8455036317463964,5.0215216199082136,-12.079448369397792,0.01
26,0.17787418910302222,0.41865926003083587,5.050631939472346,-12.219190474959001,0.01
27,0.15717459633015096,0.9220997393131256,5.062146758688946,-12.264594181723451,0.01
28,0.1809741489123553,0.5667037200182676,5.056786972279003,-12.219519272563836,0.01
29,0.17454815236851573,0.6643879422917962,5.045592314550283,-12.147346153193608,0.01
30,0.1613850451540202,0.7532168328762054,5.072041212656031,-12.272032460090317,0.01
31,0.1399558570701629,0.9700546748936176,5.090646664875543,-12.363922726110069,0.01
32,0.13709046225994825,0.7986035533249378,5.102043554787713,-12.409261912425276,0.01
33,0.1542089143767953,0.6776342801749706,5.11231181669144,-12.44737369222524,0.01
34,0.14215095550753176,0.8909590840339661,5.111542311995167,-12.436166494282146,0.01
35,0.14464761991985142,0.8993000732734799,5.09505171133447,-12.339324307962068,0.01
36,0.14054701337590814,0.38773828092962503,5.08762955547733,-12.302314500488936,0.01
37,0.1373450136743486,0.8820128990337253,5.102158719204114,-12.3774488721064,0.01
38,0.12260006554424763,0.7188019366003573,5.128001607889007,-12.505610182790837,0.01
39,0.1181500522652641,0.7157056676223874,5.106206932782517,-12.390027065613388,0.01
40,0.1122963079251349,0.9265290275216103,5.134333957384827,-12.532800657405945,0.01
