epoch,l_clean,l_adv,val_mae,val_r2,lambda
1,15.112780630588531,15.220478236675262,0.6813998719405856,0.6177322541853716,0.0
2,11.393051624298096,12.027911335229874,1.1472008243927327,0.08327708143751866,0.0
3,8.610978186130524,9.025731354951859,1.655787735785556,-0.7511573833364313,0.0
4,6.115557223558426,6.348061203956604,2.2378531638711707,-2.019478752744867,0.0
5,3.7228354662656784,4.511775448918343,3.025396585112731,-4.282720324863004,0.0
6,1.7203473448753357,2.045466050505638,3.8112482304540958,-7.114894772667277,0.01
7,0.7517739720642567,1.1036439947783947,4.269846754261362,-8.96677350066035,0.01
8,0.4585826341062784,0.8558386638760567,4.500558600058555,-9.937238117923215,0.01
9,0.3951944038271904,0.6751443343237042,4.6466859989140135,-10.560175376300375,0.01
10,0.36733803898096085,0.6248374972492456,4.7409741240620855,-10.960843039653673,0.01
11,0.3370915884152055,0.5851126937195659,4.804078353591373,-11.22805512681865,0.05
12,0.3026310931891203,0.6081777922809124,4.860543674412112,-11.478521982209395,0.05
13,0.284115148242563,0.5213651163503528,4.875362266986358,-11.536164815053631,0.05
14,0.25992322992533445,0.7277700630947948,4.907377124053313,-11.677642620696014,0.05
15,0.24105550535023212,0.7874116571620107,4.9287392011389795,-11.76725453534761,0.05
16,0.23758326936513186,0.6673134744632989,4.943826685161152,-11.829955110482478,0.1
17,0.24394137086346745,0.6068526215385646,4.970220740428707,-11.9405701060607,0.1
18,0.24303813325241208,0.6088844749610871,4.986499589239237,-12.007914987373816,0.1
19,0.24431401677429676,0.44032763759605587,4.99538588075986,-12.042334928571218,0.1
20,0.21104195690713823,0.7254365421831608,5.006474130536808,-12.076215675116377,0.1
21,0.22877669241279364,0.6285553956404328,5.03166292848195,-12.187033588666832,0.1
22,0.2191621344536543,0.5449856142513454,5.021004033804765,-12.115900109648951,0.1
23,0.20976083003915846,0.5083165122196078,5.022122890267793,-12.108874962316262,0.1
24,0.20149748772382736,0.5153983281925321,5.036161228386571,-12.173606800157533,0.1
25,0.19964553602039814,0.7171173410024494,5.040030694615804,-12.18316968564203,0.1
26,0.18600834882818162,0.37520410399883986,5.054325505503387,-12.244868954155548,0.1
27,0.1659670693334192,0.7431689233053476,5.065958416074174,-12.290890058721672,0.1
28,0.185893191723153,0.48973988043144345,5.06550432926491,-12.271860751376709,0.1
29,0.18354859203100204,0.5298167793080211,5.053063298283229,-12.194773149653988,0.1
30,0.16779328067786992,0.5772737698862329,5.085894255542397,-12.352220241342474,0.1
31,0.14856456755660474,0.7895050258375704,5.097109855244796,-12.406170699912844,0.1
32,0.14756712457165122,0.6226716141682118,5.1055135125113384,-12.43641695541932,0.1
33,0.15791152231395245,0.5231323414482176,5.106246816832261,-12.429321002273944,0.1
34,0.1510849315673113,0.7387562803924084,5.106783376788934,-12.425751862380219,0.1
35,0.1545508208218962,0.5892409840598702,5.104340442562955,-12.39967614547018,0.1
36,0.15086406050249934,0.27940999064594507,5.094163714836771,-12.345995555682462,0.1
37,0.14465063740499318,0.6297364044003189,5.099373158826613,-12.374225211697663,0.1
38,0.13134325691498816,0.4827511375769973,5.131523733529304,-12.5385261052559,0.1
39,0.1292844022391364,0.4436425222083926,5.118537403872008,-12.46713932133547,0.1
40,0.11967115919105709,0.6922458875924349,5.138697918727423,-12.566369683093972,0.1
