source_id,strategy,candidate,baseline_drift,robust_drift,transfer_ratio
poly_1298,random,[*]Os1ccc(NC(=O)c2cc(C(=O)Ns3ccc(Oc4ccc(C5(c6ccc([*])cc6)CC6CCC5C6)nc4)cc3)cc(C(C)(C)C)c2)cc1,2.0405359268188477,0.4373438358306885,0.21432792732666964
poly_1419,greedy,[*]OC(S1)=CC=C1OC(=O)[*],1.366868019104004,1.4978680610656738,1.0958395690957359
poly_1419,metropolis,[*]OC(S1)=CC=C1OC(\O)[*],1.9314141273498535,1.2752494812011719,0.6602672431266602
poly_1419,random,[*]CC(S1)=CC\C1OC(\S)[*],1.2657256126403809,0.9750618934631348,0.7703580331515107
poly_1461,greedy,[*]c1ccc2s(c1)c1cnccs1n2[*],1.2388641834259033,0.9276854991912842,0.7488193714874389
poly_1461,metropolis,[*]c1ccc2s(c1)c1cnccs1n2[*],1.2388641834259033,0.9276854991912842,0.7488193714874389
poly_1461,random,[*]c1ccc2s(c1)c1cnccs1n2[*],1.2388641834259033,0.9276854991912842,0.7488193714874389
poly_1468,greedy,[*]c1ccs2c(c1)c1cs([*])ccc1n2C(=O)NO,1.8898091316223145,1.1149671077728271,0.5899892688187399
poly_1468,metropolis,[*]s1ccc2c(c1)c1cs([*])ccc1n2C(=N)NO,2.031566619873047,0.9256377220153809,0.45562755016777357
poly_1468,random,[*]c1ccc2s(c1)c1cs([*])ccc1n2C(=O)NO,1.7661724090576172,1.1656103134155273,0.659964059815353
poly_1493,greedy,[*]CCCOc1ccs(C(=O)OC(=O)c2ccccc2C(=O)OC(=O)c2ccc(O[*])cc2)cc1,2.0398168563842773,0.40313148498535156,0.19763121562782418
poly_1493,metropolis,[*]CCOOc1ccs(C(=O)OC(=O)c2ccccc2C(=O)OI(=O)c2ccc(O[*])cc2)cc1,2.1552734375,0.27736520767211914,0.12869142394936564
poly_1493,random,[*]CCCOc1ccc(C(=O)OC(=O)s2ccccc2C(=O)OC(=O)c2ccs(C[*])cc2)cc1,2.679431915283203,0.9997568130493164,0.3731226784852441
poly_1549,greedy,[*]Ns1cc([*])ccc1CCCCCCCCCCCC,3.273710012435913,1.0073585510253906,0.307711601577023
poly_1549,metropolis,[*]Ns1cc([*])ccc1CCCCCCSCNCCC,3.99361515045166,0.07071256637573242,0.017706404776568204
poly_1549,random,[*]Ns1cc([*])ccc1CCCCCCCCCCCC,3.273710012435913,1.0073585510253906,0.307711601577023
poly_155,greedy,[*]c1cc(CSCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c([*])s1,0.6005935668945312,0.5921509265899658,0.9859428392677938
poly_155,metropolis,[*]c1cc(CCCCCCCCCCNC(\O)Oc2ccc([N+](=O)[O-])cc2)c([*])o1,2.3547427654266357,1.97959566116333,0.8406844646594186
poly_155,random,[*]c1cc(CCCCPCCCCCCC(=O)Oc2ccc([Si](=O)[O-])cc2)c([*])o1,1.9217793941497803,1.6211941242218018,0.8435901275437698
