model,strategy,budget,mean_drift,std_drift,mean_queries,mean_valid,mean_drift_E1,mean_drift_E2,mean_drift_E3
mixed_robust,greedy,10,0.7501789855957032,0.5387856389689144,10.0,10.0,0.7501789855957032,0.7501789855957032,0.7501789855957032
mixed_robust,greedy,20,0.8503050708770752,0.5356612993978883,20.0,20.02,0.8472411441802978,0.8503050708770752,0.8503050708770752
mixed_robust,greedy,50,1.1853632807731629,0.6863101183079697,49.58,50.25,1.0474540615081787,1.1775017333030702,1.1853632807731629
mixed_robust,metropolis,10,0.8783687319755554,0.5979769940152364,10.0,11.666,0.2645567860603332,0.6577374982833862,0.8783687319755554
mixed_robust,metropolis,20,1.0955097966194154,0.6591088424569199,20.0,26.576,0.29264236021041873,0.8833255381584167,1.0955097966194154
mixed_robust,metropolis,50,1.3657018413543702,0.7210157840757045,49.648,88.908,0.34336404991149905,1.1542271671295166,1.3657018413543702
mixed_robust,random,10,0.8913200459480286,0.6020357274009688,10.0,10.38,0.5746713471412659,0.7699687476158142,0.8913200459480286
mixed_robust,random,20,1.0907618947029114,0.63444777545228,20.0,21.22,0.7260309109687805,0.952338252067566,1.0907618947029114
mixed_robust,random,50,1.2944949908256531,0.62875079591143,50.0,56.93,0.9164787011146546,1.1687686524391174,1.2944949908256531
ordinary_baseline,greedy,10,1.0543959093093873,0.6486807048741311,10.0,10.0,1.0543959093093873,1.0543959093093873,1.0543959093093873
ordinary_baseline,greedy,20,1.1603828716278075,0.6880417807084056,20.0,20.0,1.1491584706306457,1.1603828716278075,1.1603828716278075
ordinary_baseline,greedy,50,1.4859002900123597,0.7759093968154666,49.58,50.29,1.3202390313148498,1.477214014530182,1.4859002900123597
ordinary_baseline,metropolis,10,1.086511044025421,0.7423780342030578,10.0,12.376,0.3202586979866028,0.8379803042411804,1.086511044025421
ordinary_baseline,metropolis,20,1.3599424419403077,0.792024752603459,19.972,29.172,0.34788716983795165,1.1027532391548156,1.3599424419403077
ordinary_baseline,metropolis,50,1.6689936156272889,0.8115292948986748,48.93,102.292,0.4538682775497436,1.407241946220398,1.6689936156272889
ordinary_baseline,random,10,1.061857412338257,0.6872968460877787,10.0,10.38,0.6766010408401489,0.9142325739860535,1.061857412338257
ordinary_baseline,random,20,1.2841543917655944,0.6939363392452798,20.0,21.22,0.8613599863052368,1.1127302570343018,1.2841543917655944
ordinary_baseline,random,50,1.5675811066627503,0.7037920596617858,50.0,56.93,1.1336972260475158,1.4070220823287964,1.5675811066627503
