source_id,clean_mean_attr,adv_mean_attr,clean_max_attr,top_10_pct_overlap,mean_attr_of_modified_tokens,mean_attr_overall
3583,0.12207558660796189,0.2699351926003733,0.3801178932189941,0.0,0.15218982696533195,0.12207558660796189
3602,0.2585056495666504,0.23842411041259765,0.5892577171325684,0.0,0.3415520985921224,0.2585056495666504
3604,0.49751718227679914,0.5361065130967361,0.8657793998718262,0.0,0.2629156112670898,0.49751718227679914
3607,0.3092307637377483,0.4260763249746183,0.8322944641113281,0.0,0.2943019866943359,0.3092307637377483
3609,0.25470120732377216,0.5535002182691525,0.6593437194824219,0.0,0.36461623509724933,0.25470120732377216
3621,0.11286156707339812,0.4694730595844548,0.3129959106445312,0.3333333333333333,0.1097230911254882,0.11286156707339812
3623,0.7289634855782113,0.3891430133726539,1.5889625549316406,0.75,0.293398380279541,0.7289634855782113
3634,0.15624061497774988,0.18442081823581602,0.4157671928405761,0.5,0.23265385627746576,0.15624061497774988
3644,0.4015985835682262,0.56255776383156,0.9820795059204102,0.5,0.9820795059204102,0.4015985835682262
3648,0.2924136221408844,0.2450437843799591,1.134653091430664,0.3333333333333333,0.21858692169189453,0.2924136221408844
3650,0.13220083302464974,0.20303512441700902,0.5475001335144043,0.0,0.11568180720011385,0.13220083302464974
3657,0.3906220478170058,0.32110992074012756,0.7453927993774414,0.6666666666666666,0.2267947196960449,0.3906220478170058
3658,0.0817052466528756,0.08771707461430472,0.2242398262023925,0.0,0.07792007923126217,0.0817052466528756
3666,0.3569935162862142,0.664082940419515,0.7126588821411133,0.0,0.5175971984863281,0.3569935162862142
3671,0.6461332826053395,0.18799992611533714,0.9279589653015136,0.0,0.0,0.6461332826053395
3672,0.5385743141174316,0.5707362023266879,3.494326591491699,0.5,1.9794540405273438,0.5385743141174316
3676,0.8789199739694595,0.355535093943278,1.4673261642456057,0.75,1.1408284664154054,0.8789199739694595
3680,0.4246748387813568,0.8254243766560274,1.6098971366882324,0.0,0.2514762878417969,0.4246748387813568
3681,0.6486097431182861,0.8153077621085971,1.5413060188293457,0.0,0.2556298573811849,0.6486097431182861
3691,0.5479776575451806,0.685750777904804,1.1719036102294922,0.5,0.5432591438293457,0.5479776575451806
