source_id,op,clean_pos,adv_pos,clean_delta,adv_delta
3583,matched,0.0,0.0,0.1104459762573242,0.195408821105957
3583,matched,1.0,1.0,0.0628538131713867,0.1704964637756347
3583,matched,2.0,2.0,0.0033740997314453,0.17985200881958
3583,matched,3.0,3.0,0.0442538261413574,0.0903220176696777
3583,matched,4.0,4.0,0.0756711959838867,0.2969589233398437
3583,matched,5.0,5.0,0.0812110900878906,0.2942261695861816
3583,matched,6.0,6.0,0.0356578826904296,0.2239494323730468
3583,deleted,7.0,,0.0370731353759765,
3583,substituted,8.0,7.0,0.086803913116455,0.2754974365234375
3583,matched,9.0,8.0,0.16949462890625,0.2675485610961914
3583,matched,10.0,9.0,0.1550474166870117,0.3245949745178222
3583,matched,11.0,10.0,0.1243848800659179,0.3129444122314453
3583,deleted,12.0,,0.274899959564209,
3583,substituted,13.0,11.0,0.2560367584228515,0.1547684669494629
3583,matched,14.0,12.0,0.2711544036865234,0.2810478210449219
3583,matched,15.0,13.0,0.0349555015563964,0.4129657745361328
3583,matched,16.0,14.0,0.1039590835571289,0.4146008491516113
3583,matched,17.0,15.0,0.0933313369750976,0.3116645812988281
3583,matched,18.0,16.0,0.0282883644104003,0.2768788337707519
3583,matched,19.0,17.0,0.0191774368286132,0.2416505813598632
3583,matched,20.0,18.0,0.0379729270935058,0.4226970672607422
3583,matched,21.0,19.0,0.0081005096435546,0.4044947624206543
3583,matched,22.0,20.0,0.007697582244873,0.4885940551757812
3583,matched,23.0,21.0,0.097787857055664,0.4257526397705078
3583,matched,24.0,22.0,0.1406269073486328,0.4584102630615234
3583,substituted,25.0,23.0,0.1061353683471679,0.3369145393371582
3583,matched,26.0,24.0,0.1177835464477539,0.4779491424560547
3583,matched,27.0,25.0,0.0735459327697753,0.1916351318359375
3583,matched,28.0,26.0,0.3801178932189941,0.1138091087341308
3583,matched,29.0,27.0,0.3715028762817383,0.0814075469970703
3583,matched,30.0,28.0,0.3799076080322265,0.0947179794311523
3583,matched,31.0,29.0,0.0923810005187988,0.0469222068786621
3583,matched,32.0,30.0,0.1468596458435058,0.0993103981018066
3602,matched,0.0,0.0,0.0757384300231933,0.7379822731018066
3602,matched,1.0,1.0,0.468017578125,0.3531651496887207
3602,matched,2.0,2.0,0.468017578125,0.3531651496887207
3602,matched,3.0,3.0,0.1481456756591797,0.3941478729248047
3602,substituted,4.0,4.0,0.420903205871582,0.575861930847168
3602,matched,5.0,5.0,0.0559191703796386,0.4678497314453125
3602,matched,6.0,6.0,0.4589080810546875,0.0710110664367675
3602,matched,7.0,7.0,0.5892577171325684,0.1703219413757324
3602,deleted,8.0,,0.3180055618286133,
3602,substituted,9.0,8.0,0.2857475280761719,0.0506424903869628
3602,matched,10.0,9.0,0.4534187316894531,0.1712217330932617
3602,matched,11.0,10.0,0.4624996185302734,0.1061749458312988
3602,inserted,,11.0,,0.032790184020996
3602,matched,12.0,12.0,0.5578184127807617,0.2352328300476074
3602,matched,13.0,13.0,0.4284238815307617,0.2636456489562988
3602,matched,14.0,14.0,0.2274551391601562,0.1568565368652343
3602,matched,15.0,15.0,0.0565156936645507,0.4126062393188476
3602,matched,16.0,16.0,0.2267227172851562,0.2286844253540039
3602,matched,17.0,17.0,0.0953350067138671,0.1082997322082519
3602,matched,18.0,18.0,0.0989737510681152,0.0425057411193847
3602,matched,19.0,19.0,0.1230792999267578,0.0064458847045898
3602,matched,20.0,20.0,0.1582717895507812,0.5139427185058594
3602,matched,21.0,21.0,0.0903148651123046,0.1034059524536132
3602,matched,22.0,22.0,0.1092376708984375,0.1452460289001464
3602,matched,23.0,23.0,0.0032405853271484,0.1105732917785644
3602,matched,24.0,24.0,0.0826735496520996,0.1488232612609863
3604,matched,0.0,0.0,0.440619945526123,0.3364491462707519
3604,matched,1.0,1.0,0.2537093162536621,0.0196642875671386
3604,matched,2.0,2.0,0.7272658348083496,0.7228994369506836
3604,matched,3.0,3.0,0.7521262168884277,0.991551399230957
3604,matched,4.0,4.0,0.5110373497009277,0.670504093170166
3604,matched,5.0,5.0,0.3880410194396972,0.7873339653015137
3604,matched,6.0,6.0,0.2636098861694336,0.305457592010498
3604,matched,7.0,7.0,0.3265738487243652,0.4338998794555664
3604,matched,8.0,8.0,0.5450797080993652,0.5160841941833496
3604,matched,9.0,9.0,0.8432941436767578,0.9059247970581056
3604,matched,10.0,10.0,0.8657793998718262,0.9261960983276368
3604,matched,11.0,11.0,0.2876710891723633,0.2133870124816894
3604,substituted,12.0,12.0,0.2629156112670898,0.1400327682495117
3607,matched,0.0,0.0,0.8322944641113281,0.0744976997375488
3607,matched,1.0,1.0,0.7722141742706299,0.1147150993347168
3607,matched,2.0,2.0,0.3146800994873047,0.3436055183410644
3607,matched,3.0,3.0,0.4354262351989746,0.3907661437988281
3607,matched,4.0,4.0,0.1601843833923339,0.6263213157653809
3607,matched,5.0,5.0,0.1601843833923339,0.6263213157653809
3607,matched,6.0,6.0,0.1601843833923339,0.6263213157653809
3607,matched,7.0,7.0,0.2283439636230468,0.5219550132751465
3607,matched,8.0,8.0,0.1563038825988769,0.6115288734436035
3607,matched,9.0,9.0,0.0022454261779785,0.8360555171966553
3607,matched,10.0,10.0,0.1287555694580078,0.895103931427002
3607,matched,11.0,11.0,0.1006498336791992,0.9641194343566896
3607,matched,12.0,12.0,0.1006498336791992,0.9641194343566896
3607,matched,13.0,13.0,0.1006498336791992,0.9641194343566896
3607,matched,14.0,14.0,0.0665578842163086,0.9015166759490968
3607,deleted,15.0,,0.1029028892517089,
3607,matched,16.0,15.0,0.3070926666259765,0.9898233413696288
3607,matched,17.0,16.0,0.2114195823669433,0.3957619667053222
3607,matched,18.0,17.0,0.4857010841369629,0.4359607696533203
3607,matched,19.0,18.0,0.4857010841369629,0.4359607696533203
3607,substituted,20.0,19.0,0.4857010841369629,2.286564826965332
3607,matched,21.0,20.0,0.5043601989746094,0.3808150291442871
3607,matched,22.0,21.0,0.5022950172424316,0.3843245506286621
3607,inserted,,22.0,,0.2618064880371094
3607,matched,23.0,23.0,0.5389256477355957,0.1770730018615722
3607,matched,24.0,24.0,0.4716758728027344,0.1488664150238037
3607,matched,25.0,25.0,0.6332921981811523,0.0816352367401123
