source_id,type,token,position,delta
3583,clean,[*],0,0.11044597625732422
3583,clean,O,1,0.06285381317138672
3583,clean,C,2,0.0033740997314453125
3583,clean,1,3,0.04425382614135742
3583,clean,C,4,0.07567119598388672
3583,clean,(,5,0.08121109008789062
3583,clean,C,6,0.03565788269042969
3583,clean,O,7,0.03707313537597656
3583,clean,C,8,0.08680391311645508
3583,clean,(,9,0.16949462890625
3583,clean,C,10,0.15504741668701172
3583,clean,),11,0.12438488006591797
3583,clean,=,12,0.274899959564209
3583,clean,O,13,0.25603675842285156
3583,clean,),14,0.27115440368652344
3583,clean,O,15,0.034955501556396484
3583,clean,C,16,0.1039590835571289
3583,clean,(,17,0.09333133697509766
3583,clean,[*],18,0.02828836441040039
3583,clean,),19,0.01917743682861328
3583,clean,C,20,0.03797292709350586
3583,clean,(,21,0.008100509643554688
3583,clean,O,22,0.007697582244873047
3583,clean,C,23,0.09778785705566406
3583,clean,(,24,0.1406269073486328
3583,clean,C,25,0.10613536834716797
3583,clean,),26,0.1177835464477539
3583,clean,=,27,0.07354593276977539
3583,clean,O,28,0.38011789321899414
3583,clean,),29,0.3715028762817383
3583,clean,C,30,0.37990760803222656
3583,clean,1,31,0.09238100051879883
3583,clean,O,32,0.14685964584350586
3583,mcmc_adv,[*],0,0.19540882110595703
3583,mcmc_adv,O,1,0.17049646377563477
3583,mcmc_adv,C,2,0.17985200881958008
3583,mcmc_adv,1,3,0.09032201766967773
3583,mcmc_adv,C,4,0.29695892333984375
3583,mcmc_adv,(,5,0.29422616958618164
3583,mcmc_adv,C,6,0.22394943237304688
3583,mcmc_adv,P,7,0.2754974365234375
3583,mcmc_adv,(,8,0.2675485610961914
3583,mcmc_adv,C,9,0.32459497451782227
3583,mcmc_adv,),10,0.3129444122314453
3583,mcmc_adv,Cl,11,0.1547684669494629
3583,mcmc_adv,),12,0.2810478210449219
3583,mcmc_adv,O,13,0.4129657745361328
3583,mcmc_adv,C,14,0.41460084915161133
3583,mcmc_adv,(,15,0.3116645812988281
3583,mcmc_adv,[*],16,0.27687883377075195
3583,mcmc_adv,),17,0.24165058135986328
3583,mcmc_adv,C,18,0.4226970672607422
3583,mcmc_adv,(,19,0.4044947624206543
3583,mcmc_adv,O,20,0.48859405517578125
3583,mcmc_adv,C,21,0.4257526397705078
3583,mcmc_adv,(,22,0.45841026306152344
3583,mcmc_adv,I,23,0.3369145393371582
3583,mcmc_adv,),24,0.4779491424560547
3583,mcmc_adv,=,25,0.1916351318359375
3583,mcmc_adv,O,26,0.11380910873413086
3583,mcmc_adv,),27,0.08140754699707031
3583,mcmc_adv,C,28,0.09471797943115234
3583,mcmc_adv,1,29,0.04692220687866211
3583,mcmc_adv,O,30,0.09931039810180664
3602,clean,[*],0,0.07573843002319336
3602,clean,C,1,0.468017578125
3602,clean,C,2,0.468017578125
3602,clean,(,3,0.1481456756591797
3602,clean,C,4,0.42090320587158203
3602,clean,Cl,5,0.05591917037963867
3602,clean,),6,0.4589080810546875
3602,clean,(,7,0.5892577171325684
3602,clean,C,8,0.3180055618286133
3602,clean,Cl,9,0.2857475280761719
3602,clean,),10,0.4534187316894531
3602,clean,C,11,0.46249961853027344
3602,clean,O,12,0.5578184127807617
3602,clean,C,13,0.4284238815307617
3602,clean,(,14,0.22745513916015625
3602,clean,=,15,0.05651569366455078
3602,clean,O,16,0.22672271728515625
3602,clean,),17,0.09533500671386719
3602,clean,C,18,0.09897375106811523
3602,clean,(,19,0.12307929992675781
3602,clean,=,20,0.15827178955078125
3602,clean,O,21,0.09031486511230469
3602,clean,),22,0.1092376708984375
3602,clean,O,23,0.0032405853271484375
3602,clean,[*],24,0.08267354965209961
3602,mcmc_adv,[*],0,0.7379822731018066
3602,mcmc_adv,C,1,0.3531651496887207
3602,mcmc_adv,C,2,0.3531651496887207
3602,mcmc_adv,(,3,0.3941478729248047
3602,mcmc_adv,N,4,0.575861930847168
3602,mcmc_adv,Cl,5,0.4678497314453125
3602,mcmc_adv,),6,0.07101106643676758
3602,mcmc_adv,(,7,0.17032194137573242
3602,mcmc_adv,I,8,0.05064249038696289
3602,mcmc_adv,),9,0.17122173309326172
3602,mcmc_adv,C,10,0.10617494583129883
3602,mcmc_adv,/,11,0.032790184020996094
3602,mcmc_adv,O,12,0.23523283004760742
3602,mcmc_adv,C,13,0.26364564895629883
3602,mcmc_adv,(,14,0.15685653686523438
3602,mcmc_adv,=,15,0.41260623931884766
3602,mcmc_adv,O,16,0.2286844253540039
3602,mcmc_adv,),17,0.10829973220825195
3602,mcmc_adv,C,18,0.042505741119384766
3602,mcmc_adv,(,19,0.006445884704589844
3602,mcmc_adv,=,20,0.5139427185058594
3602,mcmc_adv,O,21,0.10340595245361328
3602,mcmc_adv,),22,0.14524602890014648
3602,mcmc_adv,O,23,0.11057329177856445
3602,mcmc_adv,[*],24,0.14882326126098633
3604,clean,[*],0,0.44061994552612305
3604,clean,N,1,0.2537093162536621
3604,clean,C,2,0.7272658348083496
3604,clean,(,3,0.7521262168884277
3604,clean,C,4,0.5110373497009277
3604,clean,O,5,0.38804101943969727
3604,clean,),6,0.2636098861694336
3604,clean,C,7,0.32657384872436523
3604,clean,(,8,0.5450797080993652
3604,clean,[*],9,0.8432941436767578
3604,clean,),10,0.8657793998718262
3604,clean,=,11,0.2876710891723633
3604,clean,O,12,0.26291561126708984
3604,mcmc_adv,[*],0,0.33644914627075195
3604,mcmc_adv,N,1,0.019664287567138672
3604,mcmc_adv,C,2,0.7228994369506836
3604,mcmc_adv,(,3,0.991551399230957
3604,mcmc_adv,C,4,0.670504093170166
3604,mcmc_adv,O,5,0.7873339653015137
3604,mcmc_adv,),6,0.30545759201049805
3604,mcmc_adv,C,7,0.4338998794555664
3604,mcmc_adv,(,8,0.5160841941833496
3604,mcmc_adv,[*],9,0.9059247970581055
3604,mcmc_adv,),10,0.9261960983276367
3604,mcmc_adv,=,11,0.21338701248168945
3604,mcmc_adv,C,12,0.14003276824951172
3607,clean,[*],0,0.8322944641113281
3607,clean,O,1,0.7722141742706299
3607,clean,c,2,0.3146800994873047
3607,clean,1,3,0.4354262351989746
3607,clean,c,4,0.16018438339233398
3607,clean,c,5,0.16018438339233398
3607,clean,c,6,0.16018438339233398
3607,clean,(,7,0.22834396362304688
3607,clean,C,8,0.15630388259887695
3607,clean,c,9,0.0022454261779785156
3607,clean,2,10,0.1287555694580078
3607,clean,c,11,0.10064983367919922
3607,clean,c,12,0.10064983367919922
3607,clean,c,13,0.10064983367919922
3607,clean,(,14,0.0665578842163086
3607,clean,C,15,0.10290288925170898
3607,clean,c,16,0.30709266662597656
3607,clean,3,17,0.21141958236694336
3607,clean,c,18,0.4857010841369629
3607,clean,c,19,0.4857010841369629
3607,clean,c,20,0.4857010841369629
3607,clean,(,21,0.5043601989746094
