pilot_id,variant,num_generated,energy_spread_std,selected_energy
pilot_0,capped_n2,5,0.9929642976128298,52.861243588870096
pilot_0,capped_n3,5,2.087337383512389,85.11859983350578
pilot_0,capped_n4,5,4.767793464368091,117.9306006218558
pilot_3,capped_n2,5,1.5650258211892012,-7.4811167793045055
pilot_3,capped_n3,5,1.1177552400966269,-10.322451897076597
pilot_3,capped_n4,5,2.1311475566042266,-14.535374338503487
pilot_4,capped_n2,5,0.769971830965379,11.690716708992472
pilot_4,capped_n3,5,1.1661832892261126,26.15614444806876
pilot_4,capped_n4,5,0.6853059472349761,41.22828365934191
pilot_5,capped_n2,5,0.45417788645501755,0.045024451388112396
pilot_5,capped_n3,5,1.8423327990998501,4.27760507069727
pilot_5,capped_n4,5,1.350619073025048,12.699271106511379
pilot_6,capped_n2,5,2.327413679724707,16.065252195693013
pilot_6,capped_n3,5,3.0604912829592714,34.31941212258654
pilot_6,capped_n4,5,3.6222192327066822,52.78515058653096
pilot_8,capped_n2,5,0.8484895558866284,45.454909514638615
pilot_8,capped_n3,5,1.128576733136734,76.63789288121488
pilot_8,capped_n4,5,1.2573934077814866,107.11058248234565
