variant,seen_drift,fresh_drift,overfit_ratio
D0,1.0597813,0.606363220512867,0.5721583004484315
A_FailedOriginal,0.9834115,0.5537091580033302,0.5630487263896724
B_CleanRandom,0.9861385,0.5549512088298798,0.562751201655445
C_CleanLowAdv,0.9922392,0.5594086512923241,0.5637835038782899
D_Curriculum,0.9931025,0.5601082718372346,0.5639978808645939
E_FrozenEncoder,1.0640644,0.6033305907249451,0.5670052107169293
