epoch,l_clean,l_adv,val_mae,val_r2,lambda
1,16.728480637073517,16.65035903453827,0.4692416233292966,0.8014633857530475,0.1
2,15.477148175239563,16.06763184070587,0.5399701258995317,0.7537534491062375,0.1
3,14.476394712924957,14.945292949676514,0.6420282224896241,0.676695520524482,0.1
4,13.358344554901123,14.0064377784729,0.7693028223635304,0.5689987634678182,0.1
5,12.250329792499542,13.563376545906067,0.9157278537504886,0.4316236665833184,0.1
6,11.349344611167908,12.031455159187317,1.0697530071771089,0.26326819957018266,0.1
7,10.285529494285583,11.487838864326477,1.2279432371516965,0.06548282063315902,0.1
8,9.429236590862274,10.567766070365906,1.3904096105886934,-0.16393674624303145,0.1
9,8.647076487541199,9.296468377113342,1.557237993840157,-0.4268147815964347,0.1
10,7.610341191291809,9.546009093523026,1.7250334520649282,-0.7203153582276849,0.1
11,6.913050025701523,8.114375084638596,1.8932676227195364,-1.0427849669103821,0.1
12,6.18345582485199,8.062190145254135,2.059276016448937,-1.3912368016501242,0.1
13,5.458495050668716,6.809445470571518,2.224298113886245,-1.7651191888297713,0.1
14,4.84060674905777,5.727655038237572,2.3879916621705197,-2.1650570318465694,0.1
15,4.285413384437561,5.609429016709328,2.5477643389307407,-2.584084754925696,0.1
16,3.6736487597227097,5.702612683176994,2.7031678325038215,-3.018607143254754,0.1
17,3.314164385199547,4.433009713888168,2.8550300665963397,-3.467025594236599,0.1
18,2.8195705115795135,3.8272935450077057,3.0017669211125098,-3.922565156570302,0.1
19,2.4348010197281837,3.58296437561512,3.1427416194167574,-4.382706196649231,0.1
20,2.0883094742894173,3.16639307141304,3.27833963338076,-4.845144495507098,0.1
21,1.809226393699646,3.12620048224926,3.4067791283788433,-5.30197116626759,0.1
22,1.513991229236126,2.5082325786352158,3.5294478064209036,-5.753523170091277,0.1
23,1.298200935125351,2.2350630164146423,3.646173563767984,-6.199336323181122,0.1
24,1.125726468861103,2.03738184645772,3.756830883527769,-6.636363645993435,0.1
25,0.9431957714259624,2.0272465087473392,3.858761384884459,-7.050364418711732,0.1
26,0.8592525944113731,1.3768715225160122,3.9559579363082693,-7.4568856908373125,0.1
27,0.6785465870052576,1.8807124271988869,4.048062673897722,-7.8513526321625715,0.1
28,0.6462972611188889,1.1501795910298824,4.131378368332569,-8.216289423736866,0.1
29,0.5405517481267452,1.3348622545599937,4.205006648233543,-8.545313433083042,0.1
30,0.4603714281693101,1.2141786850988865,4.275939268600585,-8.866372426574554,0.1
31,0.39917488768696785,1.4656524863094091,4.337208792051442,-9.149635382288444,0.1
32,0.39431741647422314,1.0225004348903894,4.393400968649817,-9.411547188371589,0.1
33,0.3463098118081689,0.9552497575059533,4.441763006322744,-9.639795667533939,0.1
34,0.30177550623193383,1.1768788862973452,4.483886287177041,-9.840404989324092,0.1
35,0.31312366016209126,1.0266752559691668,4.522132393949361,-10.023876026877657,0.1
36,0.3228731662966311,0.5696940561756492,4.554407363439205,-10.179239191023623,0.1
37,0.2883289372548461,0.9583591967821121,4.581449224103139,-10.310478164987728,0.1
38,0.2823526584543288,0.7817769157700241,4.6064330300666505,-10.43052321316959,0.1
39,0.2362582511268556,0.8891917541623116,4.628802533634257,-10.541259524868813,0.1
40,0.28950195852667093,0.8478470714762807,4.649027125344053,-10.63865745014648,0.1
