row_index,model,n_representations,prediction_mean,prediction_std,prediction_range,max_pairwise_prediction_drift,length_prediction_correlation,embedding_mean_feature_variance,embedding_mean_pairwise_distance,embedding_max_pairwise_distance,representation_invariance_score
2946,clean_transformer,11,5.244380213997581,0.686493617998553,1.935987949371338,1.935987949371338,0.6391418112356781,0.0328412808026131,1.983942941675118,3.846268374750106,0.4146045066132362
2946,defended_transformer,11,5.485480265183882,0.23071361368609022,0.6910514831542969,0.6910514831542969,-0.5530238129483575,0.0041728239543857085,0.7388224920557263,1.2147584459199592,0.6781880299579423
2947,clean_transformer,11,3.5706991932608863,0.707066899256089,2.372715473175049,2.372715473175049,-0.3601909894670142,0.04627763935298866,2.3486443763794593,5.212817821316801,0.40745629394793964
2947,defended_transformer,11,3.6076593182303687,0.6183125747531324,2.5440316200256348,2.5440316200256348,-0.3969890534564627,0.019570547960043407,1.4595003548501608,4.109706957557779,0.44019768770359674
2948,clean_transformer,11,4.191885601390492,0.5643929283797281,1.7931828498840332,1.7931828498840332,0.9005983617656887,0.046882402478506044,2.2526982784041403,5.533520853464116,0.4627898319768876
2948,defended_transformer,11,3.7493821490894663,0.4532574615953939,1.4240078926086426,1.4240078926086426,0.30144084958197315,0.01069994152375307,1.0786966708239607,2.5070349861950603,0.5175363069500482
2949,clean_transformer,11,5.788209611719305,0.5758570602229034,1.609095573425293,1.609095573425293,0.2503816621953855,0.022739026891777026,1.6770284927705617,2.890573212396635,0.45779438567580183
2949,defended_transformer,11,5.967246489091353,0.295224887930319,1.0715837478637695,1.0715837478637695,-0.055739786445700934,0.00602668140658949,0.8723878237015367,1.650523192163581,0.6222000694164399
2950,clean_transformer,11,2.070781556042758,0.766598832874919,2.446871042251587,2.446871042251587,0.5720595542586049,0.058212433105412104,2.601592821600676,4.884322460957789,0.38809442501903463
2950,defended_transformer,11,2.929843230680986,0.3780817607021319,1.1279585361480713,1.1279585361480713,-0.03698710432893292,0.011124151031046178,1.171991451241965,2.29981520574188,0.5625515372418776
2951,clean_transformer,11,3.0064534924247046,0.32743019230931064,1.2427232265472412,1.2427232265472412,-0.03801178148946928,0.01518255758124744,1.385962963674812,2.462953311191723,0.5975722077050325
2951,defended_transformer,11,2.8287344195626,0.269496180344494,0.8892464637756348,0.8892464637756348,-0.41681353205677407,0.005207019650026844,0.7788701584812542,1.8211449834213624,0.6433835253933727
2952,clean_transformer,11,4.423346887935292,0.3923983429162862,1.465498924255371,1.465498924255371,0.08469369710536834,0.020030433683769878,1.5749617377581588,3.2804309470111566,0.5533849461140086
2952,defended_transformer,11,4.606014468453147,0.5620998784300484,2.156966209411621,2.156966209411621,0.14301848031714798,0.015709152706308776,1.228135294745848,3.508429458009061,0.4638021312281639
2953,clean_transformer,11,4.226499925960194,0.5260737073347755,1.7665843963623047,1.7665843963623047,0.22622340949895417,0.02778308799055744,1.8544112508072528,4.244222815913446,0.4803084381338573
2953,defended_transformer,11,3.8151395320892334,0.3102249543594865,0.9942941665649414,0.9942941665649414,-0.07615300438396684,0.005793568470010807,0.840812693794692,1.6907499060032831,0.6104814999887649
2954,clean_transformer,11,2.7978897961703213,1.052261966449681,3.9674415588378906,3.9674415588378906,0.34859980213911523,0.07517350747319143,2.8084645663809904,7.641821763121096,0.31603299461236184
2954,defended_transformer,11,2.610409303144975,0.8172373108612572,2.395684242248535,2.395684242248535,0.5932816976770917,0.039160034881697184,2.0849707090059026,4.112816274258495,0.37301705513425326
2955,clean_transformer,11,3.690165628086437,0.500121100421608,1.8027558326721191,1.8027558326721191,0.11664189007351583,0.032089934839636305,2.0311392661818397,3.6321980569613386,0.49294648111954376
2955,defended_transformer,11,3.7286330353129995,0.43889084564339836,1.5076274871826172,1.5076274871826172,0.5625587930769061,0.01070711423658627,1.0968488146024014,2.538746014039186,0.5255735604490656
2956,clean_transformer,11,2.832831382751465,0.41023840425735725,1.2721030712127686,1.2721030712127686,0.1752724452391349,0.01902190911128005,1.580301323570079,2.465614581839802,0.5423720923827541
2956,defended_transformer,11,2.6424819122661245,0.2631790157412375,0.7392709255218506,0.7392709255218506,-0.3427801747125935,0.005262843566293637,0.8032652181143155,1.5248605746734492,0.6488071120465531
2957,clean_transformer,11,4.099667939272794,0.6234519855592933,2.0251102447509766,2.0251102447509766,0.4638999482396129,0.038134655627672605,2.1644687523601416,4.150784813770663,0.4381589019884845
2957,defended_transformer,11,3.558722561055964,0.4451152707895291,1.404404640197754,1.404404640197754,0.123495197295139,0.013220085781445162,1.2287373042159935,3.0353680872047426,0.5220609272589857
2958,clean_transformer,11,5.747538393194025,0.5423769469606959,1.9642753601074219,1.9642753601074219,0.6253509722478707,0.0168784291658729,1.186200306772953,3.468929521213667,0.47269546294609566
2958,defended_transformer,11,5.8606790629300205,0.2023801227849118,0.6124715805053711,0.6124715805053711,0.35262696711949737,0.003942309118325897,0.7124133310447632,1.1743422701714548,0.7060936291089844
2959,clean_transformer,11,7.091817639090798,0.44366291008088465,1.366912841796875,1.366912841796875,-0.062182977140104824,0.027994311829619735,1.8976042060585998,3.0362949442695446,0.5228763325368546
2959,defended_transformer,11,6.61795069954612,0.3496433519854318,1.0515313148498535,1.0515313148498535,-0.2949511832796933,0.008392614154778417,1.004787312423022,1.9581124361098203,0.5816914129064149
2960,clean_transformer,11,2.7961095679890025,0.4075348628198054,1.3953499794006348,1.3953499794006348,0.2928037498104091,0.029802290474846952,1.8625258395840925,4.45767237560617,0.5440127512757371
2960,defended_transformer,11,2.5588912963867188,0.24891773551687477,0.8306753635406494,0.8306753635406494,0.42646554547714854,0.005324467831756243,0.8044215348665236,1.7076233149993252,0.661393847909408
2961,clean_transformer,11,5.524769046089866,0.4505510084457232,1.449997901916504,1.449997901916504,0.30075028467944626,0.016090366499466248,1.339641105479488,2.863791235371053,0.5190315574359458
2961,defended_transformer,11,5.47675271467729,0.2757267369716695,1.0700321197509766,1.0700321197509766,-0.13482633967123878,0.005977714123226521,0.8676966559986822,1.6841690286836468,0.6381223883117915
2962,clean_transformer,11,4.705589034340599,0.6292611426443855,2.2330193519592285,2.2330193519592285,-0.7750317675937237,0.030613919637841536,1.8976556146829122,4.215389803435404,0.4358770492451499
2962,defended_transformer,11,4.019954052838412,0.5532404134369718,2.1698966026306152,2.1698966026306152,-0.7217877844563624,0.01685759400981985,1.3397948150330468,3.6567567355370736,0.4677552306872557
2963,clean_transformer,11,4.935731757770885,0.37538419976128384,1.3763456344604492,1.3763456344604492,0.2652814765756292,0.014630613965507773,1.3185036217285386,2.73787447654814,0.564312833285113
2963,defended_transformer,11,4.5529704527421435,0.5200912962814009,1.6263501644134521,1.6263501644134521,0.4289709745963085,0.015430342640015589,1.3537132709635664,2.7232468188910555,0.48316385656151056
2964,clean_transformer,11,4.793075214732777,0.5453310046109053,1.574063777923584,1.574063777923584,0.7535245974703246,0.028900582884035207,1.918671508368984,3.50248198907187,0.47134178549342176
2964,defended_transformer,11,5.187598141756925,0.4488140129689868,1.467259407043457,1.467259407043457,0.11974529617133528,0.00987140402563284,1.0999832750584075,2.2290007146861157,0.5199957662815945
2965,clean_transformer,11,4.916617826981978,0.6283507831811358,1.8364508152008057,1.8364508152008057,0.6108816562699589,0.02431570150116639,1.5855993780465745,3.5163473634729394,0.43623306920770455
2965,defended_transformer,11,5.279388471083208,0.345793200513483,0.8685874938964844,0.8685874938964844,0.8050249041650712,0.00783965165623781,0.9983281174729796,1.644174523718744,0.5843832394552234
2966,clean_transformer,11,2.0281248092651367,0.837890979578879,2.5224623680114746,2.5224623680114746,0.4391421676762935,0.07858900175382738,3.1132383449340972,5.599211440347962,0.3671986253896856
2966,defended_transformer,11,2.540338299491189,0.4280601972391513,1.5825920104980469,1.5825920104980469,0.07924569296816494,0.015210232895404527,1.322273746377094,3.4986455418759794,0.5317996427960939
2967,clean_transformer,11,3.5851047255776147,0.8990604549623903,3.3133232593536377,3.3133232593536377,0.6736375281345562,0.09245905788597053,3.0149889629083106,8.25682790425723,0.35098417649550695
2967,defended_transformer,11,3.257726409218528,0.9049518788246302,3.6238534450531006,3.6238534450531006,0.7215285060713743,0.04147885070674841,1.8647962989421216,6.121570147254992,0.3494977922421744
2968,clean_transformer,11,3.9795890721407803,0.45176294140548395,1.495952844619751,1.495952844619751,-0.07968764293032193,0.019526559464429497,1.5857261912950893,2.972345253774541,0.5183609266743681
2968,defended_transformer,11,3.978679982098666,0.4348678184849944,1.7341461181640625,1.7341461181640625,-0.1968744172882568,0.010056917110614893,1.0739281566652585,2.637866286570346,0.527869136028178
2969,clean_transformer,11,6.459373214028099,0.1957208006826793,0.7041940689086914,0.7041940689086914,0.2899285155400299,0.013774305881521369,1.3389707911158246,2.5730127193117402,0.712988941726692
2969,defended_transformer,11,6.243945121765137,0.277496429198975,0.9217901229858398,0.9217901229858398,0.5898015510404105,0.006014258181985791,0.8919692474595121,1.4731278488139679,0.6366436986979018
2970,clean_transformer,11,3.1720311641693115,0.7105363750477326,2.258918046951294,2.258918046951294,0.8074109268289412,0.06312724294078156,2.748764522636202,5.379897539278554,0.4062750383371593
2970,defended_transformer,11,3.8496253707192163,0.5017881021900461,1.4783129692077637,1.4783129692077637,0.042755930501169985,0.014662331763599233,1.3468876183687648,2.43157117198809,0.4921147536047252
2971,clean_transformer,11,4.732720851898193,0.5342051413615411,2.175419330596924,2.175419330596924,0.44954389297682884,0.029940787773321955,1.8213221514443503,5.12795085055729,0.4764809683566817
2971,defended_transformer,11,4.373631065542048,0.5742905997188694,1.7604045867919922,1.7604045867919922,0.5524051304770596,0.01719893774026864,1.4211585824000152,2.831829450586871,0.45847059358916187
2972,clean_transformer,11,4.357575113123113,0.4049102754172453,1.4575297832489014,1.4575297832489014,0.4837313193750855,0.0258130349192226,1.8507325859858117,2.964061639762302,0.5456150197533074
2972,defended_transformer,11,4.002720355987549,0.39724879456774037,1.1387009620666504,1.1387009620666504,0.3796395589429586,0.009145524145736278,1.0569052996631714,1.8349993794146455,0.5503466875570887
2973,clean_transformer,11,2.859479470686479,0.572755892146659,2.050395965576172,2.050395965576172,-0.11240874238599008,0.030747587362744952,1.9973467189674352,3.5663825200049213,0.4591350345633956
2973,defended_transformer,11,2.8759134249253706,0.4506186718137261,1.5568652153015137,1.5568652153015137,-0.6648808893202537,0.010670076714744462,1.1109511641034164,2.658170849372373,0.5189940697508602
2974,clean_transformer,11,5.070813439109108,0.442102396382292,1.5927152633666992,1.5927152633666992,-0.3601231835118416,0.025878047489072117,1.7897222011927285,3.3608424823222847,0.5237553021359304
2974,defended_transformer,11,5.248129367828369,0.2696000037503402,0.7807812690734863,0.7807812690734863,-0.19485914189134365,0.004051320356790139,0.708005541733124,1.1940553978058774,0.6432951453249047
2975,clean_transformer,11,2.333756273443049,0.9152588975872143,2.386004686355591,2.386004686355591,0.026795636393818975,0.10067683855264598,3.4112793475443186,7.713605253602652,0.34692742611411287
2975,defended_transformer,11,3.296439994465221,0.589432261722559,2.4078128337860107,2.4078128337860107,0.049669819644644744,0.023422308187687126,1.4409117529233963,4.59354078539428,0.4520167503330412
2976,clean_transformer,11,4.220743916251442,0.5022505988678854,1.9671554565429688,1.9671554565429688,0.2334958054112807,0.027073265531181827,1.8050307914695831,3.837681955213488,0.49188449440675097
2976,defended_transformer,11,3.995673179626465,0.2522962489525338,0.8020477294921875,0.8020477294921875,0.25849248384373,0.0073099076374416195,0.9642995434575172,1.7837716460507422,0.6583680952055432
2977,clean_transformer,11,4.034179579127919,0.6615668079104583,2.283038854598999,2.283038854598999,-0.13230885899559733,0.03466118756308846,2.0393515479705977,4.458082916840806,0.42360869221553693
2977,defended_transformer,11,3.87767202203924,0.3928118652197758,1.272737979888916,1.272737979888916,-0.698754356844067,0.007640745437339858,0.9414306968646649,2.034380460467512,0.553124613777612
2978,clean_transformer,11,2.967247876253995,0.31622427856317215,1.0650582313537598,1.0650582313537598,-0.017981973421991145,0.01609076587442615,1.448633329385549,2.6617889088240347,0.6059172751888507
2978,defended_transformer,11,2.6581967527216133,0.2368246707070115,0.6969165802001953,0.6969165802001953,0.01717218750741193,0.0034568562624422384,0.6617478210597636,1.2146025273609533,0.6724559904491773
2979,clean_transformer,11,2.281432130120017,0.9604129361330336,3.0305585861206055,3.0305585861206055,0.2578754406549001,0.08662836126003436,3.2074911825089862,7.250299816068826,0.33609861427549304
2979,defended_transformer,11,3.3573931563984263,0.5830256208256952,2.0063893795013428,2.0063893795013428,0.31944618409542025,0.018931613815319416,1.4792105630038934,3.353805842197644,0.45472514991062774
2980,clean_transformer,11,5.432956088672984,0.6531906987410517,2.463961124420166,2.463961124420166,0.13736046329312163,0.037468327740734754,1.7047106733402195,5.433333812659422,0.4267227873745847
2980,defended_transformer,11,5.441485404968262,0.22991896941799272,0.6717128753662109,0.6717128753662109,-0.20940645544202635,0.005175949125033798,0.8273256046182051,1.3779984022023073,0.6789405767216139
2981,clean_transformer,11,4.483928268606013,0.3184267141500296,1.2299325466156006,1.2299325466156006,0.44090387585568186,0.019897575100961122,1.615658537322487,3.051846196215595,0.6042587641716971
2981,defended_transformer,11,3.9240510030226274,0.3465861661870801,1.416043758392334,1.416043758392334,0.36190253685146534,0.008717054347584387,1.005082630637124,2.522854925437232,0.5838268037099807
2982,clean_transformer,11,3.16403510353782,0.532766236007409,1.8916285037994385,1.8916285037994385,-0.5477026660239661,0.0363353639436853,2.074011890711825,4.8477145138366975,0.4771538133706224
2982,defended_transformer,11,2.9139203158291904,0.35876858297133346,1.4201223850250244,1.4201223850250244,-0.05795461967009899,0.00797356350471299,0.933452303955062,2.5702407236366045,0.5754094930150329
2983,clean_transformer,11,3.8134257793426514,0.40528202612413794,1.1718378067016602,1.1718378067016602,0.4693520196909359,0.021519504995590355,1.6743159121527622,2.456083574815863,0.5453874984059347
2983,defended_transformer,11,3.537808201529763,0.35166374341676415,1.3403854370117188,1.3403854370117188,0.29079516174285086,0.00976395546241129,1.078304757106004,2.4679551400115964,0.5802887568897385
2984,clean_transformer,11,3.850560361688787,0.5222039156356499,1.8787641525268555,1.8787641525268555,0.1597259617794018,0.029986897647840814,1.8953544449442559,4.441087270127509,0.48215162894077634
2984,defended_transformer,11,3.5535078698938545,0.5505364418324893,2.0500426292419434,2.0500426292419434,0.2908786439726571,0.014806994684412388,1.2633712950906295,3.3557337651956836,0.4689752016960868
2985,clean_transformer,11,5.071211641485041,0.13629427469848607,0.38524532318115234,0.38524532318115234,0.07019143640342873,0.006349075090357708,0.9249861944686594,1.434986761544379,0.781053798962405
2985,defended_transformer,11,5.2665675336664375,0.2976446351700199,1.1028122901916504,1.1028122901916504,-0.07990604143176466,0.004948976160164965,0.7830110752135954,1.6502642001241998,0.620279339828729
2986,clean_transformer,11,2.474153605374423,0.8953003186032237,3.047424077987671,3.047424077987671,-0.1137983653388213,0.07549297524612647,2.780556496157866,6.8263426574157675,0.35193947250385377
2986,defended_transformer,11,3.3658836754885586,0.645571871416039,2.369114637374878,2.369114637374878,-0.024665308584381943,0.019532970366622757,1.4603723844812477,3.830326358688229,0.429595369206161
2987,clean_transformer,11,5.714715697548606,0.7240738979626913,2.7379307746887207,2.7379307746887207,0.05110317951562016,0.041836428470997486,2.022038781997538,5.157386589432234,0.40173067351056035
2987,defended_transformer,11,5.6268344792452725,0.3525568915030022,1.3725085258483887,1.3725085258483887,-0.3987624919335556,0.008764806256964505,1.0059661733490344,2.1907112548144863,0.5796708430298778
2988,clean_transformer,11,3.6582600420171563,0.46950127400674174,1.2645363807678223,1.2645363807678223,0.1845668298805231,0.026658309592775653,1.867854087866585,3.3398703569364856,0.5087399372848744
2988,defended_transformer,11,3.817522244019942,0.43045034270124477,1.3061461448669434,1.3061461448669434,0.3448664122890282,0.011492855822987577,1.1774984930249746,2.3285713875995135,0.5304129974971011
2989,clean_transformer,11,4.274725718931719,0.3551763423932043,1.1800563335418701,1.1800563335418701,-0.17244985820474895,0.02605656681351984,1.8321968888032685,3.408117629764214,0.5778661728526573
2989,defended_transformer,11,3.875331835313277,0.410074099702958,1.6236090660095215,1.6236090660095215,-0.26181247738661745,0.010444376649272624,1.1075524748529326,2.9164794375510925,0.5424715190153014
2990,clean_transformer,11,4.653928930109197,0.5734699961300027,2.0144739151000977,2.0144739151000977,0.020044718454989414,0.040380558481368733,2.2014496764509213,4.8675335553515815,0.4588256287927541
2990,defended_transformer,11,4.052108092741533,0.6955742238868754,2.1983962059020996,2.1983962059020996,-0.050168939898364615,0.02930703133278762,1.840231782670375,3.9929905114252886,0.4114187559349295
2991,clean_transformer,11,2.8473753929138184,0.500596381359435,1.692307472229004,1.692307472229004,0.07108329802983247,0.022626140427180516,1.679664157058243,3.498901517392139,0.49270905988038394
2991,defended_transformer,11,2.6512520096518775,0.12269368136018462,0.4116024971008301,0.4116024971008301,0.11202117229146209,0.00242451555528738,0.5602561920612711,1.020833773545225,0.7984996593113886
2992,clean_transformer,11,2.2251289757815274,0.39159831432489234,1.4413950443267822,1.4413950443267822,-0.0983606446305065,0.03463446036492991,2.1307284504567328,3.36634392222525,0.5538892991923073
2992,defended_transformer,11,3.1180696053938433,0.3397977053208596,1.2640268802642822,1.2640268802642822,0.1467346218176597,0.01046045305289155,1.132187660899246,2.524380349187025,0.5886249431185062
2993,clean_transformer,11,3.8521668910980225,0.7648817746075802,2.9348623752593994,2.9348623752593994,0.4491536191658461,0.05438980158928647,2.455136689177038,6.156213972611872,0.3886270656995993
2993,defended_transformer,11,3.835851799358021,0.6340484150002704,2.1513216495513916,2.1513216495513916,0.3471253537678209,0.016263681264720185,1.3450944223093757,3.202866707014862,0.4340143827102199
2994,clean_transformer,11,5.257715832103383,0.872836818841385,2.867722511291504,2.867722511291504,0.7685020884418903,0.053244488964958245,2.414238609665746,5.468324549350973,0.3577566452347273
2994,defended_transformer,11,5.250849983908913,0.4550289330046781,1.4098401069641113,1.4098401069641113,0.6237197553844949,0.014057105171259097,1.3006390829165415,2.440926969158606,0.5165622676007671
2995,clean_transformer,11,4.731358831579035,0.4056979439750407,1.526291847229004,1.526291847229004,0.4245790933115025,0.022206107282512606,1.6386601366053428,3.655527258088714,0.5451331703918726
2995,defended_transformer,11,4.299126321619207,0.45677472118022794,1.6301584243774414,1.6301584243774414,0.4017246919147386,0.011513648062958196,1.1754928516127054,2.4249370994762725,0.5156059305457034
2996,clean_transformer,11,6.109299963170832,0.4127768432297307,1.5100364685058594,1.5100364685058594,-0.26038101734391605,0.019559921265585124,1.556611165227477,3.13607988312123,0.5408406092878245
2996,defended_transformer,11,5.788730144500732,0.6771670909256162,2.036083698272705,2.036083698272705,-0.623968124841388,0.02048559858495792,1.5357307095117974,3.2008863598452653,0.41792830452686364
2997,clean_transformer,11,5.775685873898593,0.4208508181718098,1.593371868133545,1.593371868133545,0.7763650689530788,0.012427558881632522,1.1441371022874929,2.786083104323967,0.5360264356384467
2997,defended_transformer,11,5.643496816808527,0.19386241669352902,0.631894588470459,0.631894588470459,0.24289307494921153,0.0032435375472444736,0.6423840267375043,1.1774312627621146,0.7149372830733094
2998,clean_transformer,11,4.393557115034624,0.31486425405745316,1.0455236434936523,1.0455236434936523,0.5236161766566741,0.020980214164182484,1.6667659264068937,2.634107999084611,0.606945975703101
2998,defended_transformer,11,3.975977724248713,0.6333518467097684,1.810424566268921,1.810424566268921,0.47362442368612534,0.031136152646502647,1.8170082723120753,4.261860272097809,0.4342844182473748
2999,clean_transformer,11,3.880171537399292,0.3096929949914614,0.9875068664550781,0.9875068664550781,0.45610089295243494,0.03191920356208855,2.04641631984812,3.206491965523105,0.6108895303720561
2999,defended_transformer,11,3.31686993078752,0.22949062162613873,0.7909979820251465,0.7909979820251465,0.23918624941672673,0.004476575912332692,0.7398919945225825,1.6859834708779704,0.6793469253177699
3000,clean_transformer,11,5.578370679508556,0.5768003486514308,2.2399256229400635,2.2399256229400635,0.6460407523632534,0.01983925378747032,1.2840083804588995,3.8516850941285745,0.4573881493744495
3000,defended_transformer,11,5.488653443076394,0.15561356610483415,0.5678462982177734,0.5678462982177734,-0.5127166734299146,0.0024317084181686094,0.5657704919202878,0.9723047224053467,0.7575434780033429
3001,clean_transformer,11,5.758754470131614,0.7146843060252737,2.119802474975586,2.119802474975586,-0.07129920213480062,0.046542162017057985,2.375615955469503,4.623928699465656,0.4048717465474342
3001,defended_transformer,11,5.819519346410578,0.43976051366835617,1.2482795715332031,1.2482795715332031,-0.3475606762575221,0.013011093594396766,1.2679976783119418,2.229672364724686,0.5250799421025096
