strategy,n_examples,query_budget,mean_candidate_queries,budget_exhaustion_rate,mean_candidate_proposals,representation_validity_rate,eligible_validity_rate,mean_acceptance_rate,mean_best_drift,median_best_drift,mean_drift_per_query,mean_elapsed_seconds,mean_perturbation_size
random,25,12,12.0,1.0,144.68,0.13325960740945536,0.12966546862040365,,1.0186120510101317,0.7561359405517578,0.08488433758417764,0.08902509119994648,2.76
greedy,25,12,12.0,1.0,156.12,0.14296694850115296,0.14219830899308225,0.23652527064407955,1.33774790763855,1.1024842262268066,0.1114789923032125,0.09066781424004149,2.76
beam,25,12,12.0,1.0,32.28,0.40272614622057,0.40024783147459725,,1.213376178741455,0.7561359405517578,0.10111468156178793,0.031757561920039735,2.28
metropolis_mcmc,25,12,12.0,1.0,144.52,0.13451425408247994,0.13368391918073624,0.4766052105923421,1.2559710025787354,0.9988913536071777,0.1046642502148946,0.08588296251999054,2.76
evolutionary,25,12,12.0,1.0,33.4,0.4023952095808383,0.4023952095808383,,1.2310457992553712,0.8952436447143555,0.1025871499379476,0.033985183119984864,2.28
