sample_id,strategy,query_number,best_drift
row_2965,random,6,0.4708681106567383
row_2965,random,7,0.4708681106567383
row_2965,random,8,0.4708681106567383
row_2965,random,9,0.4708681106567383
row_2965,random,10,0.4708681106567383
row_2965,random,11,0.4708681106567383
row_2965,random,12,0.5843620300292969
row_2965,greedy,0,0.0
row_2965,greedy,1,0.19837522506713867
row_2965,greedy,2,0.2459859848022461
row_2965,greedy,3,0.3135972023010254
row_2965,greedy,4,0.3632984161376953
row_2965,greedy,5,0.4219179153442383
row_2965,greedy,6,0.4219179153442383
row_2965,greedy,7,0.5727319717407227
row_2965,greedy,8,0.6428980827331543
row_2965,greedy,9,0.6428980827331543
row_2965,greedy,10,0.6428980827331543
row_2965,greedy,11,0.7987923622131348
row_2965,greedy,12,0.7987923622131348
row_2965,beam,0,0.0
row_2965,beam,1,0.19837522506713867
row_2965,beam,2,0.31830549240112305
row_2965,beam,3,0.31830549240112305
row_2965,beam,4,0.31830549240112305
row_2965,beam,5,0.547182559967041
row_2965,beam,6,0.547182559967041
row_2965,beam,7,0.547182559967041
row_2965,beam,8,0.547182559967041
row_2965,beam,9,0.547182559967041
row_2965,beam,10,0.547182559967041
row_2965,beam,11,0.7017302513122559
row_2965,beam,12,0.7017302513122559
row_2965,metropolis_mcmc,0,0.0
row_2965,metropolis_mcmc,1,0.19837522506713867
row_2965,metropolis_mcmc,2,0.2459859848022461
row_2965,metropolis_mcmc,3,0.3135972023010254
row_2965,metropolis_mcmc,4,0.4219179153442383
row_2965,metropolis_mcmc,5,0.4219179153442383
row_2965,metropolis_mcmc,6,0.4219179153442383
row_2965,metropolis_mcmc,7,0.4219179153442383
row_2965,metropolis_mcmc,8,0.4219179153442383
row_2965,metropolis_mcmc,9,0.6758198738098145
row_2965,metropolis_mcmc,10,0.6758198738098145
row_2965,metropolis_mcmc,11,0.728848934173584
row_2965,metropolis_mcmc,12,0.728848934173584
row_2965,evolutionary,0,0.0
row_2965,evolutionary,1,0.19837522506713867
row_2965,evolutionary,2,0.31830549240112305
row_2965,evolutionary,3,0.31830549240112305
row_2965,evolutionary,4,0.31830549240112305
row_2965,evolutionary,5,0.5659475326538086
row_2965,evolutionary,6,0.5659475326538086
row_2965,evolutionary,7,0.5659475326538086
row_2965,evolutionary,8,0.5659475326538086
row_2965,evolutionary,9,0.7664585113525391
row_2965,evolutionary,10,0.7664585113525391
row_2965,evolutionary,11,0.7664585113525391
row_2965,evolutionary,12,0.7664585113525391
row_3514,random,0,0.0
row_3514,random,1,0.09122037887573242
row_3514,random,2,0.09122037887573242
row_3514,random,3,0.09122037887573242
row_3514,random,4,0.38333678245544434
row_3514,random,5,0.3947157859802246
row_3514,random,6,0.3947157859802246
row_3514,random,7,0.3947157859802246
row_3514,random,8,0.3947157859802246
row_3514,random,9,0.3947157859802246
row_3514,random,10,0.3947157859802246
row_3514,random,11,0.3947157859802246
row_3514,random,12,1.2315068244934082
row_3514,greedy,0,0.0
row_3514,greedy,1,0.09122037887573242
row_3514,greedy,2,0.09122037887573242
row_3514,greedy,3,1.5887951850891113
row_3514,greedy,4,1.5887951850891113
row_3514,greedy,5,1.5887951850891113
row_3514,greedy,6,1.629075527191162
row_3514,greedy,7,1.629075527191162
row_3514,greedy,8,1.629075527191162
row_3514,greedy,9,1.629075527191162
row_3514,greedy,10,1.8588037490844727
row_3514,greedy,11,1.8588037490844727
row_3514,greedy,12,1.8588037490844727
row_3514,beam,0,0.0
row_3514,beam,1,0.09122037887573242
row_3514,beam,2,0.09122037887573242
row_3514,beam,3,0.09122037887573242
row_3514,beam,4,1.54054594039917
row_3514,beam,5,1.54054594039917
row_3514,beam,6,1.680720329284668
row_3514,beam,7,1.680720329284668
row_3514,beam,8,1.680720329284668
row_3514,beam,9,1.8908910751342773
row_3514,beam,10,1.8908910751342773
row_3514,beam,11,1.8908910751342773
row_3514,beam,12,1.8908910751342773
row_3514,metropolis_mcmc,0,0.0
row_3514,metropolis_mcmc,1,0.09122037887573242
row_3514,metropolis_mcmc,2,0.09122037887573242
row_3514,metropolis_mcmc,3,0.09122037887573242
row_3514,metropolis_mcmc,4,0.38333678245544434
row_3514,metropolis_mcmc,5,0.3947157859802246
row_3514,metropolis_mcmc,6,0.3947157859802246
row_3514,metropolis_mcmc,7,0.3947157859802246
row_3514,metropolis_mcmc,8,0.6016871929168701
row_3514,metropolis_mcmc,9,0.6141324043273926
row_3514,metropolis_mcmc,10,0.6141324043273926
row_3514,metropolis_mcmc,11,0.8425736427307129
row_3514,metropolis_mcmc,12,0.9638915061950684
row_3514,evolutionary,0,0.0
row_3514,evolutionary,1,0.09122037887573242
row_3514,evolutionary,2,0.1417853832244873
row_3514,evolutionary,3,1.058685541152954
row_3514,evolutionary,4,1.058685541152954
row_3514,evolutionary,5,1.058685541152954
row_3514,evolutionary,6,1.058685541152954
row_3514,evolutionary,7,1.7775745391845703
row_3514,evolutionary,8,1.7775745391845703
row_3514,evolutionary,9,1.7775745391845703
row_3514,evolutionary,10,1.7775745391845703
row_3514,evolutionary,11,1.7775745391845703
row_3514,evolutionary,12,1.7775745391845703
row_3081,random,0,0.0
row_3081,random,1,0.3105435371398926
row_3081,random,2,0.3105435371398926
row_3081,random,3,0.3213691711425781
row_3081,random,4,0.3213691711425781
row_3081,random,5,0.3213691711425781
row_3081,random,6,0.3213691711425781
row_3081,random,7,0.3213691711425781
row_3081,random,8,0.3364582061767578
row_3081,random,9,0.3364582061767578
row_3081,random,10,0.3364582061767578
row_3081,random,11,0.3364582061767578
row_3081,random,12,0.3364582061767578
row_3081,greedy,0,0.0
row_3081,greedy,1,0.3105435371398926
row_3081,greedy,2,0.3105435371398926
row_3081,greedy,3,0.3105435371398926
row_3081,greedy,4,0.3105435371398926
row_3081,greedy,5,0.3105435371398926
row_3081,greedy,6,0.3105435371398926
row_3081,greedy,7,0.39244937896728516
row_3081,greedy,8,0.47855281829833984
row_3081,greedy,9,0.5094485282897949
row_3081,greedy,10,0.5094485282897949
row_3081,greedy,11,0.6988201141357422
row_3081,greedy,12,2.617011070251465
row_3081,beam,0,0.0
row_3081,beam,1,0.3105435371398926
row_3081,beam,2,0.3144369125366211
row_3081,beam,3,0.3144369125366211
row_3081,beam,4,0.3144369125366211
row_3081,beam,5,0.3144369125366211
row_3081,beam,6,0.3144369125366211
row_3081,beam,7,0.33749818801879883
row_3081,beam,8,0.39244937896728516
row_3081,beam,9,0.39244937896728516
row_3081,beam,10,0.5207853317260742
row_3081,beam,11,0.5207853317260742
row_3081,beam,12,0.5207853317260742
row_3081,metropolis_mcmc,0,0.0
row_3081,metropolis_mcmc,1,0.3105435371398926
row_3081,metropolis_mcmc,2,0.3105435371398926
row_3081,metropolis_mcmc,3,0.3105435371398926
row_3081,metropolis_mcmc,4,0.3105435371398926
row_3081,metropolis_mcmc,5,0.3105435371398926
row_3081,metropolis_mcmc,6,0.3105435371398926
row_3081,metropolis_mcmc,7,0.3105435371398926
row_3081,metropolis_mcmc,8,0.3105435371398926
row_3081,metropolis_mcmc,9,0.3167686462402344
row_3081,metropolis_mcmc,10,0.32134532928466797
row_3081,metropolis_mcmc,11,0.4343600273132324
row_3081,metropolis_mcmc,12,0.49233198165893555
row_3081,evolutionary,0,0.0
row_3081,evolutionary,1,0.3105435371398926
row_3081,evolutionary,2,0.3105435371398926
row_3081,evolutionary,3,0.3105435371398926
row_3081,evolutionary,4,0.3105435371398926
row_3081,evolutionary,5,0.3105435371398926
row_3081,evolutionary,6,0.3105435371398926
row_3081,evolutionary,7,0.33980369567871094
row_3081,evolutionary,8,0.5817017555236816
row_3081,evolutionary,9,0.5817017555236816
row_3081,evolutionary,10,0.5817017555236816
row_3081,evolutionary,11,0.5817017555236816
row_3081,evolutionary,12,0.5817017555236816
row_3195,random,0,0.0
row_3195,random,1,0.34009575843811035
row_3195,random,2,0.7561359405517578
row_3195,random,3,0.7561359405517578
row_3195,random,4,0.7561359405517578
row_3195,random,5,0.7561359405517578
row_3195,random,6,0.7561359405517578
row_3195,random,7,0.7561359405517578
row_3195,random,8,0.7561359405517578
row_3195,random,9,0.7561359405517578
row_3195,random,10,0.7561359405517578
row_3195,random,11,0.7561359405517578
row_3195,random,12,0.7561359405517578
row_3195,greedy,0,0.0
row_3195,greedy,1,0.34009575843811035
row_3195,greedy,2,0.7561359405517578
row_3195,greedy,3,0.7561359405517578
row_3195,greedy,4,0.7561359405517578
row_3195,greedy,5,0.7561359405517578
row_3195,greedy,6,0.7561359405517578
row_3195,greedy,7,0.7561359405517578
row_3195,greedy,8,0.7561359405517578
row_3195,greedy,9,0.7561359405517578
row_3195,greedy,10,0.7561359405517578
row_3195,greedy,11,0.7605898380279541
row_3195,greedy,12,0.7605898380279541
row_3195,beam,0,0.0
row_3195,beam,1,0.34009575843811035
row_3195,beam,2,0.34009575843811035
row_3195,beam,3,0.7561359405517578
row_3195,beam,4,0.7561359405517578
row_3195,beam,5,0.7561359405517578
row_3195,beam,6,0.7561359405517578
row_3195,beam,7,0.7561359405517578
row_3195,beam,8,0.7561359405517578
row_3195,beam,9,0.7561359405517578
row_3195,beam,10,0.7561359405517578
row_3195,beam,11,0.7561359405517578
row_3195,beam,12,0.7561359405517578
row_3195,metropolis_mcmc,0,0.0
row_3195,metropolis_mcmc,1,0.34009575843811035
row_3195,metropolis_mcmc,2,0.7561359405517578
row_3195,metropolis_mcmc,3,0.7561359405517578
row_3195,metropolis_mcmc,4,0.7561359405517578
row_3195,metropolis_mcmc,5,0.7561359405517578
row_3195,metropolis_mcmc,6,0.7561359405517578
row_3195,metropolis_mcmc,7,0.7561359405517578
row_3195,metropolis_mcmc,8,0.7561359405517578
row_3195,metropolis_mcmc,9,0.7561359405517578
row_3195,metropolis_mcmc,10,0.7561359405517578
row_3195,metropolis_mcmc,11,0.7561359405517578
row_3195,metropolis_mcmc,12,0.7561359405517578
row_3195,evolutionary,0,0.0
row_3195,evolutionary,1,0.34009575843811035
row_3195,evolutionary,2,0.34009575843811035
row_3195,evolutionary,3,0.5138299465179443
row_3195,evolutionary,4,0.5138299465179443
row_3195,evolutionary,5,0.5138299465179443
row_3195,evolutionary,6,0.5138299465179443
row_3195,evolutionary,7,0.5138299465179443
row_3195,evolutionary,8,0.5138299465179443
row_3195,evolutionary,9,0.5138299465179443
row_3195,evolutionary,10,0.5983068943023682
row_3195,evolutionary,11,0.5983068943023682
row_3195,evolutionary,12,0.5983068943023682
row_3473,random,0,0.0
row_3473,random,1,0.20081663131713867
row_3473,random,2,0.45357847213745117
row_3473,random,3,0.48143625259399414
row_3473,random,4,0.573798656463623
row_3473,random,5,0.573798656463623
row_3473,random,6,0.573798656463623
row_3473,random,7,0.573798656463623
row_3473,random,8,0.573798656463623
row_3473,random,9,0.573798656463623
row_3473,random,10,0.573798656463623
row_3473,random,11,0.573798656463623
row_3473,random,12,0.573798656463623
row_3473,greedy,0,0.0
row_3473,greedy,1,0.20081663131713867
row_3473,greedy,2,0.45357847213745117
row_3473,greedy,3,0.48143625259399414
row_3473,greedy,4,0.573798656463623
row_3473,greedy,5,0.573798656463623
row_3473,greedy,6,0.573798656463623
row_3473,greedy,7,0.573798656463623
row_3473,greedy,8,0.573798656463623
row_3473,greedy,9,0.573798656463623
row_3473,greedy,10,0.5984888076782227
row_3473,greedy,11,0.5984888076782227
row_3473,greedy,12,0.5984888076782227
row_3473,beam,0,0.0
row_3473,beam,1,0.20081663131713867
row_3473,beam,2,0.45357847213745117
row_3473,beam,3,0.45357847213745117
row_3473,beam,4,0.45357847213745117
row_3473,beam,5,0.5149250030517578
row_3473,beam,6,0.5149250030517578
row_3473,beam,7,0.5149250030517578
row_3473,beam,8,0.5149250030517578
row_3473,beam,9,0.5149250030517578
row_3473,beam,10,0.5149250030517578
row_3473,beam,11,0.5149250030517578
row_3473,beam,12,0.5149250030517578
row_3473,metropolis_mcmc,0,0.0
row_3473,metropolis_mcmc,1,0.20081663131713867
